DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)",1-METHYLNAPHTHALENE,2-CHLORONAPHTHALENE,2-METHYLNAPHTHALENE,7-ISOPROPYL-1-METHYLPHENANTHRENE (RETENE),ACENAPHTHENE,ACENAPHTHYLENE,ALDRIN,ALKALINITY GRAN CACO3,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BENZO(A)ANTHRACENE,BENZO(A)PHENANTHRENE OR CHRYSENE,BENZO(A)PYRENE,BENZO(A)PYRENE-D12,BENZO(B)FLUORANTHENE,BENZO(E)PYRENE,"BENZO(G,H,I)PERYLENE",BENZO(K)FLUORANTHENE,BENZOPHENANTHRENE,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON DISSOLVED TOTAL,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CIS-NONACHLOR,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),"DIBENZO(A,H)ANTHRACENE OR DIBENZ(A,H)ANTHRACENE",DIBENZOTHIOPHENE (DBT),DIELDRIN,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ENDRIN,ENDRIN KETONE AS A SURROGATE,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FLUORANTHENE,FLUORENE,FLUORENE-D10,FLUORIDE,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-CHLORDANE,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),INDENE,"INDENO(1,2,3-C,D)PYRENE",INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MERCURY DISSOLVED,MERCURY TOTAL,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NAPHTHALENE,NAPHTHALENE-D8,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITRATE (AS N),NITRATE AND NITRITE (AS N),NITRITE (AS N),NITRITE AND NITRATE UNFILTERED,NITROGEN DISSOLVED NITRITE,NITROGEN PARTICULATE,NITROGEN TOTAL,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)",OXYCHLORDANE,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",P-NAPHTHALENE,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PERYLENE,PERYLENE-D12,PH,PH (FIELD),PHENANTHRENE,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE/UNFILTERED,POTASSIUM FILTERED,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,PYRENE-D10,RESIDUE FILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA REACTIVE,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE/UNFILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SODIUM TOTAL,SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TETRAHYDRONAPHTHALENE,THALLIUM DISSOLVED,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TRANS-NONACHLOR,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-06-13 11:25:00,2000PNB17615,NW10PC0019,,,,,,,,,,40.2,,,,,0.24,0.538,0.019,,,,0.0001,,,,0.025,0.027,,,,,,,,,,,0.001,0.05,,,,,,0.03,,,,0.005,0.0002,8.95,9.9,9.14,1.092,4.5,,0.729,5.229,,,,,,,0.54,,0.005,0.001,,,0.005,0.0005,,20.0,45.0,,0.005,0.0031,0.002,,,,,0.012,,,,,,,,,,0.02,,,,,,,,,,1.045,41.245,,,,,,,,,,,,,,,0.43,0.846,,,,0.02,0.001,,0.006,0.0012,,,4.59,5.3,4.71,,0.025,0.0282,,,,,0.005,0.0001,,,,,,0.01,0.0013,,,,,,,,0.052,,0.224,0.172,,,,,,,,,,,,,,,,7.85,7.94,,0.026,0.033,0.007,,,,2.0,0.51,0.55,,,,65.0,37.0,,,,,,,-1.553,,,0.0001,,,,,0.0001,1.45,,,2.0,0.48,2.433,0.42,83.3,10.957,,0.008,0.0088,,2.7,,,,5.0,,,,,,,,,,43.413,,,,3.1,,,,,0.005,0.0013,,,,,,0.005,0.0039,,
2000-06-26 12:00:00,2000PNP17641,NW10TB0002,95.0,21.6,22.3,26.4,,23.9,16.2,0.61,,70.8,0.2,0.31,0.22,,0.05,0.078,0.005,,,,0.0001,,,,0.011,0.0118,20.0,20.0,68.6,53.0,83.9,70.0,114.0,81.4,7.82,,0.001,0.05,0.88,,,,,0.06,,,,0.005,0.0001,17.2,17.7,17.0,,4.1,,,,,,,,,,2.81,,0.005,0.0002,,,0.005,0.0001,,5.0,,,0.005,0.0005,,89.0,100.0,,0.35,0.021,,0.55,80.0,,,8.7,25.1,57.0,,0.01,,,,1.22,0.33,,,,,,75.679,0.82,0.17,0.62,,,,,14.5,133.0,,,,,,0.042,0.143,,,,0.02,0.0002,,0.005,0.001,,,7.95,8.9,8.2,,0.005,0.0051,,,1.41,,0.005,0.0001,20.0,54.0,,,,0.01,0.0003,,,,,,,,,,,0.233,,,0.75,,,,1.28,1.3,2.24,7.9,20.0,,,100.0,,8.0,,33.8,,0.038,0.004,,,,2.0,0.49,0.47,,,64.0,90.0,4.0,,,,,,,,,,0.0001,,,,,0.0001,1.36,,,2.0,1.1,3.043,0.86,160.0,,,0.019,0.0183,,6.7,,,,,,,17.0,,,,,,,,,,,8.2,,,,,0.005,0.0003,,,,,,0.005,0.0003,,
2000-06-26 12:10:00,2000PNP17643,NW10TB0002,,,,,,,,,,70.7,,,,,0.05,0.077,0.005,,,,0.0001,,,,0.012,0.0115,,,,,,,,,,,0.001,0.05,,,,,,0.11,,,,0.005,0.0001,17.5,17.9,16.9,,4.2,,,,,,,,,,2.91,,0.005,0.0002,,,0.005,0.0001,,5.0,,,0.005,0.0006,,,,,,0.015,,,,,,,,,,0.01,,,,,,,,,,,76.181,,,,,,,,,,,,,,,0.044,0.152,,,,0.02,0.0002,,0.005,0.0011,,,7.89,9.0,8.14,,0.005,0.0052,,,,,0.007,0.0001,,,,,,0.01,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,,,,0.02,0.003,,,,2.0,0.49,0.46,,,,90.0,7.0,,,,,,,,,,0.0001,,,,,0.0001,1.35,,,2.0,1.1,3.023,0.85,160.0,,,0.02,0.018,,8.2,,,,,,,,,,,,,,,,,,11.4,,,,,0.005,0.0004,,,,,,0.005,0.0004,,
2000-06-26 12:20:00,2000PNP17644,NW10TB0002,,,,,,,,,,70.8,,,,,0.05,0.078,0.005,,,,0.0001,,,,0.013,0.0116,,,,,,,,,,,0.001,0.05,,,,,,0.08,,,,0.005,0.0001,17.8,18.0,17.0,,3.9,,,,,,,,,,2.88,,0.005,0.0002,,,0.005,0.0001,,5.0,,,0.005,0.001,,,,,,0.075,,,,,,,,,,0.01,,,,,,,,,,,77.094,,,,,,,,,,,,,,,0.049,0.156,,,,0.02,0.0003,,0.005,0.0011,,,7.93,9.1,8.2,,0.006,0.0053,,,,,0.005,0.0001,,,,,,0.01,0.0004,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,8.05,,,,0.026,0.006,,,,2.0,0.49,0.47,,,,89.0,5.0,,,,,,,,,,0.0001,,,,,0.0001,1.37,,,2.0,1.1,2.989,0.85,160.0,,,0.02,0.0182,,7.9,,,,,,,,,,,,,,,,,,9.9,,,,,0.005,0.0003,,,,,,0.005,0.0004,,
2000-07-12 17:40:00,2000PNZ17700,NW10OB0006,105.0,21.6,22.3,26.4,,23.9,16.2,0.61,,130.0,0.2,0.31,0.22,,0.05,0.015,0.005,,,,0.0001,,,,0.037,0.0357,20.0,20.0,68.6,60.0,83.9,70.0,114.0,81.4,7.82,,0.001,0.05,0.88,,,,,0.01,,,,0.005,0.0001,25.5,26.5,25.3,,6.2,,,,,,,,,,0.49,,0.005,0.0002,,,0.005,0.0001,,10.0,,,0.005,0.0009,,94.0,100.0,,0.35,0.014,,0.55,97.0,,,8.7,25.1,69.0,,0.03,,,,1.56,0.33,,,,,,122.135,0.82,0.17,0.62,,,,,14.5,133.0,,,,,,0.039,0.0429,,,,0.02,0.0002,,0.005,0.0009,,,14.2,15.6,14.6,,0.002,0.0018,,,1.41,,0.005,0.0001,20.0,64.0,,,,0.01,0.0003,,,,,,,,,,,0.051,,,0.75,,,,1.28,1.3,2.24,7.9,20.0,,,100.0,,8.24,,33.8,,0.024,0.006,,,,2.0,0.59,0.53,,,78.0,198.0,3.0,,,,,,,,,,0.0001,,,,,0.0001,2.0,,,2.0,0.46,0.808,0.33,230.0,,,0.124,0.121,,5.7,,,,,,,17.0,,,,,,,,,,,1.1,,,,,0.005,0.0002,,,,,,0.005,0.0002,,
2000-07-12 17:45:00,2000PNZ17701,NW10OB0006,94.0,21.6,22.3,26.4,,23.9,16.2,0.61,,125.0,0.2,0.31,0.22,,0.12,0.012,0.005,,,,0.0001,,,,0.042,0.0363,20.0,20.0,68.6,63.0,83.9,70.0,114.0,81.4,7.82,,0.001,0.05,0.88,,,,,0.01,,,,0.005,0.0001,26.0,27.3,25.3,,6.2,,,,,,,,,,0.49,,0.014,0.0002,,,0.008,0.0001,,10.0,,,0.016,0.0011,,86.0,100.0,,0.35,0.019,,0.55,96.0,,,8.7,25.1,73.0,,0.03,,,,0.54,0.33,,,,,,123.383,0.82,0.17,0.62,,,,,14.5,133.0,,,,,,0.047,0.0424,,,,0.02,0.0002,,0.006,0.001,,,14.2,16.1,14.6,,0.004,0.002,,,1.41,,0.005,0.0001,20.0,68.0,,,,0.021,0.0003,,,,,,,,,,,0.059,,,0.75,,,,1.28,1.3,2.24,7.9,20.0,,,100.0,,8.25,,33.8,,0.004,0.002,,,,2.0,0.59,0.53,,,80.0,193.0,3.0,,,,,,,,,,0.0001,,,,,0.0001,2.02,,,2.0,0.46,0.8,0.34,230.0,,,0.128,0.121,,6.1,,,,,,,17.0,,,,,,,,,,,1.0,,,,,0.018,0.0002,,,,,,0.02,0.0002,,
2000-07-12 17:50:00,2000PNZ17702,NW10OB0006,,,,,,,,,,124.0,,,,,0.05,0.017,0.005,,,,0.0001,,,,0.036,0.0359,,,,,,,,,,,0.001,0.05,,,,,,0.01,,,,0.005,0.0001,26.0,26.3,25.3,,6.2,,,,,,,,,,0.46,,0.005,0.0002,,,0.006,0.0001,,10.0,,,0.005,0.0009,,,,,,0.019,,,,,,,,,,0.03,,,,,,,,,,,124.207,,,,,,,,,,,,,,,0.037,0.0432,,,,0.024,0.0002,,0.005,0.0009,,,14.4,15.5,14.6,,0.002,0.0018,,,,,0.005,0.0001,,,,,,0.01,0.0002,,,,,,,,,,,0.027,,,,,,,,,,,,,,,,8.16,,,,0.004,0.004,,,,2.0,0.56,0.53,,,,184.0,27.0,,,,,,,,,,0.0001,,,,,0.0001,2.03,,,2.0,0.44,0.761,0.34,230.0,,,0.124,0.121,,6.1,,,,,,,,,,,,,,,,,,1.0,,,,,0.005,0.0001,,,,,,0.005,0.0002,,
2000-07-12 20:19:00,2000PNZ17696,NW10OB0003,101.0,21.6,22.3,26.4,,23.9,16.2,0.61,,98.4,0.2,0.31,0.22,,0.09,0.196,0.005,,,,0.0001,,,,0.028,0.0279,20.0,20.0,68.6,62.0,83.9,70.0,114.0,81.4,7.82,,0.001,0.05,0.88,,,,,0.05,,,,0.005,0.0001,22.7,23.4,22.5,,4.3,,,,,,,,,,0.49,,0.005,0.0002,,,0.005,0.0002,,5.0,230.0,,0.005,0.0011,,83.0,100.0,,0.35,0.021,,0.55,91.0,,,8.7,25.1,70.0,,0.01,,,,3.47,0.33,,,,,,98.675,0.82,0.17,0.62,,,,,14.5,133.0,,,,,,0.083,0.268,,,,0.02,0.0004,,0.005,0.001,,,10.2,11.4,10.6,,0.007,0.0077,,,1.41,,0.005,0.0001,20.0,66.0,,,,0.01,0.0004,,,,,,,,,,,0.044,,,0.75,,,,1.28,1.3,2.24,7.9,20.0,,,100.0,,8.3,8.42,33.8,,0.01,0.01,,,,2.0,0.5,0.55,,,75.0,157.0,3.0,,,,,,,,,,0.0001,,,,,0.0001,1.76,,,2.0,0.44,0.955,0.33,189.0,,,0.052,0.0511,,5.8,,,,11.0,,,17.0,,,,,,,,,,,7.4,,,,,0.005,0.0004,,,,,,0.005,0.0005,,
2000-07-22 06:23:00,2000PNP17716,NW10UF0003,,,,,,,,,,3.9,,,,,1.55,2.23,0.015,,,,0.0011,,,,0.024,0.0286,,,,,,,,,,,0.001,0.08,,,,,,0.09,,,,0.005,0.0003,1.99,2.4,2.53,,1.5,,,,,,,,,,0.2,,0.005,0.0013,,,0.005,0.0016,,30.0,,,0.005,0.0025,,,,,,0.048,,,,,,,,,,0.09,,,,,,,,,,,6.41,,,,,,,,,,,,,,,2.47,3.02,,,,0.02,0.0023,,0.005,0.0035,,,0.35,1.1,1.17,,0.03,0.0318,,,,,0.005,0.0004,,,,,,0.011,0.0019,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,6.74,,,,0.051,0.01,,,,2.0,0.5,1.07,,,,83.0,27.0,,,,,,,,,,0.0001,,,,,0.0001,1.94,,,2.0,0.39,10.748,0.58,17.0,,,0.012,0.0097,,2.8,,,,2.4,,,,,,,,,,,,,,55.4,,,,,0.005,0.0041,,,,,,0.009,0.0073,,
2000-07-22 15:48:00,2000PNP17717,NW10UF0002,,,,,,,,,,3.9,,,,,2.73,2.08,0.041,,,,0.0001,,,,0.047,0.0496,,,,,,,,,,,0.001,0.1,,,,,,0.08,,,,0.005,0.0004,1.97,3.0,3.12,,0.5,,,,,,,,,,0.14,,0.005,0.0022,,,0.007,0.0024,,40.0,,,0.005,0.0038,,,,,,0.013,,,,,,,,,,0.09,,,,,,,,,,,6.237,,,,,,,,,,,,,,,3.91,3.45,,,,0.02,0.0027,,0.005,0.0059,,,0.32,1.8,1.7,,0.057,0.0572,,,,,0.005,0.0001,,,,,,0.011,0.003,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,6.87,,,,0.284,0.06,,,,2.0,0.44,1.53,,,,66.0,136.0,,,,,,,,,,0.0001,,,,,0.0001,1.57,,,2.0,0.32,9.293,0.61,16.4,,,0.015,0.0136,,3.4,,,,,,,,,,,,,,,,,,80.9,,,,,0.013,0.0037,,,,,,0.011,0.0133,,
