DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)","1,3,5-TRIBROMOBENZENE","1,3-DIBROMOBENZENE",13C10-GAMMA-CHLORDANE,"2,3,6-TBA","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4-D BUTYRIC ACID (2,4-DB)","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)",ACIFLUORFEN,ALDRIN,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALPHA-HEXACHLOROCYCLOHEXANE (ALPHA-HCH OR ALPHA-BHC),ALUMINUM DISSOLVED,ALUMINUM TOTAL,AMINOMETHYL PHOSPHONIC ACID (AMPA),AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),AMPA / AMINOMETHYL PHOSPHONIC ACID,AMPA-13C (AMINOMETHYL PHOSPHONIC ACID),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,ATRAZINE,ATRAZINE-13C3,AZINPHOS-METHYL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM TOTAL,BENZOYLPROP-ETHYL,BERYLLIUM DISSOLVED,BERYLLIUM TOTAL,BETA-BENZENE HEXACHLORIDE OR BETA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON TOTAL,BROMIDE,BROMOXYNIL,BUTYLATE,CADMIUM DISSOLVED,CADMIUM TOTAL,CALCIUM DISSOLVED,CAPTAN,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONACEOUS OXYGEN DEMAND BOD5,CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHLOROPHYLL A,CHLOROPHYLL CORRECTED,CHLORPYRIFOS-D10,CHLORPYRIPHOS,CHROMIUM DISSOLVED,CHROMIUM TOTAL,CIS-NONACHLOR,CLOPYRALID,COBALT DISSOLVED,COBALT TOTAL,COLIFORMS TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER TOTAL,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),DELTA-HEXACHLOROCYCLOHEXANE-13C OR DELTA-HCH-13C OR DELTA-BHC-13C,DESETHYL-ATRAZINE (DEA),DIALLATE I,DIALLATE II,DIAZINON,DIBROM OR NALED,DICAMBA,DICHLOROPROP-13C6,"DICHLORPROP (2,4-DP)",DIELDRIN,DIMETHOATE,DINOSEB,DISSOLVED NITRITE/NITRATE,DISULFOTON,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULPHATE,ENDOSULFAN SULPHATE TOTAL,ENDRIN,ENDRIN KETONE AS A SURROGATE,ESCHERICHIA COLI,ETHALFLURALIN,ETHION,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FECAL STREPTOCOCCI,"FENOPROP OR SILVEX OR 2,4,5-TP",FENOXAPROP-ETHYL,FLUORIDE DISSOLVED,FOMESAFEN,FONOFOS,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-BHC-13C6 OR GAMMA-HCH-13C6,GAMMA-CHLORDANE,GAMMA-CHLORDANE-D10,GAMMA-HEXACHLOROCYCLOHEXANE (GAMMA-HCH OR LINDANE),GERMANIUM DISSOLVED,GERMANIUM TOTAL,GLUFOSINATE,GLYPHOSATE,GLYPHOSATE-15N-13C2,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOEGRASS (DICLOFOP METHYL),HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),IMAZAMETHABENZ-METHYL,IMAZAMOX,IMAZAPYR,IMAZETHAPYR,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MALATHION,MALATHION-D10,MANGANESE DISSOLVED,MANGANESE TOTAL,MCPA,MCPA-D6,MCPB,MCPB-D6,METHOXYCHLOR-13C12,METHYLCHLOROPHENOXYPROPIONIC ACID (MCPP) OR MECOPROP,METOLACHLOR,METRIBUZIN,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)",ORTHOPHOSPHORUS DISSOLVED,OXYCHLORDANE,OXYCHLORDANE-13C10,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DDT-D8","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",PARATHION ETHYL OR PARATHION,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PH,PH (FIELD),PHORATE,PHOSMET,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PICLORAM,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM FILTERED,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE VOLATILE FILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIMAZINE,SIMAZINE DESETHYL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TERBUFOS,THALLIUM DISSOLVED,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TRANS-NONACHLOR,TRIALLATE,TRICLOPYR,TRIFLURALIN,TRIFLURALIN-D14,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-01-20 11:50:00,1999PN090123,,,,,,,,,,,,,,,,,0.02,0.457,,1.3,0.003,,,,,,,,,,,0.164,0.207,,0.5,0.05,,,,,,0.088,,,,,0.001,0.0014,,,,12.5,5.02,17.52,,,,,,,,,,,,0.001,0.0025,,,0.001,0.0019,,15.0,8.32,0.001,0.0012,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,,8.67,,,0.002,0.0011,0.028,0.0402,,,,,,3.45,3.69,,,,,,,,,,0.001,0.0004,,,0.002,0.0016,,,0.609,2.279,1.67,,,,0.04,,,0.18,,,,,,,,,,,7.4,,,0.236,0.454,0.218,,,,,,,,80.4,96.4,,,,,,,,,,,,,,,0.0007,,,,,,,,,,0.334,0.361,,,,25.0,0.1,,,,,,,,,,,,,,,,,,,86.0,24.0,,,0.001,0.0007,,,,,0.002,0.0064,,
2000-02-09 13:35:00,1999PN090138,,,,,,,,,,,,,,,,,0.02,0.023,,1.46,0.007,,,,,,,,,,,0.163,0.191,,0.5,0.05,,,,,,0.052,,,,,0.004,0.001,,,,12.4,1.14,13.54,,,,,,,,,,,,0.001,0.0013,,,0.005,0.0013,,15.0,901.0,0.001,0.0005,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,,6.57,,,0.003,0.0004,0.016,0.0398,,,,,,3.28,3.13,,,,,,,,,,0.001,0.0017,,,0.002,0.0003,,,0.189,1.859,1.67,,,,0.024,,,0.1,,,,,,,,,,,7.84,,,0.089,0.273,0.184,,,,,,,,14.8,21.2,,,,,,,,,,,,,,,0.0007,,,,,,,,,,0.328,0.362,,,,25.0,0.0,,,,,,,,,,,,,,,,,,,65.0,4.7,,,0.001,0.0001,,,,,0.004,0.0021,,
2000-02-16 14:45:00,1999PN140097,,,,,,,,,,,,27.8,,,,,0.02,0.035,,0.013,0.0,,,,,,,,,,,0.009,0.01,,0.5,0.05,,,,,,0.005,,,,,0.001,0.0001,6.82,,0.657,5.02,,,,,,,,,1.06,,,,,0.001,0.0002,,,0.001,0.0002,,5.0,64.4,0.001,0.0005,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,0.0618,,,0.002,0.0006,0.001,0.0025,,,2.71,,,0.002,0.01,,,,,,,,,,0.001,0.0002,,,0.002,0.0004,,,0.022,0.326,0.304,,,,0.003,,,,,,,,,,,,,7.91,7.4,,,0.004,0.009,0.005,,,,0.91,,,,1.0,1.2,,,,,,,,-1.947,,,,,,,0.0001,,,1.77,,2.27,,14.41,65.2,11.804,0.027,0.0273,2.8,,,25.0,0.0,,,,,,,,,,35.324,,,,,,,,,2.5,2.0,,,0.001,0.0002,,,,,0.002,0.0004,,
2000-03-08 14:20:00,1999PN090164,,,,,,,,,,,,153.0,,,,,0.02,0.008,,0.015,0.0,,,,,,,,,,,0.037,0.0386,,0.5,0.05,,,186.507,,,0.004,,,,,0.001,0.0001,35.5,,0.713,6.74,0.413,7.153,,0.0,,,,,0.85,,,,,0.001,0.0002,,,0.001,0.0001,,5.0,293.0,0.001,0.0002,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,0.0,136.401,,,,,,,,0.0,,,,,,,,,0.004,,0.0128,,,0.002,0.0002,0.008,0.0095,,,11.6,,,0.001,0.0004,,,,,,,,,,0.001,0.0004,,,0.002,0.0002,,,0.065,0.434,0.369,,,,0.006,,,13.9,,,,,,,,,,8.29,8.61,,,0.012,0.023,0.011,,,,1.97,,,,,1.0,,,,,,,,0.151,,,,,,,0.0001,,,4.59,,10.3,,13.897,294.0,8.298,0.108,0.111,3.9,,,25.0,0.1,,,,,,,,,,160.669,,,,,,,,,0.91,0.51,,,0.001,0.0001,,,,,0.002,0.0002,,
2000-03-08 15:55:00,1999PN090163,,,,,,,,,,,,409.0,,,,,0.026,0.017,,1.28,0.008,,,,,,,,,,,0.127,0.132,,0.5,0.05,,,498.571,,,0.081,,,,,0.001,0.0001,84.9,,9.9,11.1,0.252,11.352,,0.0,,,,,12.1,,,,,0.001,0.0006,,,0.003,0.001,,7.5,862.0,0.004,0.0005,,,,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,0.0,345.386,,,,,,,,0.0,,,,,,,,,0.18,,0.512,,,0.002,0.0002,0.03,0.0413,,,32.4,,,2.57,2.51,,,,,,,,,,0.003,0.0009,,,0.002,0.0002,,,0.042,1.762,1.72,,,,0.007,,,0.5,,,,,,,,,,7.75,7.9,,,0.02,0.034,0.014,,,,3.98,,,,1.0,2.6,,,,,,,,0.202,,,,,,,0.0006,,,17.1,,56.6,,26.011,847.0,7.497,0.329,0.333,43.3,,,25.0,0.0,,,,,,,,,,496.159,,,,,,,,,3.7,2.5,,,0.001,0.0001,,,,,0.002,0.0024,,
2000-03-15 14:30:00,1999PN140218,,,,,,,,,,,,27.5,,,,,0.02,0.065,,0.011,0.0,,,,,,,,,,,0.009,0.0098,,0.5,0.05,,,33.523,,,0.002,,,,,0.001,0.0001,6.69,,2.993,4.75,0.171,4.921,,0.0,,,,,0.92,,,,,0.001,0.0002,,,0.001,0.0001,,5.0,58.3,0.001,0.0004,,,,,,,,,,,,,,0.049,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,0.074,27.574,,,,,,,,0.0,,,,,,,,,0.016,,0.0946,,,0.006,0.0002,0.002,0.0024,,,2.64,,,0.002,0.0127,,,,,,,,,,0.001,0.0001,,,0.002,0.0003,,,0.027,0.313,0.286,,,,0.005,,,8.42,,,,,,,,,,7.25,7.6,,,0.004,0.008,0.006,,,,0.96,,,,2.2,2.8,,,,,,,,-2.621,,,,,,,0.0001,,,1.82,,2.36,,15.137,64.6,12.492,0.024,0.0259,3.3,,,,0.0,,,,,,,,,,35.527,,,,,,,,,1.82,2.0,,,0.001,0.0002,,,,,0.002,0.0004,,
2000-04-26 13:30:00,2000PN090015,,,,,,,,,,,,,,,,,0.02,0.059,,,,,,,,,,,,,,0.06,0.0667,,0.5,0.05,,,,,,0.055,,,,,0.001,0.0001,,,,,,,,,,,,,,,,,,0.001,0.0002,,,0.001,0.0002,2.0,,366.0,0.001,0.0006,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,0.509,,,0.002,0.0003,0.01,0.0135,,,,,,0.021,0.0521,,,,,,,,,,0.001,0.0006,,,0.002,0.0005,,,,,,,,,,,,10.9,,,,,,,,,,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,,,,0.139,0.14,,,,,10.5,,,,,,,,,,,,,,,,,,,,6.3,,,0.001,0.0004,,,,,0.002,0.0007,,
2000-05-17 14:45:00,2000PN140372,,,,,,,,,,,,24.0,,,,,0.05,0.148,,0.009,0.0,,,,,,,,,,,0.008,0.01,,0.5,0.05,,,29.256,,,0.009,,,,,0.001,0.0001,6.01,,1.891,5.74,0.267,6.007,,0.0,,,,,1.01,,,,,0.001,0.0002,,,0.001,0.0001,,8.0,55.7,0.001,0.0007,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,0.476,24.476,,,,,,,,0.0,,,,,,,,,0.063,,0.186,,,0.002,0.0002,0.002,0.0021,,,2.3,,,0.002,0.0104,,,,,,,,,,0.001,0.0001,,,0.002,0.0004,,,0.032,0.267,0.235,,,,0.002,,,6.61,,,,,,,,,,7.29,7.39,,,0.008,0.014,0.006,,,,,0.91,,,1.6,2.4,,,,,,,,-2.359,,,,,,,0.0001,,,1.65,,,2.14,15.375,58.9,12.108,0.023,0.0241,2.3,,,,6.2,,,,,,,,,,30.854,,,,,,,,,4.3,5.0,,,0.001,0.0004,,,,,0.002,0.0009,,
2000-06-14 14:00:00,2000PN090040,,,,,,,,,,,1.3,143.0,,,,,0.02,0.017,,0.01,0.0,,,,,,0.0006,,,,,0.035,0.0376,,0.5,0.05,,,171.148,,,0.032,,,,,0.001,0.0001,33.1,,1.152,6.54,0.485,7.025,,1.56,,,,,0.71,,,,,0.001,0.0002,,,0.001,0.0001,,5.0,271.0,0.001,0.0004,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,0.0,127.526,,,,,,,,0.0,,,,,,,,,0.004,,0.0246,,,0.002,0.0002,0.008,0.009,,,10.9,,,0.001,0.0014,,,,,,,,,,0.001,0.0005,,,0.002,0.0002,,,0.062,0.364,0.302,,,,0.003,,,12.39,,,,,,,,,,8.31,8.37,,,0.014,0.021,0.007,,,,,1.87,,,2.0,3.5,,,,,,,,0.249,,,,0.0001,,,0.0001,,,3.67,0.34,,8.83,12.888,269.0,7.873,0.104,0.107,3.2,,,25.0,11.1,,,,,,,,,,148.234,,,,,,,,,1.9,1.1,,,0.001,0.0002,,,,,0.002,0.0005,,
2000-06-14 16:35:00,2000PN090039,,,,,,,,,,,3.7,221.0,,,,,0.02,0.042,,0.027,0.001,,,,,,0.0008,,,,,0.071,0.0762,,0.5,0.05,,,260.378,,,0.05,,,,,0.001,0.0001,47.9,,6.441,9.93,0.382,10.312,,4.44,,,,,5.2,,,,,0.001,0.0002,,,0.001,0.0002,36.0,20.0,445.0,0.001,0.0007,,,,,,,,,,,,,,0.01,,,,,,,,31.0,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,0.0,195.359,,,,,,,,0.0,,,,,,,,,0.083,,0.364,,,0.002,0.0002,0.013,0.019,,,18.4,,,0.024,0.037,,,,,,,,,,0.001,0.001,,,0.002,0.0006,,,0.061,0.507,0.446,,,,0.02,,,10.0,,,,,,,,,,8.42,7.82,,,0.02,0.054,0.034,,,,,2.18,,,2.0,3.2,,,,,,,,0.259,,,,0.0001,,,0.0001,,,1.8,0.78,,25.0,21.547,438.0,7.301,0.179,0.181,18.9,,,25.0,18.6,,,,,,,,,,252.174,,,,,,,,,3.6,3.6,,,0.001,0.0003,,,,,0.002,0.0004,,
