DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)",1-METHYLNAPHTHALENE,2-CHLORONAPHTHALENE,2-METHYLNAPHTHALENE,7-ISOPROPYL-1-METHYLPHENANTHRENE (RETENE),ACENAPHTHENE,ACENAPHTHYLENE,ALDRIN,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BENZO(A)ANTHRACENE,BENZO(A)PHENANTHRENE OR CHRYSENE,BENZO(A)PYRENE,BENZO(B)FLUORANTHENE,BENZO(E)PYRENE,"BENZO(G,H,I)PERYLENE",BENZO(K)FLUORANTHENE,BENZOPHENANTHRENE,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CIS-NONACHLOR,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),"DIBENZO(A,H)ANTHRACENE OR DIBENZ(A,H)ANTHRACENE",DIBENZOTHIOPHENE (DBT),DIELDRIN,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ENDRIN,ENDRIN KETONE AS A SURROGATE,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FLUORANTHENE,FLUORENE,FLUORENE-D10,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-CHLORDANE,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),INDENE,"INDENO(1,2,3-C,D)PYRENE",INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MERCURY TOTAL,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NAPHTHALENE,NAPHTHALENE-D8,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITRATE (AS N),NITRATE AND NITRITE (AS N),NITRITE (AS N),NITRITE AND NITRATE UNFILTERED,NITROGEN DISSOLVED NITRITE,NITROGEN KJELDAHL TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)","OIL AND GREASE, VISIBLE",OXYCHLORDANE,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",P-NAPHTHALENE,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PERYLENE,PERYLENE-D12,PH,PH (FIELD),PHENANTHRENE,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE/UNFILTERED,POTASSIUM FILTERED,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,PYRENE-D10,RESIDUE FILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE/UNFILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SODIUM TOTAL,SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TETRAHYDRONAPHTHALENE,THALLIUM DISSOLVED,THALLIUM TOTAL,THIOCYANATE,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TRANS-NONACHLOR,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-02-17 14:30:00,1999PN237570,NW06MA0001,,,,,,,,,7.2,,,,,0.05,0.008,.021,0,,,0.0001,,,,0.02,0.0196,,,,,,,,,,0.001,0.05,,,,,,0.01,,,,0.005,0.0001,2.12,2.3,2.28,1.272,1.2,3.7,0.046,,3.746,,,,,,1.64,,0.005,0.0002,,,0.005,0.0001,,10,17.1,,0.005,0.0006,,,,,,,.024,,,,,,,,,0.05,,,,,,,,,,2.375,9.575,,,,,,,,,,,,,,,0.012,0.0116,,,,0.02,0.0002,,0.005,0.0009,,,1.04,1.1,1.02,,0.002,0.0016,,,,0.005,0.0001,,,,,,0.01,0.0002,,,,,,,,,0.018,,0.211,.193,,,,,,,,,,,,,,,7.04,6.98,,0.015,.021,.006,,,0.39,2,,0.37,,,,20,3,,,,,,,-3.886,,,0.0001,,,,0.0001,0.21,,0.55,2,,10.622,0.46,26,14.812,,0.017,0.0158,1,,,0,,,,,,,,,,,11.426,,,,2.1,,,,0.005,0.0001,,,,,,0.005,0.0009,,
2000-05-12 14:15:00,2000PN237601,NW06MA0001,,,,,,,,,8.6,,,,,0.05,0.007,.006,,,,0.0001,,,,0.021,0.0213,,,,,,,,,,0.001,0.05,,,,,,0.02,,,,0.005,0.0001,2.46,2.4,2.48,2.584,,3.8,0.118,,3.918,,,,,,1.85,,0.005,0.0002,,,0.005,0.0001,,10,18,,0.005,0.0003,.002,,,,,,.008,,,,,,,,,0.05,,,,,,,,,,2.277,10.877,,,,,,,,,,,,,,,0.01,0.0111,,,,0.02,0.0002,,0.005,0.0006,,,1.15,1.2,1.08,,0.002,0.0012,,,,0.005,0.0001,,,,,,0.01,0.0003,,,,,,,,,0.025,,0.291,.266,,,,,,,,,,,,,,,6.81,7.2,,0.004,.014,.113,,,,2,0.41,0.37,,,,23,13,,,,,,,-3.976,,,0.0001,,,,0.0001,0.26,,,2,0.64,10.889,0.49,2690,14.762,,0.018,0.0171,0.3,,,0,,,,,,,,,,,12.315,,,,1.2,,,,0.005,0.0001,,,,,,0.005,0.0005,,
2000-06-29 11:30:00,2000PNE17646,NW06MA0001,,,,,,,,,8.3,,,,,0.05,0.013,.005,,,,0.0001,,,,0.02,0.0181,,,,,,,,,,0.001,0.05,,,,,,0.04,,,,0.005,0.0001,2.32,2.2,2.3,3.214,,3.8,0.308,,4.108,,,,,,1.56,,0.005,0.0002,,,0.005,0.0001,,5,10.1,,0.005,0.0007,,,,,,,.051,,,,,,,,,0.06,,,,,,,,,,1.61,9.91,,,,,,,,,,,,,,,0.032,0.0308,,,,0.023,0.0003,,0.01,0.0007,,,1,1.1,0.99,,0.008,0.0065,,,,0.005,0.0001,,,,,,0.01,0.0003,,,,,,,,,0.059,,0.336,.277,,,,,,,,,,,,,,,6.7,6.89,,0.004,.013,.013,,,,2,0.42,0.34,,,,24,3,,,,,,,-4.09,,,0.0001,,,,0.0001,0.37,,,2,0.64,11.766,0.49,24.8,14.879,,0.019,0.0153,1,,,1,,,,,,,,,,,12.576,,,,1.4,,,,0.005,0.0001,,,,,,0.005,0.0002,,
2000-08-22 13:10:00,2000PNA17744,NW06MA0001,,,,,,,,,7,,,,,0.05,0.01,.008,,,,0.0001,,,,0.017,0.0177,,,,,,,,,,0.001,0.05,,,,,,0.04,,,,0.005,0.0001,2.27,2.1,2.17,1.181,,3.7,0.381,,4.081,,,,,,1.41,,0.005,0.0002,,,0.005,0.0001,,5,,,0.005,0.0009,,,,,,,.008,,,,,,,,,0.06,,,,,,,,,,2.826,9.826,,,,,,,,,,,,,,,0.033,0.0349,,,,0.02,0.0002,,0.005,0.0006,,,1.01,1,0.94,,0.007,0.0064,,,,0.005,0.0001,,,,,,0.01,0.0002,,,,,,,,,0.057,,0.28,.223,,,,,,,,,,,,,,,7.06,,,0.006,.01,.004,,,,2,0.38,0.33,,,,43,3,,,,,,,,,,0.0001,,,,0.0001,0.28,,,2,0.57,10.74,0.46,23.8,,,0.018,0.0149,0.7,,,,,,,,,,,,,,10.915,,,,.2,,,,0.005,0.0001,,,,,,0.005,0.0003,,
2000-08-22 13:12:00,2000PNA17745,NW06MA0001,,,,,,,,,7,,,,,0.05,0.009,.006,,,,0.0001,,,,0.019,0.018,,,,,,,,,,0.001,0.05,,,,,,0.01,,,,0.005,0.0001,2.3,2.2,2.2,1.128,,3.8,0.436,,4.236,,,,,,1.4,,0.005,0.0004,,,0.005,0.0001,,5,,,0.005,0.0008,,,,,,,.008,,,,,,,,,0.06,,,,,,,,,,2.984,9.984,,,,,,,,,,,,,,,0.032,0.0441,,,,0.02,0.0002,,0.007,0.0006,,,1.03,1.1,0.95,,0.007,0.0065,,,,0.005,0.0001,,,,,,0.01,0.001,,,,,,,,,0.065,,0.283,.218,,,,,,,,,,,,,,,7.08,,,0.004,.005,.005,,,,2,0.38,0.33,,,,46,3,,,,,,,,,,0.0001,,,,0.0001,0.25,,,2,0.57,10.596,0.46,23.8,,,0.017,0.0151,0.6,,,,,,,,,,,,,,10.825,,,,.3,,,,0.005,0.0001,,,,,,0.005,0.0003,,
2000-08-22 13:16:00,2000PNA17747,NW06MA0001,,,,,,,,,.3,,,,,,,.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.953,,.5,0.209,,0.709,,,,,,,,,,,,,,,5,,,,,,,,,,,.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,0.033,.008,,,,,,,,,,,,,,,5.62,,,0.004,.004,.004,,,,,,,,,,17,3,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,.1,,,,,,,,,,,,,,
2001-06-21 14:15:00,2001PNB17055,NW06MA0001,,,,,,,,,7.9,,,,,,0.021,0.009,,,,0.0001,,,,,0.0167,,,,,,,,,,,0.05,,,,,,,,,,,0.0001,2.33,2,2.31,2.373,,3.7,0.175,,3.875,,,,,,1.3,,,0.0002,,,,0.0001,5,,,,,0.0003,,,,,,,0.028,,,,,,,,,0.05,,,,,,,,,,1.994,9.894,,,,,,,,,,,,,,,0.019,0.0644,,,,,0.0002,,,0.0006,,,0.99,,1.03,,0.003,0.0042,,,,,0.0001,,,,,,,0.0002,,,,,,,,,0.039,,0.219,0.18,,,,,,,,,,,,,,,6.81,,,0.004,0.004,0.004,,,,,0.41,0.32,,,,25,3,,,,,,,,,,0.0001,,,,0.0001,0.39,,,,0.6,11.14,0.41,23.5,,,,0.0142,0.8,,,,,,,,,,,,,,11.734,,,,0.6,,,,,0.0001,,,,,,,0.001,,
2001-06-21 14:23:00,2001PNB17057,NW06MA0001,,,,,,,,,7.7,,,,,,0.008,0.011,,,,0.0001,,,,,0.0169,,,,,,,,,,,0.05,,,,,,,,,,,0.0001,2.3,2,2.23,2.537,,3.1,0.23,,3.33,,,,,,1.37,,,0.0002,,,,0.0001,5,,,,,0.0003,,,,,,,0.026,,,,,,,,,0.05,,,,,,,,,,2.119,9.819,,,,,,,,,,,,,,,0.021,0.025,,,,,0.0002,,,0.0007,,,0.99,,0.98,,0.004,0.0049,,,,,0.0001,,,,,,,0.0003,,,,,,,,,0.049,,0.292,0.243,,,,,,,,,,,,,,,6.77,,,0.004,0.006,0.004,,,,,0.39,0.33,,,,25,3,,,,,,,,,,0.0001,,,,0.0001,0.39,,,,0.6,11.236,0.42,23.3,,,,0.0142,1.1,,,,,,,,,,,,,,11.925,,,,0.4,,,,,0.0001,,,,,,,0.0013,,
2001-06-21 14:29:00,2001PNB17058,NW06MA0001,,,,,,,,,7.7,,,,,,0.008,0.012,,,,0.0002,,,,,0.0164,,,,,,,,,,,0.05,,,,,,,,,,,0.0001,2.31,2,2.19,2.479,,0.7,0.169,,0.869,,,,,,1.33,,,0.0012,,,,0.0001,5,,,,,0.0003,,,,,,,0.026,,,,,,,,,0.06,,,,,,,,,,2.103,9.803,,,,,,,,,,,,,,,0.019,0.0294,,,,,0.0002,,,0.0007,,,0.98,,0.96,,0.003,0.0037,,,,,0.0001,,,,,,,0.0003,,,,,,,,,0.037,,0.242,0.205,,,,,,,,,,,,,,,6.78,,,0.004,0.004,0.004,,,,,0.39,0.31,,,,23,3,,,,,,,,,,0.0001,,,,0.0001,0.4,,,,0.59,11.085,0.41,23.3,,,,0.0139,1,,,,,,,,,,,,,,11.795,,,,0.6,,,,,0.0001,,,,,,,0.0013,,
2001-08-23 12:25:00,2001PNB17162,NW06MA0001,,,,,,,,,7.9,,,,,,0.017,0.005,,,,0.0001,,,,,0.0188,,,,,,,,,,,0.05,,,,,,,,,,,0.0001,2.29,,2.45,2.115,,3.4,0.123,,3.523,,,,,,1.28,,,0.0002,,,,0.0001,5,,,,,0.0002,,,,,,,0.025,,,,,,,,,0.05,,,,,,,,,,2.017,9.917,,,,,,,,,,,,,,,,0.0291,,,,,0.0002,,,0.0001,,,1.02,,1.02,,,0.0054,,,,,0.0007,,,,,,,0.0002,,,,,,,,,0.02,,0.219,0.199,,,,,,,,,,,,,,,6.86,,,0.004,0.011,0.02,,,,,0.42,0.36,,,,17,4,,,,,,,,,,0.0001,,,,0.0001,0.24,,,,0.6,11.106,0.45,24.3,,,,0.0167,1.5,,,,,,,,,,,,,,12.251,,,,0.8,,,,,0.0005,,,,,,,0.0002,,
