DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY GRAN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,ALUMINUM TOTAL RECOVERABLE,AMMONIA DISSOLVED,AMMONIA TOTAL,AMMONIA UNFILTERED,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ANTIMONY TOTAL RECOVERABLE,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,ARSENIC TOTAL RECOVERABLE,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BARIUM TOTAL RECOVERABLE,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BERYLLIUM TOTAL RECOVERABLE,BISMUTH DISSOLVED,BISMUTH TOTAL,BISMUTH TOTAL RECOVERABLE,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BORON TOTAL RECOVERABLE,BROMINE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CADMIUM TOTAL RECOVERABLE,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CALCIUM TOTAL RECOVERABLE,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC,"CARBON, TOTAL ORGANIC (NON PURGEABLE)",CERIUM TOTAL,CESIUM TOTAL,CHLORIDE DISSOLVED,CHLORIDE TOTAL,CHLOROPHYLL A EXTRACTABLE,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CHROMIUM TOTAL RECOVERABLE,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COBALT TOTAL RECOVERABLE,COLIFORMS TOTAL,COLOUR APPARENT,COLOUR TRUE,COMPLEXED ALUMINUM,COMPLEXED COPPER,COMPLEXED IRON,COMPLEXED LEAD,COMPLEXED MANGANESE,COMPLEXED ZINC,CONDUCTANCE (FIELD),CONDUCTIVITY,COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,COPPER TOTAL RECOVERABLE,DISSOLVED NITROGEN NITRATE,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM TOTAL,GALLIUM TOTAL RECOVERABLE,GERMANIUM TOTAL,HAFNIUM TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM TOTAL,INDIUM TOTAL,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,IRON TOTAL RECOVERABLE,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LANTHANUM TOTAL RECOVERABLE,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LEAD TOTAL RECOVERABLE,LITHIUM DISSOLVED,LITHIUM TOTAL,LITHIUM TOTAL RECOVERABLE,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MAGNESIUM TOTAL RECOVERABLE,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MANGANESE TOTAL RECOVERABLE,MERCURY SUSPENDED,MERCURY TOTAL,METHYL MERCURY,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,MOLYBDENUM TOTAL RECOVERABLE,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NICKEL TOTAL RECOVERABLE,NIOBIUM TOTAL,NITRITE AND NITRATE UNFILTERED,NITRITE/NITRATE,NITROGEN NITRATE,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHATE DISSOLVED/UNFILTERED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,OXYGEN DISSOLVED % SATURATION (CALCD.),PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,POTASSIUM EXTRACTABLE/UNFILTERED,POTASSIUM TOTAL,POTASSIUM TOTAL RECOVERABLE,POTASSIUM UNFILTERED,PRASEODYMIUM TOTAL,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUBIDIUM TOTAL RECOVERABLE,RUTHENIUM TOTAL,SAMARIUM TOTAL,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SELENIUM TOTAL RECOVERABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SILVER TOTAL RECOVERABLE,SIO2,SODIUM DISSOLVED,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SODIUM EXTRACTABLE/UNFILTERED,SODIUM TOTAL,SODIUM TOTAL RECOVERABLE,SODIUM UNFILTERED,SOLIDS SUSPENDED,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,STRONTIUM TOTAL RECOVERABLE,SULPHATE DISSOLVED,SULPHATE TOTAL,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,THALLIUM TOTAL RECOVERABLE,TIN DISSOLVED,TIN EXTRACTABLE,TIN TOTAL,TIN TOTAL RECOVERABLE,TITANIUM DISSOLVED,TITANIUM EXTRACTABLE,TITANIUM TOTAL,TITANIUM TOTAL RECOVERABLE,TOTAL NITRATE,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,URANIUM TOTAL RECOVERABLE,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,VANADIUM TOTAL RECOVERABLE,WATER DEPTH,YTTERBIUM TOTAL,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZINC TOTAL RECOVERABLE,ZIRCONIUM TOTAL
2000-01-03 12:00:00,2000-AT0087-0001,NS01ED0005,-0.24,,,254.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,15.6,,,6.13,,,,,,,,,,,,133.0,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,0.6,,,,,,18.8,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,4.75,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,39.3,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03 12:00:00,2000-AT0087-0005,NS01ED0110,0.11,,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,5.2,,,4.73,,,,,,,,,,,,34.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.186,,,,,,,,,,,,,,0.52,,,,,,42.8,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,5.15,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,3.14,,,,,,,29.3,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03 12:00:00,2000-AT0087-0006,NS01EE0014,-0.81,,,184.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,13.7,,,3.7,,,,,,,,,,,,119.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.234,,,,,,,,,,,,,,0.5,,,,,,15.6,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,4.61,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,,,31.6,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-03 12:01:00,2000-AT0087-0002,NS01ED0111,0.03,,,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,5.3,,,4.57,,,,,,,,,,,,31.0,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.238,,,,,,,,,,,,,,0.45,,,,,,102.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,5.11,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,,,27.0,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18 12:00:00,2000-AT0087-0007,NS01ED0005,-1.04,,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,13.7,,,5.84,,,,7.28,,,,,,,,112.0,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.277,,,,,,,,,,,,,,0.57,,,,,,18.3,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,4.65,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,37.8,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18 12:00:00,2000-AT0087-0008,NS01ED0111,-0.08,,,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,4.5,,,4.76,,,,4.48,,,,,,,,20.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.158,,,,,,,,,,,,,,0.52,,,,,,101.0,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,5.15,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,28.8,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18 12:00:00,2000-AT0087-0012,NS01EE0014,-1.31,,,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,12.3,,,3.67,,,,12.1,,,,,,,,91.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.171,,,,,,,,,,,,,,0.5,,,,,,15.5,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,4.55,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,,32.0,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18 12:01:00,2000-AT0087-0009,NS01ED0110,-0.59,,,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,5.1,,,4.42,,,,1.68,,,,,,,,24.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.112,,,,,,,,,,,,,,0.51,,,,,,44.1,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,5.05,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,28.6,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 09:43:00,2000-AT0227-0007,PE01CD0050,,27.1,,,0.198,,,,0.005,,,,,,,0.0002,,,,0.0243,,,,0.05,,,,,,,,,,,,0.0001,,,,8.18,,,7.5,5.3,,,,,,14.5,,0.2,,,0.0003,,,,0.0002,,,36.4,,,,,,,,125.0,,,,0.0004,,,,2.0,,,,,,,,,,,,,,0.3,,,,,,,0.0004,,,0.0005,,,,,4.51,,,,,0.0551,,,,,,,0.0001,,,,,0.0002,,,0.252,,,,0.664,,,,,,,7.17,7.9,0.034,,,,,,0.92,,,,,,,,,,,,,0.0001,,,,0.0001,,2.8,,,,8.03,,,,,122.0,,,0.0086,,3.9,,,,,,,,,,,,,,,,,,,,12.0,,3.9,,,,,,,,0.0004,,,,,,,0.0015,,
2000-01-31 12:00:00,2000-AT0087-0013,NS01ED0005,-0.88,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,12.4,,,6.1,,,,8.36,,,,,,,,94.0,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.259,,,,,,,,,,,,,,0.56,,,,,,18.6,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,4.7,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,3.78,,,,,,,37.3,,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
