DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM TOTAL,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON TOTAL,BROMIDE,CADMIUM DISSOLVED,CADMIUM TOTAL,CALCIUM DISSOLVED,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT TOTAL,COLIFORMS TOTAL,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER TOTAL,DISSOLVED NITRITE/NITRATE,ESCHERICHIA COLI,FECAL COLIFORMS,FLUORIDE DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HYDROXIDE (CALCD.),IRON DISSOLVED,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM TOTAL,MAGNESIUM DISSOLVED,MANGANESE DISSOLVED,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL,NICKEL DISSOLVED,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,PH,PH (FIELD),PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM FILTERED,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,SATURATION INDEX (CALCD.),SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM TOTAL,SULPHATE DISSOLVED,TEMPERATURE WATER (FIELD),THALLIUM DISSOLVED,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC TOTAL
2006-08-28 11:00:00,2006PN070079,AL11AA0002,5.6,205.,,,0.026,0.002,,,,,,,,,236.242,,,,,,,,56.2,1.273,12.8,0.669,13.469,6.72,,,,,26.3,,,,,,1696,,,0.010,200,260,0.18,,,187.703,392.703,0,,,,,,,,,61.3,,,,,,,,,0.108,1.039,0.931,0.002,8.51,8.48,8.68,0.022,0.033,0.011,,,,5.70,8.4,10.8,,,0.828,,,,,,5.39,,,232.,55.804,1680,6.823,,,659.,16.7,,,,,,,1169.114,,,12.2,13.1,,,,,,,,
2006-08-28 13:30:00,2006PN070080,AL11AA0003,,92.6,,,0.016,0.001,,,,,,,,,112.879,,,,,,,,22.4,0.967,1.27,1.41,2.68,0,,,,,0.51,,,,,,205,,,0.014,30,88,0.06,,,0,90.516,0,,,,,,,,,8.40,,,,,,,,,0.168,0.31,0.142,0.002,8.18,8.26,8.46,0.086,0.087,0.002,,,,0.81,96.0,106.,,,0.058,,,,,,2.03,,,7.21,14.635,201.,8.144,,,14.1,19.7,,,,,,,111.142,,,41.1,57.9,,,,,,,,
2006-09-11 11:15:00,2006PN070081,AL11AA0002,5.1,203.,,,0.032,0.003,,,,,,,,,235.023,,,,,,,,64.8,1.291,13.6,1.06,14.66,6.12,,,,,33.0,,,,,,1978,,,0.010,6,14,0.17,,,288.577,491.577,0,,,,,,,,,80.1,,,,,,,,,0.169,1.179,1.01,0.002,8.7,8.47,8.76,0.03,0.043,0.013,,,,7.23,4.2,7.2,,,0.907,,,,,,0.49,,,283.,55.16,1940,6.655,,,809.,18.0,,,,,,,1399.634,,,5.44,5.8,,,,,,,,
2006-09-11 14:00:00,2006PN070082,AL11AA0003,,93.3,,,0.009,0.001,,,,,,,,,113.733,,,,,,,,22.6,0.907,1.000,1.14,2.14,0,,,,,0.47,,,,,,201,,,0.013,200,24,0.05,,,0,91.262,0,,,,,,,,,8.46,,,,,,,,,0.144,0.23,0.086,0.002,8.36,8.29,8.48,0.071,0.075,0.004,,,,0.57,82.4,90.0,,,0.037,,,,,,1.78,,,6.46,13.26,199.,8.216,,,12.5,17.7,,,,,,,108.928,,,38.0,45.5,,,,,,,,
2006-10-23 12:00:00,2006PN070101,AL11AA0002,8.0,243.,,,0.009,0,,,,,,,,,276.713,,,,,,,,47.6,1.308,4.00,0.384,4.384,9.6,,,,,6.34,,,,,,788,,,0.459,92,56,0.14,,,22.834,265.834,0,,,,,,,,,35.7,,,,,,,,,0.045,0.772,0.727,0.002,10.48,8.54,8.81,0.011,0.014,0.003,,,,2.19,7.8,9.4,,,0.495,,,,,,3.59,,,11.5,8.525,780.,7.55,,,177.,3.4,,,,,,,431.893,,,9.22,10.2,,,,,,,,
2006-10-23 14:40:00,2006PN070102,AL11AA0003,7.5,227.,,,0.012,0,,,,,,,,,258.428,,,,,,,,45.4,1.281,2.42,0.729,3.149,9,,,,,6.21,,,,,,732,,,0.168,2,2,0.14,,,0,210.937,0,,,,,,,,,23.7,,,,,,,,,0.104,0.437,0.333,0.002,10.24,8.52,8.79,0.062,0.065,0.003,,,,1.89,61.2,67.6,,,0.5,,,,,,2.15,,,81.3,45.341,726.,7.52,,,158.,5.6,,,,,,,455.734,,,43.5,52.6,,,,,,,,
2006-11-06 10:30:00,2006PN070114,AL11AA0002,7.6,242.,,,0.010,0,,,,,,,,,276.469,,,,,,,,55.7,1.399,3.85,,,9.12,,,,,5.78,,,,,,748,,,0.560,10,69,0.14,,,40.355,282.355,0,,,,,,,,,34.8,,,,,,,,,,,0.804,0.002,9.44,8.51,8.7,0.009,0.011,0.002,,,,2.00,4.8,6.8,,,0.56,,,,,,5.32,,,57.3,30.45,744.,7.39,,,157.,4.3,,,,,,,465.721,,,7.38,8.57,,,,,,,,
2006-11-06 14:00:00,2006PN070115,AL11AA0003,6.4,207.,,,0.020,0.001,,,,,,,,,236.73,,,,,,,,41.0,1.168,2.23,,,7.68,,,,,5.01,,,,,,643,,,0.227,8,4,0.13,,,0,204.067,0,,,,,,,,,24.7,,,,,,,,,,,0.405,0.002,8.9,8.52,8.75,0.026,0.030,0.004,,,,1.87,18.8,22.0,,,0.494,,,,,,2.50,,,68.4,41.902,643.,7.531,,,131.,7.7,,,,,,,399.816,,,14.4,16.7,,,,,,,,
2006-12-04 11:15:00,2006PN070124,AL11AA0002,,352.,,,0.038,0,,,,,,,,,429.088,,,,,,,,79.3,6.597,4.34,,,0,,,,,5.30,,,,,,842,,,0.442,,,0.16,,,2.046,354.046,0,,,,,,,,,37.9,,,,,,,,,,,0.739,0.002,8.63,8.01,8.19,0.032,0.035,0.003,,,,2.12,14.4,16.8,,,0.216,,,,,,2.59,,,53.2,24.507,821.,7.578,,,113.,0.0,,,,,,,506.728,,,12.4,17.9,,,,,,,,
2006-12-04 13:30:00,2006PN070125,AL11AA0003,,405.,,,0.075,0.001,,,,,,,,,493.695,,,,,,,,81.4,6.011,3.67,,,0,,,,,9.33,,,,,,1173,,,0.488,8,4,0.16,,,0,389.344,0,,,,,,,,,45.2,,,,,,,,,,,0.802,0.002,6.03,8.11,8.44,0.006,0.008,0.002,,,,2.98,2.2,2.8,,,0.37,,,,,,7.23,,,124.,40.709,1140,7.371,,,239.,0.0,,,,,,,754.462,,,2.75,3.18,,,,,,,,
