DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)","1,3,5-TRIBROMOBENZENE","1,3-DIBROMOBENZENE",13C10-GAMMA-CHLORDANE,"2,3,6-TBA","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4-D BUTYRIC ACID (2,4-DB)","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)",ACETAMIPRID,ACIFLUORFEN,ALDRIN,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALPHA-HEXACHLOROCYCLOHEXANE (ALPHA-HCH OR ALPHA-BHC),ALUMINUM DISSOLVED,ALUMINUM TOTAL,AMINOMETHYL PHOSPHONIC ACID (AMPA),AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),AMPA / AMINOMETHYL PHOSPHONIC ACID,AMPA-13C (AMINOMETHYL PHOSPHONIC ACID),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,ATRAZINE,ATRAZINE-13C3,AZINPHOS-METHYL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM TOTAL,BENZOYLPROP-ETHYL,BERYLLIUM DISSOLVED,BERYLLIUM TOTAL,BETA-BENZENE HEXACHLORIDE OR BETA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON TOTAL,BROMIDE,BROMOXYNIL,BUTYLATE,CADMIUM DISSOLVED,CADMIUM TOTAL,CALCIUM DISSOLVED,CAPTAN,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONACEOUS OXYGEN DEMAND BOD5,CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHLOROPHYLL A,CHLOROPHYLL CORRECTED,CHLORPYRIFOS-D10,CHLORPYRIPHOS,CHROMIUM DISSOLVED,CHROMIUM TOTAL,CIS-NONACHLOR,CLOPYRALID,CLOTHIANIDIN,CLOTHIANIDIN-D3,COBALT DISSOLVED,COBALT TOTAL,COLIFORMS TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER TOTAL,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),DELTA-HEXACHLOROCYCLOHEXANE-13C OR DELTA-HCH-13C OR DELTA-BHC-13C,DESETHYL-ATRAZINE (DEA),DIALLATE I,DIALLATE II,DIAZINON,DIBROM OR NALED,DICAMBA,DICHLOROPROP-13C6,"DICHLORPROP (2,4-DP)",DIELDRIN,DIMETHOATE,DINOSEB,DINOTEFURAN,DISSOLVED NITRITE/NITRATE,DISULFOTON,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULPHATE,ENDOSULFAN SULPHATE TOTAL,ENDRIN,ENDRIN KETONE AS A SURROGATE,ESCHERICHIA COLI,ETHALFLURALIN,ETHION,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FECAL STREPTOCOCCI,"FENOPROP OR SILVEX OR 2,4,5-TP",FENOXAPROP-ETHYL,FLONICAMID,FLUORIDE DISSOLVED,FLUPYRADIFURONE,FOMESAFEN,FONOFOS,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-BHC-13C6 OR GAMMA-HCH-13C6,GAMMA-CHLORDANE,GAMMA-HEXACHLOROCYCLOHEXANE (GAMMA-HCH OR LINDANE),GERMANIUM DISSOLVED,GERMANIUM TOTAL,GLUFOSINATE,GLYPHOSATE,GLYPHOSATE-15N-13C2,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOEGRASS (DICLOFOP METHYL),HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),IMAZAMETHABENZ-METHYL,IMAZAMOX,IMAZAPYR,IMAZETHAPYR,IMIDACLOPRID,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MALATHION,MALATHION-D10,MANGANESE DISSOLVED,MANGANESE TOTAL,MCPA,MCPA-D6,MCPB,MCPB-D6,METHYLCHLOROPHENOXYPROPIONIC ACID (MCPP) OR MECOPROP,METOLACHLOR,METRIBUZIN,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)",ORTHOPHOSPHORUS DISSOLVED,OXYCHLORDANE,OXYCHLORDANE-13C10,OXYGEN DISSOLVED,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DDT-D8","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",PARATHION ETHYL OR PARATHION,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PH,PH (FIELD),PHORATE,PHOSMET,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS SOLUBLE REACTIVE,PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PICLORAM,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM FILTERED,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE VOLATILE FILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIMAZINE,SIMAZINE DESETHYL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TERBUFOS,THALLIUM DISSOLVED,THALLIUM TOTAL,THIACLOPRID,THIAMETHOXAM,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TRANS-NONACHLOR,TRIALLATE,TRICLOPYR,TRIFLURALIN,TRIFLURALIN-D14,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-01-11 10:35:00,1999PN090114,AL05DA0001,,,,,,,,,,,,,115.,,,,,0.020,,,0.005,0,,,,,0.0001,,,,,,0.034,,,0.50,,,,140.185,,,0.003,,,,,0.001,,38.6,,2.205,0.794,0.038,0.832,,0,,,,,0.66,,,,,0.001,,,,,,0.001,,1.,5.0,313.,0.001,,,,,,,,,,,,,,,,0.121,,,,,,,,,,,,,1.,1.,,,,0.75,,,,,,,,,,,,,,,,,,41.492,156.492,,,,,,,,0,,,,,,,,,,0.004,,,,,0.002,,0.002,,,,14.6,,,0.001,,,,,,,,,,0.001,,,,0.002,,,,0.01,0.143,0.133,,,,,,,12.0,,,,,,,,,8.17,8.0,,,0.004,,0.002,0.002,,,,0.41,,,,,1.80,,,,,,,,-0.543,,,0.0001,,,,,,,3.53,,1.05,,1.435,326.,9.086,0.743,,41.8,,,25.,0.0,,,,,,,,,,,,170.936,,,,,,,,,1.84,1.6,,,0.001,,,,,,0.002,,,
2000-01-19 15:45:00,1999PN090121,SA05FE0001,,,,,,,,,,,,,535.,,,,,0.020,0.049,,0.144,0,,,,,,,,,,,0.163,0.180,,0.50,0.05,,,652.165,,,0.196,,,,,0.001,0.0001,99.5,,82.327,13.3,0.237,13.537,,0,,,,,31.4,,,,,0.001,0.0004,,,,,0.001,0.0004,20.,15.,1214.,0.002,0.0020,,,,,,,,,,,,,,,0.380,,,,,,,,20.,,,,,20.,,,,,0.31,,,,,,,,,,,,,,,,,,0,420.954,,,,,,,,0,,,,,,,,,,0.045,,0.339,,,0.002,0.0002,0.073,0.120,,,41.9,,,0.030,0.0314,,,,,,,,,0.002,0.0020,,,0.004,0.0041,,,0.044,1.124,1.08,,,,0.008,,,1.68,,,,,,,,,7.80,7.11,,,0.014,,0.034,0.020,,,,10.6,,,,1.60,2.20,,,,,,,,-0.438,,,,,,,0.0001,,,10.6,,151.,,43.068,1340,7.977,0.724,0.797,189.,,,25.,0.0,,,,,,,,,,,,856.993,,,,,,,,,3.9,5.0,,,0.001,0.0003,,,,,0.002,0.0010,,
2000-01-20 09:30:00,1999PN090122,AL05EF0003,,,,,,,,,,,,,,,,,,0.020,0.043,,0.312,0.002,,,,,,,,,,,0.065,0.0689,,3.83,0.05,,,,,,0.011,,,,,0.011,0.0001,,,,1.84,0.115,1.955,,,,,,,,,,,,0.006,0.0002,,,,,0.007,0.0001,31,5.0,350.,0.003,0.0007,,,,,,,,,,,,,,,0.366,,,,,,,,20.,,,,,20.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,0.0641,,,0.002,0.0002,0.001,0.0045,,,,,,0.007,0.0024,,,,,,,,,0.004,0.0011,,,0.002,0.0008,,,0.013,0.823,0.810,,,,0.015,,,7.03,,,,,,,,,,7.87,,,0.005,,0.042,0.037,,,,,,,,1.40,2.00,,,,,,,,,,,,,,,0.0001,,,,,,,,,,0.404,0.455,,,,25.,0.0,,,,,,,,,,,,,,,,,,,,,1.94,2.0,,,0.003,0.0002,,,,,0.017,0.0012,,
2000-02-09 09:05:00,1999PN090136,SA05FE0001,,,,,,,,,,,,,486.,,,,,0.020,0.034,,0.296,0.002,,,,,,,,,,,0.166,0.176,,0.50,0.05,,,592.434,,,0.201,,,,,0.001,0.0001,97.9,,11.764,10.8,0.411,11.21,,0,,,,,29.9,,,,,0.001,0.0003,,,,,0.001,0.0004,,20.,1319.,0.001,0.0019,,,,,,,,,,,,,,,0.158,,,,,,,,2.,,,,,5.,,,,,0.28,,,,,,,,,,,,,,,,,,0,412.43,,,,,,,,0,,,,,,,,,,0.034,,0.192,,,0.002,0.0002,0.071,0.111,,,40.8,,,0.115,0.111,,,,,,,,,0.002,0.0017,,,0.004,0.0039,,,0.041,1.061,1.02,,,,0.008,,,0.5,,,,,,,,,8.06,7.92,,,0.013,,0.029,0.016,,,,9.39,,,,1.0,2.00,,,,,,,,0.316,,,,,,,0.0003,,,12.9,,143.,,42.311,1250,7.268,0.713,0.754,174.,,,25.0,0.0,,,,,,,,,,,,800.47,,,,,,,,,2.8,2.5,,,0.001,0.0003,,,,,0.002,0.0046,,
2000-02-09 11:20:00,1999PN090137,AL05EF0003,,,,,,,,,,,,,,,,,,0.020,0.048,,0.371,0.003,,,,,,,,,,,0.068,0.0734,,0.50,0.05,,,,,,0.015,,,,,0.001,0.0001,,,,2.24,0.124,2.364,,,,,,,,,,,,0.001,0.0002,,,,,0.001,0.0001,13.,5.0,420.,0.001,0.0011,,,,,,,,,,,,,,,0.486,,,,,,,,2.,,,,,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,0.0649,,,0.002,0.0002,0.004,0.0054,,,,,,0.001,0.0032,,,,,,,,,0.001,0.0012,,,0.002,0.0010,,,0.014,0.953,0.939,,,,0.028,,,9.8,,,,,,,,,,8.02,,,0.006,,0.038,0.032,,,,,,,,1.20,2.00,,,,,,,,,,,,,,,0.0001,,,,,,,,,,0.445,0.468,,,,25.0,0.0,,,,,,,,,,,,,,,,,,,,,2.1,1.9,,,0.001,0.0006,,,,,0.002,0.0024,,
2000-02-15 10:45:00,1999PN090124,AL05DA0001,,,,,,,,,,,,,113.,,,,,0.020,,,0.006,0,,,,,0.0001,,,,,,0.034,,,0.50,,,,137.747,,,0.004,,,,,0.001,,38.1,,1.358,0.321,0.015,0.336,,0,,,,,0.72,,,,,0.001,,,,,,0.001,,1,5.,316.,0.001,,,,,,,,,,,,,,,,0.112,,,,,,,,,,,,,1.,1.,,,,0.08,,,,,,,,,,,,,,,,,,45.949,158.949,,,,,,,,0,,,,,,,,,,0.004,,,,,0.002,,0.001,,,,15.5,,,0.001,,,,,,,,,,0.001,,,,0.002,,,,0.01,0.185,0.175,,,,,,,11.6,,,,,,,,,7.69,8.2,,,0.004,,0.002,0.002,,,,0.40,,,,,1.0,,,,,,,,-0.358,,,0.0002,,,,,,,3.41,,1.08,,1.453,315.,8.916,0.748,,48.9,,,25.0,0.0,,,,,,,,,,,,176.486,,,,,,,,,0.91,0.73,,,0.001,,,,,,0.002,,,
2000-03-08 08:55:00,1999PN090157,SA05FE0001,,,,,,,,,,,,,462.,,,,,0.072,0.020,,0.205,,,,,,,,,,,,0.143,0.147,,0.50,0.05,,,563.178,,,0.180,,,,,0.001,0.0001,89.3,,,8.09,0.270,8.36,,0,,,,,26.8,,,,,0.001,0.0002,,,,,0.005,0.0002,3.,15.,,0.011,0.0013,,,,,,,,,,,,,,,0.240,,,,,,,,2.,,,,,2.,,,,,0.28,,,,,,,,,,,,,,,,,,0,383.133,,,,,,,,0,,,,,,,,,,0.051,,0.135,,,0.002,0.0002,0.080,0.113,,,38.9,,,0.054,0.0502,,,,,,,,,0.006,0.0014,,,0.002,0.0030,,,0.029,0.945,0.916,,,,0.006,,,,,,,,,,,,7.84,,,,0.013,,0.027,0.014,,,,7.69,,,,1.00,1.40,,,,,,,,,,,,,,,0.0001,,,13.3,,136.,,42.967,1200,,0.638,0.643,181.,,,25.0,,,,,,,,,,,,,771.533,,,,,,,,,2.5,,,,0.001,0.0003,,,,,0.002,0.0019,,
2000-03-08 09:00:00,1999PN090158,SA05FE0001,,,,,,,,,,,,,469.,,,,,0.052,0.024,,0.194,,,,,,,,,,,,0.145,0.145,,0.50,0.05,,,571.711,,,0.193,,,,,0.001,0.0001,88.9,,,8.06,0.261,8.321,,0,,,,,25.2,,,,,0.001,0.0002,,,,,0.004,0.0004,2.,15.,,0.009,0.0012,,,,,,,,,,,,,,,0.235,,,,,,,,2.,,,,,2.,,,,,0.25,,,,,,,,,,,,,,,,,,0,383.37,,,,,,,,0,,,,,,,,,,0.028,,0.136,,,0.002,0.0002,0.078,0.112,,,39.2,,,0.054,0.0497,,,,,,,,,0.005,0.0014,,,0.002,0.0028,,,0.031,0.946,0.915,,,,0.006,,,,,,,,,,,,7.88,,,,0.012,,0.026,0.014,,,,8.07,,,,1.0,1.60,,,,,,,,,,,,,,,0.0001,,,12.8,,138.,,43.28,1190,,0.647,0.634,166.,,,25.0,,,,,,,,,,,,,760.861,,,,,,,,,2.6,,,,0.001,0.0003,,,,,0.002,0.0014,,
2000-03-08 09:05:00,1999PN090159,SA05FE0001,,,,,,,,,,,,,465.,,,,,0.025,0.022,,0.201,,,,,,,,,,,,0.143,0.146,,0.50,0.05,,,566.835,,,0.175,,,,,0.001,0.0001,88.8,,,8.12,0.250,8.37,,0,,,,,25.4,,,,,0.001,0.0002,,,,,0.001,0.0003,2.,15.,,0.005,0.0012,,,,,,,,,,,,,,,0.238,,,,,,,,2.,,,,,2.,,,,,0.26,,,,,,,,,,,,,,,,,,0,376.533,,,,,,,,0,,,,,,,,,,0.025,,0.135,,,0.002,0.0002,0.072,0.111,,,37.6,,,0.054,0.0502,,,,,,,,,0.004,0.0015,,,0.002,0.0031,,,0.033,0.944,0.911,,,,0.006,,,,,,,,,,,,7.90,,,,0.012,,0.025,0.013,,,,7.71,,,,1.0,1.60,,,,,,,,,,,,,,,0.0001,,,12.9,,134.,,43.018,1190,,0.634,0.639,166.,,,25.0,,,,,,,,,,,,,752.724,,,,,,,,,2.3,,,,0.001,0.0003,,,,,0.002,0.0020,,
2000-03-08 11:20:00,1999PN090162,AL05EF0003,,,,,,,,,,,,,129.,,,,,0.044,0.074,,0.283,0.003,,,,,,,,,,,0.059,0.0628,,0.50,0.05,,,157.251,,,0.009,,,,,0.001,0.0001,45.8,,1.959,1.68,0.290,1.97,,0,,,,,5.63,,,,,0.001,0.0002,,,,,0.003,0.0003,5.,5.,379.,0.006,0.0010,,,,,,,,,,,,,,,0.510,,,,,,,,3.,,,,,3.,,,,,0.15,,,,,,,,,,,,,,,,,,43.412,172.412,,,,,,,,0,,,,,,,,,,0.011,,0.118,,,0.002,0.0002,0.009,0.0046,,,14.1,,,0.001,0.0055,,,,,,,,,0.003,0.0012,,,0.002,0.0009,,,0.035,0.993,0.958,,,,0.026,,,10.4,,,,,,,,,7.97,8.06,,,0.011,,0.043,0.032,,,,1.02,,,,2.40,4.40,,,,,,,,-0.329,,,,,,,0.0001,,,3.59,,9.38,,10.518,375.,8.758,0.408,0.413,54.2,,,25.0,0.0,,,,,,,,,,,,213.529,,,,,,,,,4.2,3.5,,,0.001,0.0005,,,,,0.002,0.0026,,
