DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA TOTAL,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM EXTRACTABLE,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM EXTRACTABLE,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ESCHERICHIA COLI,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,FLUORIDE TOTAL,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITRATE AND NITRITE (AS N),NITROGEN KJELDAHL DISSOLVED,NITROGEN KJELDAHL TOTAL,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM EXTRACTABLE,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICON DISSOLVED,SILICON EXTRACTABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SODIUM TOTAL,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE,SULPHATE DISSOLVED,SULPHUR DISSOLVED,SULPHUR TOTAL,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN EXTRACTABLE,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL NITRATE,TUNGSTEN DISSOLVED,TUNGSTEN EXTRACTABLE,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM EXTRACTABLE,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-01-11 09:15:00,00PY000115,BC08NL0001,,,,,0.017,,,,,,,0.0003,,19.6,0.0192,,0.002,0.05,,,,,,5.13,,,,0.007,0.0001,,19.2,,12.5,1.4,,,,,,,,,,,0.11,0.0002,,0.012,0.0001,5.0,,,0.88,0.0008,0.5,0.5,,,,,,,0.03,,,,,0.004,,,,,,,62.8,,,,,,,,,0.018,,0.024,,,0.03,0.0002,,0.59,0.0003,,,,3.6,,,0.906,0.0008,,,0.0008,,,,0.02,0.0002,,,,,,,,,0.11,,,,,,,7.8,,,0.011,,,,,0.7,,,,,,0.365,,,,,,,,,,0.0001,,5.27,,0.005,0.0001,,3.6,,136.0,,124.0,0.119,,,,,,,,-1.0,,,,,0.007,,,,,,,,,,,0.44,,0.153,,,,0.0003,,,,,,,0.36,0.0002,,
2000-01-11 13:05:00,00PY000116,BC08NL0005,,,,,0.016,,,,,,,0.0008,,27.0,0.0261,,0.002,0.05,,,,,,5.2,,,,0.007,0.0001,,25.1,,16.0,1.1,,,,,,,,,,,,0.0002,,0.43,0.0003,5.0,,,0.99,0.0008,1.28,0.5,,,,,,,0.05,,,,,0.005,,,,,,,80.7,,,,,,,,,0.026,,0.022,,,0.21,0.0002,,0.98,0.0008,,,,4.4,,,5.24,0.0048,,,0.0014,,,,0.02,0.0002,,,,,,,,,,,,,,,,7.8,,,0.011,,,,,0.8,,,,,,0.477,,,,,,,,,,0.0002,,5.75,,0.005,0.0001,,4.0,,172.0,,142.0,0.134,,,,,,,,0.5,,,,,0.006,,,,,,,,,,,0.52,,0.508,,,0.49,0.0004,,,,,,,0.65,0.0004,,
2000-01-18 17:30:00,00PY000214,BC08NM0001,,,,,0.058,,,,,,,,,,0.0273,,,0.05,,,,,,,,,,,0.0001,,,,,,,,,,,,,,3.6,,,0.0004,,,0.0001,,,,,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.0002,,,0.0034,,,,,,,,0.0131,,,0.0033,,,,,0.0005,,,,,,,,,0.34,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,0.325,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,0.0007,,,,,,,,0.0005,,
2000-01-25 12:15:00,00PY000307,BC08NL0001,,,,,0.02,,,,,,,0.0003,,19.7,0.0191,,0.002,0.05,,,,,,5.59,,,,0.005,0.0001,,18.1,,13.2,1.7,,,,,,,,,,,0.14,0.0002,,0.023,0.0001,5.0,,,1.02,0.0008,0.5,0.5,,,,,,,0.03,,,,,0.005,,,,,,,59.5,,,,,,,,,0.021,,0.023,,,0.04,0.0002,,0.59,0.0005,,,,3.4,,,0.984,0.0009,,,0.0008,,,,0.63,0.0007,,,,,,,,,0.06,,,,,,,7.9,,,0.01,,,,,0.6,,,,,,0.375,,,,,,,,,,0.0001,,4.82,,0.005,0.0001,,3.6,,141.0,,126.0,0.118,,,,,,,,0.0,,,,,0.006,,,,,,,,,,,0.43,,0.157,,,,0.0003,,,,,,,0.31,0.0002,,
2000-01-25 13:25:00,00PY000309,BC08NL0005,,,,,0.02,,,,,,,0.0009,,27.2,0.0261,,0.002,0.05,,,,,,5.54,,,,0.009,0.0001,,24.3,,17.2,1.6,,,,,,,,,,,,0.0002,,0.448,0.0004,2.5,,,0.88,0.0006,1.31,0.5,,,,,,,0.05,,,,,0.006,,,,,,,78.8,,,,,,,,,0.0316,,0.025,,,0.02,0.0003,,1.0,0.0009,,,,4.4,,,4.69,0.0044,,,0.0013,,,,0.11,0.0003,,,,,,,,,,,,,,,,8.04,,,0.011,,,,,0.8,,,,,,0.485,,,,,,,,,,0.0001,,5.46,,0.005,0.0001,,4.1,,180.0,,147.0,0.136,,,,,,,,2.0,,,,,0.005,,,,,,,,,,,0.55,,0.549,,,0.53,0.0004,,,,,,,0.43,0.0003,,
2000-02-02 10:00:00,00PY000436,BC08NM0001,,,,,0.036,,,,,,,,,,0.0266,,,0.05,,,,,,,,,,,0.0001,,34.4,,27.4,3.8,,,,,,,,,4.1,,,0.0002,,,0.0001,7.5,,,,0.0007,,,,,,,,6.0,,,,,,,,,,,,,127.5,,,,,,,,,0.0645,,,,,,0.0002,,,0.0033,,,,10.1,,,,0.0107,,,0.0032,,,,,0.0003,,,,,,,,,0.29,,,,,,,8.19,,0.009,0.007,,,,,2.6,,,,,,,,,,,,,,,,,,3.2,,,0.0001,,11.1,,287.0,,,0.319,,,,,,,3.0,3.5,,,,,,,,,,,,,,,,1.4,,,,,,0.0006,,,,,,,,0.0011,,
2000-02-08 13:23:00,00PY000496,BC08NL0005,,,,,0.019,,,,,,,0.0007,,27.9,0.0271,,0.002,0.05,,,,,,5.34,,,,0.016,0.0001,,25.1,,17.8,1.1,,,,,,,,,,,,0.0002,,0.404,0.0004,2.5,,,0.7,0.0005,1.5,0.5,,,,,,2.0,0.05,,,,,0.007,,,,,,,80.0,,,,,,,,,0.0288,,0.022,,,0.02,0.0003,,1.09,0.001,,,,4.2,,,4.55,0.0043,,,0.0014,,,,0.02,0.0002,,,,,,,,,0.09,,,,,,,8.15,,,0.003,,,,,1.0,,,,,,0.498,,,,,,,,,,0.0001,,5.49,,0.005,0.0001,,4.1,,181.0,,150.0,0.139,,,,,,,6.0,3.0,,,,,0.005,,,,,,,,,,,0.36,,0.566,,,0.55,0.0005,,,,,,,0.38,0.0002,,
2000-02-09 10:25:00,00PY000515,BC08NL0001,,,,,0.16,,,,,,,0.0003,,22.6,0.0231,,0.008,0.05,,,,,,10.3,,,,0.011,0.0001,,20.0,,14.4,1.0,,,,,,,,,,,0.32,0.0002,,0.058,0.0002,7.5,,,1.14,0.0011,0.5,0.5,,,,,,2.0,0.04,,,,,0.025,,,,,,,64.3,,,,,,,,,0.195,,0.271,,,0.1,0.0002,,1.7,0.0016,,,,3.7,,,4.9,0.0051,,,0.0008,,,,0.02,0.0002,,,,,,,,,0.06,,,,,,,7.88,,,0.002,,,,,0.6,,,,,,0.704,,,,,,,,,,0.0001,,5.0,,0.005,0.0001,,4.8,,149.0,,143.0,0.133,,,,,,,6.0,0.0,,,,,0.01,,,,,,,,,,,0.38,,0.181,,,,0.0006,,,,,,,1.12,0.0009,,
2000-02-15 19:00:00,00PY000625,BC08NM0001,,,,,0.035,,,,,,,,,,0.0246,,,0.05,,,,,,,,,,,0.0001,,33.0,,26.3,2.9,,,,,,,,,3.7,,,0.0003,,,0.0001,5.0,,,,0.0008,,,,,,,,2.0,,,,,,,,,,,,,122.0,,,,,,,,,0.0605,,,,,,0.0004,,,0.0035,,,,9.5,,,,0.0106,,,0.0032,,,,,0.0004,,,,,,,,,0.17,,,,,,,8.28,,0.014,0.006,,,,,2.5,,,,,,,,,,,,,,,,,,2.7,,,0.0001,,11.0,,285.0,,,0.303,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,1.2,,,,,,0.0007,,,,,,,,0.0007,,
2000-02-22 08:30:00,00PY000730,BC08NL0001,,,,,0.017,,,,,,,0.0003,,21.5,0.0208,,0.002,0.05,,,,,,5.78,,,,0.005,0.0001,,20.0,,14.2,1.0,,,,,,,,,,,0.89,0.0002,,0.016,0.0001,2.5,,,,,0.5,0.5,,,,,,2.0,0.04,,,,,0.005,,,,,,,66.0002,,,,,,,,,0.0162,,0.023,,,0.83,0.0009,,0.65,0.0005,,,,3.9,,,0.936,0.0008,,,0.0008,,,,0.55,0.0003,,,,,,,,,0.02,,,,,,,8.02,,,0.012,,,,,0.7,,,,,,0.398,,,,,,,,,,0.0001,,5.0,,0.005,0.0001,,3.9,,153.0,,134.0,0.126,,,,,,,-1.0,1.0,,,,,0.016,,,,,,,,,,,0.54,,0.187,,,,0.0004,,,,,,,0.55,0.0005,,
