SITE_NO,DATE_TIME_HEURE,ALUMINUM DISSOLVED,ALUMINUM TOTAL RECOVERABLE,AMMONIA DISSOLVED,ANTIMONY DISSOLVED,ANTIMONY TOTAL RECOVERABLE,ARSENIC DISSOLVED,ARSENIC TOTAL RECOVERABLE,BARIUM DISSOLVED,BARIUM TOTAL RECOVERABLE,BROMIDE,CADMIUM DISSOLVED,CADMIUM TOTAL RECOVERABLE,CALCIUM DISSOLVED,CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CHLORIDE DISSOLVED,CHLOROPHYLL A,CHROMIUM DISSOLVED,CHROMIUM TOTAL RECOVERABLE,COBALT DISSOLVED,COBALT TOTAL RECOVERABLE,COPPER  TOTAL RECOVERABLE,COPPER DISSOLVED,DISSOLVED NITROGEN NITRATE,FLUORIDE DISSOLVED,IRON DISSOLVED,IRON TOTAL RECOVERABLE,LEAD DISSOLVED,LEAD TOTAL RECOVERABLE,LITHIUM DISSOLVED,LITHIUM TOTAL RECOVERABLE,MAGNESIUM DISSOLVED,MANGANESE DISSOLVED,MANGANESE TOTAL RECOVERABLE,MERCURY DISSOLVED,MERCURY TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL RECOVERABLE,NICKEL  TOTAL RECOVERABLE,NICKEL DISSOLVED,NITRATE AND NITRITE (AS N),NITROGEN DISSOLVED NITRITE,NITROGEN NITRITE,NITROGEN PARTICULATE ORGANIC,NITROGEN TOTAL,"NITROGEN, NITRATE",ORTHOPHOSPHATE DISSOLVED,PHOSPHATE (AS P),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,POTASSIUM DISSOLVED/FILTERED,SELENIUM DISSOLVED,SELENIUM TOTAL RECOVERABLE,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL RECOVERABLE,SODIUM DISSOLVED/FILTERED,STRONTIUM DISSOLVED,STRONTIUM TOTAL RECOVERABLE,SULPHATE DISSOLVED,SULPHUR PARTICULATE,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUES OR TOTAL SUSPENDED MATERIALS),TURBIDITY,VANADIUM DISSOLVED,VANADIUM TOTAL RECOVERABLE,ZINC DISSOLVED,ZINC TOTAL RECOVERABLE
QU02LB9001,2016-04-05 10:20,25.8,1940.0,0.017,0.04,0.05,0.25,0.54,11.4,41.9,,0.013,0.01,,6.07,1.61,8.01,0.72,0.223,4.11,0.05,1.06,3.4,0.98,0.431,,56.4,2290.0,0.02,0.75,,2.4,,4.46,49.6,1.28,3.08,0.24,0.25,3.06,0.506,,0.001,,0.32,0.78,,0.009,,0.077,0.019,,0.068,0.15,,0.002,0.007,,68.2,80.0,6.25,,46.0,54.0,0.307,4.57,0.59,9.1
QU02LB9001,2016-04-19 09:35,40.5,508.0,0.013,0.04,0.04,0.244,0.34,13.7,18.3,,0.063,0.01,,6.28,0.27,6.25,0.88,0.207,1.01,0.04,0.2,1.2,0.82,0.279,,66.2,534.0,0.03,0.23,0.4,0.7,,3.28,13.3,1.41,2.32,0.19,0.2,0.87,0.463,,0.024,,0.04,0.57,,0.005,,0.022,0.009,,0.057,0.11,,0.002,0.005,,58.5,59.1,5.66,,7.0,8.1,0.225,1.07,0.9,2.4
QU02LB9001,2016-05-02 10:00,53.5,564.0,0.008,0.04,0.04,0.229,0.36,11.0,17.3,,0.005,0.02,,6.66,0.33,2.97,0.91,0.247,3.62,0.03,0.29,1.8,0.9,0.157,,77.0,662.0,0.04,0.36,0.4,0.7,,2.35,28.2,1.51,2.41,0.16,0.25,2.17,0.435,,0.005,,0.05,0.43,,0.005,,0.02,0.008,,0.071,0.09,,0.002,0.005,,38.5,40.2,4.62,,6.0,6.1,0.212,1.15,0.92,3.1
QU02LB9001,2016-05-16 10:20,54.3,431.0,0.036,0.04,0.04,0.25,0.36,10.6,16.0,,0.015,0.03,,6.69,0.51,3.13,2.05,0.235,0.94,0.03,0.23,1.2,0.81,0.113,,84.0,546.0,0.04,0.33,0.4,0.6,,4.89,25.3,1.55,2.8,0.15,0.16,0.82,0.399,,0.023,,0.07,0.38,,0.005,,0.024,0.008,,0.058,0.08,,0.002,0.005,,38.9,38.9,4.64,0.09,9.0,6.8,0.236,1.01,0.77,2.9
QU02LB9001,2016-06-22 10:05,51.6,296.0,0.047,0.04,0.04,0.322,0.34,10.2,13.8,,0.007,0.01,,6.97,0.37,2.46,2.56,0.261,0.68,0.03,0.13,1.1,0.62,0.101,,101.0,369.0,0.05,0.22,0.4,0.6,,3.91,20.6,0.56,0.77,0.15,0.16,0.71,0.434,,0.041,,0.05,0.39,,0.005,,0.019,0.011,,0.065,0.07,,0.002,0.005,,,34.8,4.14,0.09,5.0,5.0,0.33,0.72,0.81,1.8
QU02LB9001,2016-07-11 10:30,41.9,322.0,0.077,0.04,0.05,0.337,0.41,11.1,15.3,,0.006,0.03,,6.37,0.37,3.05,2.16,0.237,0.72,0.03,0.16,1.2,0.94,0.124,,101.0,412.0,0.06,0.25,0.5,0.7,,7.12,31.3,1.03,1.89,0.18,0.18,0.76,0.451,,0.043,,0.04,0.51,,0.006,,0.025,0.011,,0.069,0.09,,0.002,0.005,,37.5,39.3,4.29,0.09,4.0,3.6,0.363,0.82,1.06,1.9
QU02LB9001,2016-08-17 10:20,34.8,238.0,0.067,0.05,0.05,0.392,0.44,11.9,14.5,,0.005,0.01,,5.82,0.54,3.8,2.54,0.205,0.55,0.02,0.11,1.1,0.9,0.156,,91.7,329.0,0.06,0.18,0.5,0.7,,3.96,26.2,0.66,1.3,0.2,0.21,0.59,0.387,,0.018,,0.07,0.49,,0.006,,0.021,0.012,,0.068,0.07,,0.002,0.005,,45.8,46.5,5.16,0.09,3.0,3.3,0.423,0.77,0.77,1.4
QU02LB9001,2016-09-22 10:20,26.0,206.0,0.059,0.05,0.04,0.402,0.45,12.5,14.9,,0.005,0.01,,5.86,0.37,4.54,2.07,0.171,0.45,0.02,0.09,1.1,0.92,0.157,,74.6,282.0,0.04,0.16,0.5,0.6,,2.55,19.3,0.5,0.93,0.21,0.24,0.54,0.478,,0.07,,0.04,0.46,,0.004,,0.017,0.007,,0.077,0.08,,0.002,0.005,,51.8,51.7,5.74,0.09,3.0,3.0,0.388,0.7,0.9,1.1
QU02LB9001,2016-10-26 10:15,24.1,420.0,0.095,0.05,0.05,0.376,0.47,12.0,16.7,,0.006,0.03,,6.43,0.47,4.95,1.26,0.231,1.15,0.02,0.19,1.4,1.01,0.258,,67.7,493.0,0.04,0.26,0.5,0.8,,1.06,15.5,0.7,1.35,0.24,0.25,1.03,0.61,,0.069,,0.04,0.6,,0.01,,0.026,0.014,,0.066,0.1,,0.002,0.005,,52.5,56.5,6.05,0.09,7.0,8.5,0.345,1.02,1.09,2.1
QU02LB9001,2016-11-22 09:50,30.0,214.0,0.075,0.04,0.04,0.323,0.41,12.5,15.0,,0.006,0.02,,5.93,0.45,5.54,2.92,0.282,0.7,0.03,0.11,1.2,0.96,0.265,,107.0,367.0,0.05,0.19,0.6,,,1.8,15.1,0.7,1.22,0.24,0.25,0.81,0.577,,0.043,,0.05,0.56,,0.006,,0.022,0.011,,0.072,0.09,,0.002,0.005,,59.0,,6.82,0.27,4.0,4.7,0.271,,0.74,1.4
