DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY GRAN CACO3,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA TOTAL,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,BROMIDE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC,CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM EXTRACTABLE,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM EXTRACTABLE,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ENTEROCOCCUS,ESCHERICHIA COLI,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,FLUORIDE TOTAL,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,GRAN ALKALINITY (AS H+),HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS DISSOLVED CACO3,HARDNESS TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITRATE AND NITRITE (AS N),NITROGEN DISSOLVED NITRITE,NITROGEN DISSOLVED ORGANIC (CALCD.),NITROGEN KJELDAHL DISSOLVED,NITROGEN KJELDAHL TOTAL,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,NITROGEN TOTAL ORGANIC,NITROGEN TOTAL ORGANIC (CALCD.),ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM EXTRACTABLE,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FILTERABLE,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE TOTAL,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SALINITY,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICON DISSOLVED,SILICON EXTRACTABLE,SILICON TOTAL,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SODIUM TOTAL,SOLIDS TOTAL,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE,SULPHATE DISSOLVED,SULPHUR DISSOLVED,SULPHUR TOTAL,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN EXTRACTABLE,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE),TOTAL NITRATE,TUNGSTEN DISSOLVED,TUNGSTEN EXTRACTABLE,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,UV ABSORBANCE 250 NM,UV ABSORBANCE 254 NM,UV ABSORBANCE 310 NM,UV ABSORBANCE 340 NM,UV ABSORBANCE 360 NM,UV ABSORBANCE 365 NM,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM EXTRACTABLE,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-01-02 14:30:00,00PY000078,AK08DC0001,,,47.2,,,0.034,,,,,,,,0.0004,,37.8,0.037,,0.002,0.05,,,,,,0.94,,,,,0.078,0.0001,,26.8,,10.1,0.5,,,,,,,,,,,,,,0.0002,,0.05,0.0001,5.0,,,0.92,0.0007,0.5,0.5,,,,,,,,,,,,,0.023,,,,,,,,,73.2,,,,,,,,,,0.0358,,0.011,,,0.21,0.0002,,0.42,0.0004,,,,1.5,,,10.3,0.0092,,,0.0032,,,,0.22,0.0006,,,,,,,,,,,0.14,,,,,,,,7.91,,,,,,,,0.9,,,,,,,,,1.37,,,,,,,,,,,0.0004,,1.27,,,0.005,0.0001,,0.9,,,155.0,,148.0,0.141,,,,,,,,1.0,,,,,0.003,,,,,,,,,,,,0.56,,,0.333,,,,,,,,,,0.0001,,,,,,,6.21,0.005,,
2000-01-04 12:30:00,00PY000069,BC08HD0004,,,24.4,,,0.241,,,,,,,,0.0002,,2.53,0.0026,,0.002,0.05,,,,,,10.5,,,,,0.008,0.0001,,8.1,,5.3,3.4,,,,,,,,,,,,,,0.0002,,0.131,0.0002,20.0,,,1.2,0.0011,,,,,,,,,,,,,,,0.046,,,,,,,,,27.3,,,,,,,,,,0.373,,0.058,,,0.07,0.0003,,0.13,0.0001,,,,1.7,,,14.7,0.0142,,,0.0001,,,,0.23,0.0003,,,,,,,,,,,0.39,,,,,,,,7.07,,,0.014,,,,,0.2,,,,,,,,,0.273,,,,,,,,,,,0.0001,,3.92,,,0.005,0.0001,,3.3,,,71.0,,27.1,0.0261,,6.4,,,,,,4.0,,,,,0.01,,,,,,,,,,,,3.7,,,0.016,,,,,,,,,1.46,0.0017,,,,,,,1.23,0.0008,,
2000-01-05 14:10:00,00PY000092,BC08HA0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10 10:00:00,00PY000109,BC08EF0001,,,51.6,,,0.059,,,,,,,,,,,0.0238,,,0.05,,,,,,,,,0.05,,,0.0001,,18.2,,11.6,1.9,,,,,,,,,,,0.7,,,0.0002,,,0.0001,5.0,,,,0.0007,,,,0.106,,,,,,0.03,,,,,,,,,,,,,,57.6,,,,,,,,,,0.114,,,,,,0.0002,,,0.0002,,,,2.9,,,,0.0055,,,0.0007,,,,,0.0002,,,,,,,,,0.005,,0.2,,,0.05,,,,,7.5,,0.009,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,2.7,,,,0.0001,,2.3,,,122.0,,,0.123,,9.6,,,,,,0.0,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,0.0002,,,,,,,,0.0003,,
2000-01-16 10:30:00,00PY000164,AK08DC0001,,,53.5,,,0.334,,,,,,,,0.0009,,50.3,0.0528,,0.002,0.05,,,,,,0.6,,,,,0.134,0.0002,,33.9,,12.2,0.5,,,,,,,,,,,,,,0.0003,,0.232,0.0003,5.0,,,1.67,0.0017,0.5,0.5,,,,,,,,,,,,,0.066,,,,,,,,,92.8,,,,,,,,,,0.44,,0.092,,,1.77,0.002,,0.66,0.0006,,,,2.0,,,21.3,0.0228,,,0.0045,,,,0.51,0.0006,,,,,,,,,,,0.2,,,,,,,,7.63,,,,,,,,1.1,,,,,,,,,1.91,,,,,,,,,,,0.0021,,1.62,,,0.032,0.0001,,1.1,,,198.0,,192.0,0.186,,,,,,,,1.0,,,,,0.007,,,,,,,,,,,,7.6,,,0.434,,,,,,,,,,0.0011,,,,,,,10.3,0.0098,,
2000-01-20 14:00:00,00PY000272,BC08HD0004,,,32.5,,,0.096,,,,,,,,0.0002,,2.22,0.0022,,0.002,0.05,,,,,,12.4,,,,,0.005,0.0001,,10.7,,7.2,2.2,,,,,,,,,,,,,,0.0002,,0.065,0.0001,15.0,,,1.43,0.0015,,,,,,,,,,,,,,,0.021,,,,,,,,,35.8,,,,,,,,,,0.206,,0.028,,,0.06,0.0002,,0.12,0.0001,,,,2.2,,,9.34,0.0088,,,0.0001,,,,0.06,0.0002,,,,,,,,,,,0.31,,,,,,,,7.85,,,0.012,,,,,0.2,,,,,,,,,0.215,,,,,,,,,,,0.0001,,4.3,,,0.005,0.0001,,3.9,,,89.0,,33.6,0.0322,,8.5,,,,,,3.0,,,,,0.008,,,,,,,,,,,,1.5,,,0.021,,,,,,,,,1.54,0.0014,,,,,,,0.64,0.0011,,
2000-01-25 14:30:00,00PY000308,BC08EF0001,,,62.0,,,0.096,,,,,,,,,,,0.0272,,,0.05,,,,,,,,,0.05,,,0.0001,,20.6,,14.2,2.3,,,,,,,,,,,0.5,,,0.0002,,,0.0001,7.5,,,,0.0009,,,,0.12,,,,,,0.03,,,,,,,,,,,,,,65.5,,,,,,,,,,0.165,,,,,,0.0002,,,0.0004,,,,3.4,,,,0.0055,,,0.0008,,,,,0.0003,,,,,,,,,0.005,,0.23,,,0.05,,,,,7.83,,0.016,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,2.89,,,,0.0001,,2.7,,,147.0,,,0.147,,12.6,,,,,,0.0,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,0.0003,,,,,,,,0.0006,,
2000-02-01 08:30:00,00PY000394,AK08DC0001,,,49.4,,,0.028,,,,,,,,0.0007,,40.0,0.0387,,0.002,0.05,,,,,,0.85,,,,,0.071,0.0001,,26.2,,11.3,0.5,,,,,,,,,,,,,,0.0002,,0.054,0.0001,2.5,,,0.96,0.0008,0.5,0.5,,,,,,,,,,,,,0.016,,,,,,,,,70.7748,,,,,,,,,,0.0346,,0.013,,,0.1,0.0002,,0.25,0.0001,,,,1.3,,,2.26,0.0021,,,0.0032,,,,0.26,0.0002,,,,,,,,,,,0.15,,,,,,,,7.85,,,,,,,,0.8,,,,,,,,,1.55,,,,,,,,,,,0.0017,,1.4,,,0.005,0.0001,,0.7,,,156.0,,133.0,0.125,,,,,,,,1.0,,,,,0.003,,,,,,,,,,,,0.49,,,0.404,,,,,,,,,,0.0001,,,,,,,3.24,0.0028,,
2000-02-02 13:55:00,00PY000434,BC08HD0004,,,21.6,,,0.287,,,,,,,,0.0002,,2.58,0.0025,,0.003,0.05,,,,,,10.8,,,,,0.005,0.0001,,6.9,,4.7,3.3,,,,,,,,,,,,,,0.0003,,0.162,0.0002,25.0,,,1.21,0.0011,,,,,,,,,,,,,,,0.054,,,,,,,,,23.8,,,,,,,,,,0.418,,0.065,,,0.08,0.0002,,0.14,0.0001,,,,1.6,,,15.4,0.0151,,,0.0001,,,,0.26,0.0003,,,,,,,,,,,0.36,,,,,,,,6.94,,,0.012,,,,,0.2,,,,,,,,,0.258,,,,,,,,,,,0.0001,,3.67,,,0.005,0.0001,,3.3,,,64.0,,27.1,0.0246,,6.5,,,,,7.0,5.0,,,,,0.005,,,,,,,,,,,,0.05,,,0.013,,,,,,,,,1.48,0.0015,,,,,,,1.13,0.0011,,
2000-02-03 14:35:00,00PY000480,BC08HA0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,
