DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM EXTRACTABLE,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM EXTRACTABLE,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLIFORMS TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ESCHERICHIA COLI,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FECAL STREPTOCOCCI,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITRATE AND NITRITE (AS N),NITROGEN KJELDAHL DISSOLVED,NITROGEN KJELDAHL TOTAL,NITROGEN NITRITE,NITROGEN PARTICULATE,NITROGEN TOTAL,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS SOLUBLE REACTIVE,PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM EXTRACTABLE,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,POTASSIUM FILTERED,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE VOLATILE FILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILICON DISSOLVED,SILICON EXTRACTABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SODIUM TOTAL,SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE,SULPHATE DISSOLVED,SULPHUR DISSOLVED,SULPHUR TOTAL,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN EXTRACTABLE,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE),TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TOTAL NITRATE,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TUNGSTEN DISSOLVED,TUNGSTEN EXTRACTABLE,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM EXTRACTABLE,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-01-11 13:05:00,1999PN090115,AL07AA0015,,93.2,0.02,,,0.005,0.0,,,,0.0001,,,0.065,,,0.5,,,113.611,,,,0.002,,,,0.001,,,29.0,,,4.521,,0.451,0.026,0.477,0.0,,,,,,,,0.39,0.001,,,0.001,,,1.0,5.0,227.0,0.001,,,0.117,,,,,1.0,1.0,0.07,,,,,,,,,,19.395,,112.595,,,0.0,,,,,0.004,,,,,,0.002,,,0.001,,,,,9.76,,,0.001,,,0.001,,,,,0.002,,,,,,,,,,0.01,,0.145,0.135,,12.5,,,7.98,7.6,0.004,,0.004,0.003,,,,0.37,,,,,,,1.0,,,,,,,,,-1.147,,,0.0001,,,,,,,,,3.98,,0.9,,,1.703,,235.0,9.893,0.293,,,,25.6,,,,,,25.0,0.0,,,,,,,,,,,,126.508,,,,,,1.96,1.8,,,,0.001,,,,,,,,0.002,,,,
2000-01-11 14:25:00,1999PN090116,AL07AA0023,,96.6,0.02,,0.214,0.027,0.0,,,,0.0001,,,0.053,,0.0563,0.5,,0.05,117.755,,,,0.003,,,,0.001,,0.0001,32.6,,,4.686,,0.501,1.96,2.461,0.0,,,,,,,,1.01,0.001,,0.0002,0.001,,0.0002,21.0,5.0,263.0,0.001,,0.0005,0.122,,,,,5.0,2.0,0.8,,,,,,,,,,27.619,,124.219,,,0.0,,,,,0.009,,0.48,,,,0.002,,0.0006,0.002,,0.0035,,,10.4,,,0.002,,0.0168,0.001,,0.0002,,,0.002,,0.0005,,,,,,,,0.03,,0.2,0.17,,12.4,,,7.73,7.6,0.004,,0.006,0.004,,,,0.4,,,,,,,42.4,,,,,,,,,-1.083,,,0.0001,,,,,,,,0.0001,3.75,,1.65,,,2.799,,258.0,9.766,0.277,,0.286,,26.7,,,,,,25.0,0.0,,,,,,,,,,,,135.81,,,,,,13.6,17.0,,,,0.001,,0.0003,,,,,,0.002,,0.0019,,
2000-02-01 11:21:00,00PY000402,BC07FD0005,,,,,0.055,,,,,,,,0.0002,,,0.0351,,,0.05,,,,,,,,,,,0.0001,,28.2,,,20.3,2.3,,,,,,,,,,,,,,0.0002,,,0.0001,,5.0,,,,0.0007,,,,,,,,,,,,,,,,,,,,97.2,,,,,,,,,,0.124,,,,,,0.0006,,,0.0012,,,,6.5,,,,0.0035,,,0.0007,,,,,0.0007,,,,,,,,,,,0.17,,,,,7.95,,,,,0.006,,,,,0.4,,,,,,,,,,,,,,,,,,,,0.0002,,,2.2,,,0.0001,,,,1.4,,,,191.0,,,,0.105,,,,,,,-5.0,1.0,,,,,,,,,,,,,,,,,,,1.8,,,,,,,0.0003,,,,,,,,0.0017,,
2000-02-15 10:47:00,00PY000604,BC07FD0005,,,,,0.057,,,,,,,,0.0002,,12.8,0.0374,,0.002,0.05,,,,,,1.54,,,,0.01,0.0001,,14.4,,,10.6,1.1,,,,,,,,,,,,,,0.0006,,0.024,0.0002,,5.0,,,0.71,0.0015,,,2.0,,,2.0,,,,,,0.005,,,,,,,,49.5,,,,,,,,,,0.165,,0.002,,,0.01,0.0005,,0.81,0.001,,,,3.3,,,0.229,0.0036,,,0.0006,,,,0.39,0.0009,,,,,,,,,,,0.1,,,,,8.36,,,,,0.003,,,,,0.2,,,,,,,,,0.228,,,,,,,,,,,0.0001,,,2.04,,0.005,0.0001,,,,0.7,,,,108.0,,,51.2,0.0959,,,,,,,-19.0,,,,,,0.002,,,,,,,,,,,,,,14.0,,,0.16,,,,0.0004,,,,,,,0.65,0.0038,,
2000-02-15 13:00:00,1999PN090125,AL07AA0015,,93.2,0.02,,,0.006,0.0,,,,0.0001,,,0.067,,,0.5,,,113.611,,,,0.002,,,,0.001,,,28.6,,,1.12,,0.433,0.058,0.491,0.0,,,,,,,,0.45,0.001,,,0.001,,,1.0,5.0,232.0,0.001,,,0.118,,,,,1.0,1.0,0.07,,,,,,,,,,24.325,,117.525,,,0.0,,,,,0.004,,,,,,0.002,,,0.001,,,,,11.2,,,0.001,,,0.001,,,,,0.002,,,,,,,,,,0.01,,0.161,0.151,,12.3,,,8.18,8.2,0.004,,0.004,0.002,,,,0.36,,,,,,,3.6,,,,,,,,,-0.553,,,0.0001,,,,,,,,,4.22,,0.94,,,1.705,,233.0,9.305,0.304,,,,25.2,,,,,,25.0,0.0,,,,,,,,,,,,127.483,,,,,,3.3,3.2,,,,0.001,,,,,,,,0.002,,,,
2000-02-15 14:15:00,1999PN090126,AL07AA0023,,101.0,0.02,,0.03,0.078,0.001,,,,0.0001,,,0.055,,0.056,0.5,,0.05,123.119,,,,0.003,,,,0.001,,0.0001,31.8,,,1.214,,0.842,0.111,0.953,0.0,,,,,,,,1.18,0.001,,0.0002,0.001,,0.0001,5.0,5.0,266.0,0.001,,0.0002,0.122,,,,,2.0,2.0,0.08,,,,,,,,,,27.397,,128.397,,,0.0,,,,,0.007,,0.0683,,,,0.002,,0.0002,0.003,,0.0033,,,11.9,,,0.002,,0.0035,0.001,,0.0002,,,0.002,,0.0002,,,,,,,,0.011,,0.219,0.208,,12.2,,,8.15,8.2,0.004,,0.009,0.006,,,,0.44,,,,,,,3.4,,,,,,,,,-0.478,,,0.0002,,,,,,,,0.0001,4.0,,1.75,,,2.869,,265.0,9.157,0.284,,0.284,,37.6,,,,,,25.0,0.0,,,,,,,,,,,,149.89,,,,,,2.3,1.8,,,,0.001,,0.0001,,,,,,0.002,,0.0008,,
2000-03-07 10:44:00,00PY001109,BC07FD0005,,,,,0.066,,,,,,,,0.0002,,36.6,0.0343,,0.002,0.05,,,,,,2.73,,,,0.033,0.0001,,27.8,,,20.7,1.9,,,,,,,,,,,,,,0.0008,,0.098,0.0001,,5.0,,,,0.0013,,,2.0,,,2.0,,,,,,0.014,,,,,,,,95.8,,,,,,,,,,0.143,,0.048,,,0.17,0.0004,,1.4,0.0014,,,,6.4,,,3.56,0.0034,,,0.0007,,,,1.16,0.0011,,,,,,,,,,,0.12,,,,,7.96,,,,,0.004,,,,,0.4,,,,,,,,,0.382,,,,,,,,,,,0.0003,,,2.14,,0.005,0.0001,,,,1.4,,,,194.0,,,113.0,0.105,,,,,,,-10.0,,,,,,0.004,,,,,,,,,,,,,,3.1,,,0.455,,,,0.0004,,,,,,,2.53,0.0018,,
2000-03-14 13:30:00,1999PN090146,AL07AA0015,,,0.02,,,0.006,,,,,0.0001,,,0.066,,,0.5,,,,,,,0.002,,,,0.001,,,,,,,,0.319,0.075,0.394,,,,,,,,,,0.001,,,0.001,,,1.0,5.0,,0.002,,,0.107,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,0.002,,,0.003,,,,,,,,0.001,,,0.001,,,,,0.002,,,,,,,,,,0.01,,0.151,0.141,,,,,,,0.004,,0.002,0.002,,,,,,,,,,,1.8,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,0.304,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,2.3,,,,,0.001,,,,,,,,0.002,,,,
2000-03-14 13:35:00,1999PN090147,AL07AA0015,,,0.02,,,0.005,,,,,0.0001,,,0.067,,,0.5,,,,,,,0.002,,,,0.001,,,,,,,,0.318,0.108,0.426,,,,,,,,,,0.001,,,0.002,,,1.0,5.0,,0.002,,,0.106,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,0.002,,,0.003,,,,,,,,0.001,,,0.002,,,,,0.002,,,,,,,,,,0.01,,0.158,0.148,,,,,,,0.004,,0.002,0.002,,,,,,,,,,,2.0,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,0.307,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,2.2,,,,,0.001,,,,,,,,0.002,,,,
2000-03-14 13:40:00,1999PN090148,AL07AA0015,,,0.029,,,0.005,,,,,0.0001,,,0.065,,,0.5,,,,,,,0.002,,,,0.001,,,,,,,,0.318,0.07,0.388,,,,,,,,,,0.001,,,0.002,,,1.0,5.0,,0.004,,,0.107,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,0.002,,,0.004,,,,,,,,0.001,,,0.002,,,,,0.002,,,,,,,,,,0.01,,0.151,0.141,,,,,,,0.004,,0.002,0.002,,,,,,,,,,,2.2,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,0.301,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,2.3,,,,,0.001,,,,,,,,0.002,,,,
