SITE_NO,DATE_TIME_HEURE,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)","1,3,5-TRIBROMOBENZENE","1,3-DIBROMOBENZENE",13C10-GAMMA-CHLORDANE,"2,3,6-TBA","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4-D BUTYRIC ACID (2,4-DB)","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)",ACETAMIPRID,ACIFLUORFEN,ALDICARB,ALDRIN,ALKALINITY GRAN CACO3,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALPHA-HEXACHLOROCYCLOHEXANE (ALPHA-HCH OR ALPHA-BHC),ALUMINUM DISSOLVED,ALUMINUM TOTAL,AMINOMETHYL PHOSPHONIC ACID (AMPA),AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),AMPA / AMINOMETHYL PHOSPHONIC ACID,AMPA-13C (AMINOMETHYL PHOSPHONIC ACID),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,ATRAZINE,ATRAZINE-13C3,AZINPHOS-METHYL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM TOTAL,BENSULFURON,BENZOYLPROP-ETHYL,BERYLLIUM DISSOLVED,BERYLLIUM TOTAL,BETA-BENZENE HEXACHLORIDE OR BETA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON TOTAL,BROMIDE,BROMOXYNIL,BUTYLATE,CADMIUM DISSOLVED,CADMIUM TOTAL,CALCIUM DISSOLVED,CAPTAN,CARBARYL,CARBARYL-D3,CARBOFURAN,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHLORIMURON,CHLOROPHYLL A,CHLOROPHYLL CORRECTED,CHLORPYRIFOS-D10,CHLORPYRIPHOS,CHLORSULFURON,CHROMIUM DISSOLVED,CHROMIUM TOTAL,CIS-NONACHLOR,CLOMAZONE,CLOPYRALID,CLOTHIANIDIN,CLOTHIANIDIN-D3,COBALT DISSOLVED,COBALT TOTAL,COLIFORMS TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER TOTAL,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),DELTA-HEXACHLOROCYCLOHEXANE-13C OR DELTA-HCH-13C OR DELTA-BHC-13C,DESETHYL-ATRAZINE (DEA),DIALLATE I,DIALLATE II,DIAZINON,DIBROM OR NALED,DICAMBA,DICHLOROPROP-13C6,"DICHLORPROP (2,4-DP)",DIELDRIN,DIMETHOATE,DINOSEB,DINOTEFURAN,DISSOLVED NITRITE/NITRATE,DISULFOTON,DIURON,DIURON-D6,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULPHATE,ENDOSULFAN SULPHATE TOTAL,ENDRIN,ENDRIN KETONE AS A SURROGATE,ESCHERICHIA COLI,ETHALFLURALIN,ETHION,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FECAL STREPTOCOCCI,"FENOPROP OR SILVEX OR 2,4,5-TP",FENOXAPROP-ETHYL,FLONICAMID,FLUMETSULAM,FLUORIDE DISSOLVED,FLUPYRADIFURONE,FOMESAFEN,FONOFOS,FORAMSULFURON,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-BHC-13C6 OR GAMMA-HCH-13C6,GAMMA-CHLORDANE,GAMMA-HEXACHLOROCYCLOHEXANE (GAMMA-HCH OR LINDANE),GERMANIUM DISSOLVED,GERMANIUM TOTAL,GLUFOSINATE,GLYPHOSATE,GLYPHOSATE-15N-13C2,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOEGRASS (DICLOFOP METHYL),HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),IMAZAMETHABENZ-METHYL,IMAZAMOX,IMAZAPYR,IMAZETHAPYR,IMIDACLOPRID,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD TOTAL,LINURON,LITHIUM DISSOLVED,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MALATHION,MALATHION-D10,MANGANESE DISSOLVED,MANGANESE TOTAL,MCPA,MCPA-D6,MCPB,MCPB-D6,MERCURY TOTAL,METALAXYL,METHOMYL,METHOMYL-D3,METHYLCHLOROPHENOXYPROPIONIC ACID (MCPP) OR MECOPROP,METOLACHLOR,METRIBUZIN,METSULFURON,METSULFURON-D3,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL TOTAL,NICOSULFURON,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)",ORTHOPHOSPHORUS DISSOLVED,OXAMYL,OXYCHLORDANE,OXYCHLORDANE-13C10,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DDT-D8","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",PARATHION ETHYL OR PARATHION,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PH,PH (FIELD),PHORATE,PHOSMET,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS SOLUBLE REACTIVE,PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PICLORAM,PIRIMICARB,PIRIMICARB-D6,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM FILTERED,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,PRIMISULFURON,PROSULFURON,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE VOLATILE FILTERABLE,RIMSULFURON,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIMAZINE,SIMAZINE DESETHYL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TERBUFOS,THALLIUM DISSOLVED,THALLIUM TOTAL,THIACLOPRID,THIAMETHOXAM,THIFENSULFURON,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TRANS-NONACHLOR,TRIALLATE,TRIBENURON,TRICLOPYR,TRIFLURALIN,TRIFLURALIN-D14,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
AL05AD0005,2005-06-15 11:50,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,0.260,1.259,,,,,,,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010,0.215,0.210,,,,,,,,,,,,,,,,,,,,,,0.004,,0.006,0.002,,,,,,,,,,,,3.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,158.,,,,,,,25.,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,,,,,,,,
AL05AD0005,2005-07-13 11:00,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948,0.123,1.071,,,,,,,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.225,0.206,,,,,,,,,,,,,,,,,,,,,,0.004,,0.004,0.002,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,158.,,,,,,,25.,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,
AL05AD0005,2005-08-15 07:00,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.228,1.838,,,,,,,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.26,0.225,,,,,,,,,,,,,,,,,,,,,,0.005,,0.007,0.002,,,,,,,,,,,,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,168.,,,,,,,25.,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,
AL05AD0005,2005-09-20 08:00,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.202,1.522,,,,,,,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.212,0.184,,,,,,,,,,,,,,,,,,,,,,0.004,,0.005,0.002,,,,,,,,,,,,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,190.,,,,,,,25.,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,
AL05AD0005,2005-10-18 09:25,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825,0.204,1.029,,,,,,,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.18,0.154,,,,,,,,,,,,,,,,,,,,,,0.007,,0.010,0.003,,,,,,,,,,,,2.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,168.,,,,,,,25.,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,
AL05AD0005,2005-11-14 15:30,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,0.456,1.676,,,,,,,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.383,0.341,,,,,,,,,,,,,,,,,,,,,,0.006,,0.007,0.002,,,,,,,,,,,,3.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,179.,,,,,,,25.,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,,,,,
AL05AD0005,2007-05-23 10:50,,,,,,,,,,,,,,,97.5,,,,,3.0,16.0,,0.005,0,,,0.033,0.032,0.31,0.34,,,,,107.,108.,,,0.001,0.001,,,118.853,0.001,0.001,5.4,5.5,,,,0.010,0.001,24.9,,,,,1.413,1.74,0.253,1.993,0,,,,,0.22,,,,,,,0.125,0.064,,,,,,0.017,0.019,,5.,,,0.31,,,,,,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.002,0.005,,,,,,,,,,,,1.358,98.858,,,,,,,,0,,,,,,,,,,4.4,,23.0,0.003,0.013,,0.019,,2.1,2.2,,,8.91,,,1.49,4.56,,,,,,,,,,,,,,,0.346,0.328,,,0.23,0.04,,,,0.038,0.242,0.204,,,,,,,,,,,,,,,,,,8.12,,,,0.004,,0.002,0.002,,,,,,,0.40,,,,,1.0,1.7,,,0.17,0.18,,,,,0.14,,,0.05,0.06,,0.001,0.001,,,3.63,0.06,,1.31,2.79,190.,7.839,42.7,42.8,5.15,,,,,,,,0.001,0.001,,,,,,,,103.521,,,,,,,,,,1.41,,0.214,0.217,0.078,0.082,,,,,,0.09,,
AL05AD0005,2007-06-18 11:55,,,,,,,,,,,,,,,83.6,,,,,2.7,18.4,,0.010,0,,,0.030,0.031,0.31,0.32,,,,,100.,102.,,,0.001,0.002,,,101.908,0.001,0.001,4.7,4.7,,,,0.007,0.002,22.2,,,,,2.325,1.43,0.149,1.579,0,,,,,0.14,,,,,,,0.052,0.061,,,,,,0.010,0.020,,5.,,0.30,0.29,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.003,0.009,,,,,,,,,,,,1.188,84.788,,,,,,,,0,,,,,,,,,,5.9,,28.2,0.005,0.017,0.012,0.034,,2.0,2.0,,,7.13,,,0.41,4.88,,,,,,,,,,,,,,,0.303,0.306,,,0.17,0.11,,,,0.021,0.222,0.201,,,,,,,,,,,,,,,,,,7.84,,,,0.004,,0.002,0.002,,,,,,,0.22,,,,,1.0,1.2,,,0.17,0.20,,,,,-0.251,,,0.05,0.05,,0.001,0.001,,,3.25,0.03,,0.73,1.834,165.,8.342,41.7,42.3,4.26,,,,9.9,,,,0.001,0.001,,,,,,,,88.629,,,,,,,,,,1.00,,0.172,0.170,0.056,0.098,,,,,0.44,0.18,,
AL05AD0005,2007-07-17 10:40,,,,,,,,,,,,,,,78.4,,,,,10.6,9.6,,0.017,0.002,,,0.036,0.030,0.38,0.38,,,,,95.1,97.4,,,0.001,0.001,,,95.57,0.002,0.001,4.5,4.4,,,,,0.003,20.5,,,,,0.745,0.866,0.121,0.987,0,,,,,0.13,,,,,,,,0.053,,,,,,0.036,0.013,,5.,,0.78,0.29,,,,,,,,,,,,,,,0.098,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.006,0.005,,,,,,,,,,,,0.866,79.266,,,,,,,,0,,,,,,,,,,26.1,,23.0,0.005,0.014,,0.024,,1.6,1.7,,,6.82,,,0.90,7.83,,,,,,,,,,,,,,,0.811,0.272,,,,0.07,,,,0.015,0.178,0.163,,,,,,,,,,,,,,,,,,8.30,,,,0.004,,0.002,,,,,,,,0.33,,,,,1.0,1.0,,,0.18,0.19,,,,,0.149,,,0.05,0.05,,0.001,0.001,,,2.99,0.04,,0.78,2.086,156.,8.002,28.7,29.0,4.02,,,,18.2,,,,,0.001,,,,,,,,83.074,,,,,,,,,,0.60,,0.141,0.139,0.065,0.063,,,,,,0.12,,
AL05AD0005,2007-08-13 11:00,,,,,,,,,,,,,,,96.2,,,,,,,,0.006,0,,,,,,,,,,,,,,,,,,,117.268,,,,,,,,,,33.6,,,,,1.802,0.910,0.149,1.059,0,,,,,1.36,,,,,,,,,,,,,,,,,5.,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,18.618,114.818,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.18,0.161,,,,,,,,,,,,,,,,,,8.01,,,,0.004,,0.005,0.002,,,,,,,0.71,,,,,1.0,1.0,,,,,,,,,0.144,,,,,,,,,,3.45,0.17,,,,233.,7.722,,,25.0,,,,16.9,,,,,,,,,,,,,133.829,,,,,,,,,,0.67,,,,,,,,,,,,,
