DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,2-(N-ETHYLPERFLUORO-1-OCTANESULFONAMIDO)-ETHANOL (N-ETFOSE),2-(N-METHYLPERFLUORO-1-OCTANESULFONAMIDO)-ETHANOL (N-MEFOSE),4:2 FLUOROTELOMERSULFONATE (4:2 FTS),4:2 FLUOROTELOMERSULFONATE-13C2 (4:2 FTS-13C2),6:2 FLUOROTELOMERSULFONATE (6:2 FTS),6:2 FLUOROTELOMERSULFONATE-13C2 (6:2 FTS-13C2),8:2 FLUOROTELOMERSULFONATE (8:2 FTS),8:2 FLUOROTELOMERSULFONATE-13C2 (8:2 FTS-13C2),ALKALINITY GRAN CACO3,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,ALUMINUM TOTAL RECOVERABLE,AMMONIA TOTAL,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ANTIMONY TOTAL RECOVERABLE,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,ARSENIC TOTAL RECOVERABLE,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BARIUM TOTAL RECOVERABLE,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BERYLLIUM TOTAL RECOVERABLE,BISMUTH TOTAL RECOVERABLE,BISPHENOL A,BISPHENOL E,BISPHENOL F,BISPHENOL S,BORON TOTAL,BORON TOTAL RECOVERABLE,BROMINE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CADMIUM TOTAL RECOVERABLE,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CALCIUM TOTAL RECOVERABLE,CARBON DISSOLVED ORGANIC,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC,"CARBON, TOTAL ORGANIC (NON PURGEABLE)",CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CHROMIUM TOTAL RECOVERABLE,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COBALT TOTAL RECOVERABLE,COLOUR APPARENT,COLOUR TRUE,COMPLEXED ALUMINUM,COMPLEXED COPPER,COMPLEXED IRON,COMPLEXED LEAD,COMPLEXED MANGANESE,COMPLEXED ZINC,CONDUCTANCE (FIELD),CONDUCTIVITY,COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,COPPER TOTAL RECOVERABLE,DISSOLVED NITROGEN NITRATE,ETFOSAA-D5,FLUORIDE DISSOLVED,GALLIUM TOTAL RECOVERABLE,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,IRON TOTAL RECOVERABLE,LANTHANUM TOTAL RECOVERABLE,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LEAD TOTAL RECOVERABLE,LITHIUM TOTAL RECOVERABLE,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MAGNESIUM TOTAL RECOVERABLE,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MANGANESE TOTAL RECOVERABLE,MEFOSAA-D3,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,MOLYBDENUM TOTAL RECOVERABLE,N-ETFOSA-D5,N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID (ETFOSAA),N-ETHYLPERFLUORO-1-OCTANESULFONAMIDE (N-ETFOSA),N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID (MEFOSAA),N-METHYLPERFLUORO-1-OCTANESULFONAMIDE (N-MEFOSA),N-METHYLPERFLUOROOCTANESULFONAMIDE-D3 (MEFOSA-D3),NET-FOSE-D9,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NICKEL TOTAL RECOVERABLE,NITRITE/NITRATE,NITROGEN NITRATE,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,NME-FOSE-D7,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,PERFLUOROBUTANESULFONATE (PFBS),PERFLUOROBUTANESULFONATE-13C3 (PFBS-1-13C3),PERFLUOROBUTANOATE (PFBA),PERFLUOROBUTANOATE-13C4 (PFBA-13C4),PERFLUORODECANESULFONATE (PFDS),PERFLUORODECANOATE (PFDA),PERFLUORODECANOATE-13C6 (PFDA-13C6),PERFLUORODODECANESULFONATE (PFDOS),PERFLUORODODECANOATE (PFDOA),PERFLUORODODECANOATE-13C2 (PFDOA-13C2),PERFLUOROHEPTANESULFONATE (PFHPS),PERFLUOROHEPTANOATE (PFHPA),PERFLUOROHEPTANOATE-13C4 (PFHPA-13C4),PERFLUOROHEXANESULFONATE (PFHXS)  ,PERFLUOROHEXANESULFONATE-13C3 (PFHXS-1-13C3),PERFLUOROHEXANOATE (PFHXA),PERFLUOROHEXANOATE-13C5 (PFHXA-13C5),PERFLUORONONANESULFONATE (PFNS),PERFLUORONONANOATE (PFNA),PERFLUORONONANOATE-13C9 (PFNA-13C9),PERFLUOROOCTANE SULFONAMIDE (PFOSA OU FOSA),PERFLUOROOCTANE SULFONATE (PFOS),PERFLUOROOCTANESULFONAMIDE-13C8 (PFOSA-13C8 OU FOSA-13C8),PERFLUOROOCTANESULFONATE-13C8 (PFOS-1-13C8),PERFLUOROOCTANOATE (PFOA),PERFLUOROOCTANOATE-13C8 (PFOA-13C8),PERFLUOROPENTANESULFONATE (PFPES),PERFLUOROPENTANOATE (PFPEA),PERFLUOROPENTANOATE-13C5 (PFPEA-13C5),PERFLUOROTETRADECANOATE (PFTEDA),PERFLUOROTETRADECANOATE-13C2 (PFTEDA-13C2),PERFLUOROTRIDECANOATE (PFTRDA),PERFLUOROUNDECANOATE (PFUNA),PERFLUOROUNDECANOATE-13C7 (PFUNA),PH,PH (FIELD),PHOSPHORUS TOTAL,POTASSIUM DISSOLVED,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE/UNFILTERED,POTASSIUM TOTAL,POTASSIUM TOTAL RECOVERABLE,RUBIDIUM TOTAL RECOVERABLE,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SELENIUM TOTAL RECOVERABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SILVER TOTAL RECOVERABLE,SODIUM DISSOLVED,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE/UNFILTERED,SODIUM TOTAL,SODIUM TOTAL RECOVERABLE,SOLIDS SUSPENDED,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,STRONTIUM TOTAL RECOVERABLE,SULPHATE DISSOLVED,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,THALLIUM TOTAL RECOVERABLE,TIN DISSOLVED,TIN EXTRACTABLE,TIN TOTAL,TIN TOTAL RECOVERABLE,TITANIUM DISSOLVED,TITANIUM EXTRACTABLE,TITANIUM TOTAL,TITANIUM TOTAL RECOVERABLE,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,URANIUM TOTAL RECOVERABLE,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,VANADIUM TOTAL RECOVERABLE,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZINC TOTAL RECOVERABLE
2006-09-08 08:30:00,2006-AT0506-0001,NB01AJ0008,,,,,,,,,146.8,,147.4,,24.2,,,,,0.1,,,,0.5,,,,16.1,,,,0.1,,,,,,,,,,,,0.1,,,57.88,,,,,36.4,,5.2,9.88,,0.4,,,,0.1,,,11.0,,,,,,,,324.7,,,0.7,,,0.19,,,,,0.09,,,,,0.1,,,,4.89,,,,,22.1,,,,,0.1,,,,,,,,,,,0.3,,,,,,0.43,,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,7.52,0.014,,1.52,,,,,,,,,,0.1,,,,5.1,,,,,340.0,,428.6,,,7.66,,14.65,,,,,,,,,,0.5,,,0.2,1.6,,,,,,0.2,,,,0.4,,
2006-09-26 12:00:00,2006-AT0506-0003,NB01AR0151,,,,,,,,,10.75,,20.0,,8.1,,,,,0.1,,,,0.2,,,,2.4,,,,0.1,,,,,,,,,,,,0.1,,,4.25,,,,,2.9,,4.3,1.74,,0.4,,,,0.1,,,8.0,,,,,,,,35.7,,,0.3,,,0.02,,,,,0.02,,,,,0.1,,,,0.63,,,,,4.7,,,,,0.1,,,,,,,,,,,0.2,,,,,,0.18,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,7.22,0.004,,0.31,,,,,,,,,,0.1,,,,1.48,,,,,34.0,,20.3,,,2.34,,16.09,,,,,,,,,,0.2,,,0.2,0.0,,,,,,0.1,,,,0.3,,
2006-10-12 12:05:00,2006-AT0506-0004,NB01AR0021,,,,,,,,,13.9,,20.0,,58.0,,,,,0.1,,,,0.4,,,,11.8,,,,0.1,,,,,,,,,,,,0.1,,,5.13,,,,,3.5,,8.4,7.22,,0.4,,,,0.1,,,37.0,,,,,,,,,,,0.5,,,0.05,,,,,0.07,,,,,0.2,,,,0.75,,,,,54.6,,,,,0.1,,,,,,,,,,,0.5,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,,0.023,,1.08,,,,,,,,,,0.1,,,,8.52,,,,,77.8,,20.6,,,8.47,,,,,,,,,,,,1.3,,,0.4,,,,,,,0.4,,,,4.8,,
2006-11-01 08:00:00,2006-AT0506-0005,NB01AJ0008,,,,,,,,,104.4,,104.7,,76.8,,,,,0.1,,,,0.5,,,,10.8,,,,0.1,,,,,,,,,,,,0.1,,,42.1,,,,,24.9,6.1,,7.24,,0.4,,,,0.1,,,24.0,,,,,,,,236.8,,,0.8,,,0.48,,,,,0.11,,,,,0.1,,,,3.34,,,,,22.5,,,,,0.1,,,,,,,,,,,0.4,,,,,,0.71,,,12.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,7.95,0.018,,1.0,,,,,,,,,,0.1,,,,3.67,,,,,246.0,,272.0,,,7.85,,5.14,,,,,,,,,,1.0,,,0.5,2.2,,,,,,0.2,,,,0.4,,
2006-11-01 10:05:00,2006-AT0506-0006,NB01AR0151,,,,,,,,,10.85,,20.0,,15.8,,,,,0.1,,,,0.4,,,,2.2,,,,0.1,,,,,,,,,,,,0.1,,,4.28,,,,,2.8,4.2,,1.72,,0.4,,,,0.1,,,8.0,,,,,,,,33.8,,,0.4,,,0.02,,,,,0.02,,,,,0.1,,,,0.62,,,,,6.9,,,,,0.1,,,,,,,,,,,0.1,,,,,,0.17,,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,7.8,0.005,,0.33,,,,,,,,,,0.1,,,,1.62,,,,,35.7,,23.3,,,2.36,,7.5,,,,,,,,,,0.3,,,0.2,0.0,,,,,,0.1,,,,0.3,,
2006-11-01 11:30:00,2006-AT0506-0007,NB01AR0021,,,,,,,,,9.91,,20.0,,175.3,,,,,0.1,,,,0.5,,,,7.4,,,,0.1,,,,,,,,,,,,0.1,,,3.96,,,,,2.1,10.6,,3.7,,0.4,,,,0.1,,,65.0,,,,,,,,42.3,,,0.6,,,0.02,,,,,0.3,,,,,0.5,,,,0.76,,,,,52.9,,,,,0.1,,,,,,,,,,,0.7,,,,,,0.4,,,12.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,6.85,0.021,,0.79,,,,,,,,,,0.1,,,,4.63,,,,,50.7,,20.2,,,5.4,,7.28,,,,,,,,,,2.3,,,0.9,3.2,,,,,,0.5,,,,2.1,,
2006-12-05 11:20:00,2006-AT0506-0010,NB01AR0151,,,,,,,,,10.69,,20.0,,12.3,,,,,0.1,,,,0.2,,,,2.2,,,,0.1,,,,,,,,,,,,0.1,,,4.29,,,,,2.7,4.3,,1.7,,0.4,,,,0.1,,,8.0,,,,,,,,32.1,,,0.3,,,0.02,,,,,0.02,,,,,0.1,,,,0.61,,,,,7.0,,,,,0.1,,,,,,,,,,,0.1,,,,,,0.19,,,12.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,6.77,0.004,,0.33,,,,,,,,,,0.1,,,,1.45,,,,,35.4,,20.5,,,2.3,,1.52,,,,,,,,,,0.3,,,0.3,0.0,,,,,,0.1,,,,0.3,,
2006-12-05 16:00:00,2006-AT0506-0009,NB01AJ0008,,,,,,,,,139.4,,140.0,,33.6,,,,,0.1,,,,0.4,,,,13.0,,,,0.1,,,,,,,,,,,,0.1,,,57.4,,,,,34.1,4.0,,9.1,,0.4,,,,0.1,,,7.0,,,,,,,,306.0,,,0.5,,,1.22,,,,,0.08,,,,,0.1,,,,4.36,,,,,19.0,,,,,0.1,,,,,,,,,,,0.2,,,,,,1.42,,,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36,6.89,0.022,,1.16,,,,,,,,,,0.1,,,,4.61,,,,,327.0,,355.2,,,11.5,,0.197,,,,,,,,,,0.8,,,0.5,2.7,,,,,,0.2,,,,0.3,,
2006-12-06 09:30:00,2006-AT0506-0008,NB01AR0021,,,,,,,,,9.5,,20.0,,121.6,,,,,0.1,,,,0.4,,,,7.2,,,,0.1,,,,,,,,,,,,0.1,,,4.01,,,,,2.1,10.8,,4.2,,0.4,,,,0.1,,,69.0,,,,,,,,46.3,,,0.4,,,0.04,,,,,0.19,,,,,0.2,,,,0.69,,,,,27.0,,,,,0.1,,,,,,,,,,,0.6,,,,,,0.38,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,6.23,0.018,,0.59,,,,,,,,,,0.1,,,,4.87,,,,,50.4,,17.3,,,5.2,,0.97,,,,,,,,,,1.3,,,1.0,1.2,,,,,,0.4,,,,2.2,,
2006-12-15 12:00:00,2006-AT0506-0011,NB01AR0021,,,,,,,,,10.6,,20.0,,148.3,,,,,0.1,,,,0.4,,,,8.8,,,,0.1,,,,,,,,,,,,0.1,,,4.39,,,,,2.4,10.5,,5.1,,0.4,,,,0.1,,,71.0,,,,,,,,,,,0.6,,,0.04,,,,,0.2,,,,,2.2,,,,0.69,,,,,49.9,,,,,0.1,,,,,,,,,,,0.6,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,,0.025,,0.78,,,,,,,,,,0.1,,,,6.42,,,,,60.1,,20.1,,,7.1,,,,,,,,,,,,1.2,,,0.9,,,,,,,0.5,,,,5.4,,
