DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY GRAN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,ALUMINUM TOTAL RECOVERABLE,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ANTIMONY TOTAL RECOVERABLE,ARSENIC EXTRACTABLE,ARSENIC TOTAL,ARSENIC TOTAL RECOVERABLE,BARIUM EXTRACTABLE,BARIUM TOTAL,BARIUM TOTAL RECOVERABLE,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BERYLLIUM TOTAL RECOVERABLE,BISMUTH TOTAL,BISMUTH TOTAL RECOVERABLE,BORON EXTRACTABLE,BORON TOTAL,BORON TOTAL RECOVERABLE,BROMIDE DISSOLVED,BROMINE DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CADMIUM TOTAL RECOVERABLE,CALCIUM DISSOLVED,CALCIUM TOTAL,CALCIUM TOTAL RECOVERABLE,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL ORGANIC,"CARBON, TOTAL ORGANIC (NON PURGEABLE)",CERIUM TOTAL,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHLORIDE TOTAL,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CHROMIUM TOTAL RECOVERABLE,COBALT EXTRACTABLE,COBALT TOTAL,COBALT TOTAL RECOVERABLE,COLOUR APPARENT,COLOUR TRUE,CONDUCTANCE (FIELD),CONDUCTIVITY,COPPER EXTRACTABLE,COPPER TOTAL,COPPER TOTAL RECOVERABLE,DEPTH OF SAMPLING FROM SURFACE,DISSOLVED NITROGEN NITRATE,EUROPIUM TOTAL,FLUORIDE DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM TOTAL,GALLIUM TOTAL RECOVERABLE,GERMANIUM TOTAL,HAFNIUM TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HARDNESS TOTAL LABORATORY (CALCD.) CACO3,HOLMIUM TOTAL,INDIUM TOTAL,IRIDIUM TOTAL,IRON EXTRACTABLE,IRON TOTAL,IRON TOTAL RECOVERABLE,LANTHANUM TOTAL,LANTHANUM TOTAL RECOVERABLE,LEAD EXTRACTABLE,LEAD TOTAL,LEAD TOTAL RECOVERABLE,LITHIUM DISSOLVED,LITHIUM TOTAL,LITHIUM TOTAL RECOVERABLE,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM TOTAL,MAGNESIUM TOTAL RECOVERABLE,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MANGANESE TOTAL RECOVERABLE,MERCURY EXTRACTABLE,MERCURY SUSPENDED,MERCURY TOTAL,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,MOLYBDENUM TOTAL RECOVERABLE,NEODYMIUM TOTAL,NICKEL EXTRACTABLE,NICKEL TOTAL,NICKEL TOTAL RECOVERABLE,NIOBIUM TOTAL,NITRATE AND NITRITE (AS N),NITRATE TOTAL,NITROGEN NITRATE,NITROGEN NITRITE,NITROGEN TOTAL,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,PH,PH (FIELD),PHOSPHORUS TOTAL,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM TOTAL,POTASSIUM TOTAL RECOVERABLE,POTASSIUM UNFILTERED,PRASEODYMIUM TOTAL,RUBIDIUM TOTAL,RUBIDIUM TOTAL RECOVERABLE,RUTHENIUM TOTAL,SAMARIUM TOTAL,SCANDIUM TOTAL,SELENIUM TOTAL,SELENIUM TOTAL RECOVERABLE,SILVER EXTRACTABLE,SILVER TOTAL,SILVER TOTAL RECOVERABLE,SIO2,SODIUM DISSOLVED/FILTERED,SODIUM TOTAL,SODIUM TOTAL RECOVERABLE,SODIUM UNFILTERED,SOLIDS SUSPENDED,SPECIFIC CONDUCTANCE,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,STRONTIUM TOTAL RECOVERABLE,SULPHATE,SULPHATE DISSOLVED,SULPHATE TOTAL,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM TOTAL,THALLIUM TOTAL,THALLIUM TOTAL RECOVERABLE,TIN TOTAL,TIN TOTAL RECOVERABLE,TITANIUM EXTRACTABLE,TITANIUM TOTAL,TITANIUM TOTAL RECOVERABLE,TOTAL NITRATE,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM TOTAL,URANIUM TOTAL RECOVERABLE,VANADIUM EXTRACTABLE,VANADIUM TOTAL,VANADIUM TOTAL RECOVERABLE,YTTERBIUM TOTAL,YTTRIUM TOTAL,ZINC EXTRACTABLE,ZINC TOTAL,ZINC TOTAL RECOVERABLE,ZIRCONIUM TOTAL
2001-03-25 10:30:00,2001-AT0215-0018,NF02XA0001,,8.3,,0.031,,,,,,0.0001,,,0.005,,,0.05,,,,,,,,,,0.0001,,2.49,2.45,,2.0,3.0,,,,,,0.37,,,0.0003,,,0.0001,,25.4,,,,,0.0002,,,0.04,,,,,,,,,,,,,,0.241,,,,,0.0002,,,0.0001,,,0.7,0.68,,,0.0013,,,,0.005,,0.0001,,,,0.0003,,,,,,,0.147,,,7.05,,0.0101,,,0.39,,0.45,,,,,,,0.0001,,,0.0001,,7.88,,0.79,,1.04,,21.6,,0.0171,,,1.68,,,,,,,,,,,,,,,0.56,,,,,0.0002,,,,,0.0002,,
2001-05-30 11:30:00,2001-AT0215-0032,NF02XA0001,,2.2,,0.078,,,,,,0.0001,,,0.0032,,,0.05,,,,,,,,,,0.0001,,0.97,0.93,,0.9,5.7,,,,,,0.15,,,0.0002,,,0.0001,,48.0,,,,,0.0012,,,0.01,,,,,,,,,,,,,,0.218,,,,,0.0002,,,0.0001,,,0.28,0.26,,,0.0041,,,,0.005,,0.0002,,,,0.0002,,,,,,,0.167,,,6.2,,0.0071,,,0.19,,0.25,,,,,,,0.0001,,,0.0001,,3.21,,0.26,,0.46,,9.0,,0.0073,,,0.61,,,,,,,,,,,,,,,0.3,,,,,0.0003,,,,,0.0002,,
2001-09-30 09:30:00,2001-AT0215-0063,NF02XA0001,,8.6,,0.067,,,,,,0.0001,,,0.0043,,,0.05,,,,,,,,,,0.0002,,1.76,1.84,,1.5,4.5,,,,,,0.31,,,0.0007,,,0.0001,,42.1,,,,,0.0002,,,0.01,,,,,,,,,,,,,,0.489,,,,,0.0002,,,0.0001,,,0.53,0.52,,,0.0059,,,,0.005,,0.0004,,,,0.0002,,,,,,,0.153,,,7.18,,0.0064,,,0.26,,0.42,,,,,,,0.0001,,,0.0003,,4.78,,0.62,,0.8,,20.6,,0.0131,,,0.96,,,,,,,,,,,,,,,0.63,,,,,0.0005,,,,,0.0013,,
2002-06-13 11:00:00,2002-AT0215-0005,NF02XA0001,,1.9,,0.102,,,,,,0.0001,,,0.0033,,,0.05,,,,,,,,,,0.0001,,0.89,0.97,,0.6,6.6,,,,,,0.22,,,0.0002,,,0.0001,,54.0,,,,,0.0005,,,0.01,,,,,,,,,,,,,,0.317,,,,,0.0002,,,0.0001,,,0.27,0.27,,,0.0077,,,,,,0.0001,,,,0.0002,,,,,,,0.17,,,6.21,,0.0058,,,0.15,,0.18,,,,,,,0.0001,,,0.0001,,,,0.36,,0.39,,9.6,,0.0069,,,0.61,,,,,,,,,,,,,,,0.69,,,,,0.0004,,,,,0.0005,,
2002-09-29 12:00:00,2002-AT0215-0085,NF02XA0001,,3.5,,0.248,,,,,,0.0001,,,0.0057,,,0.05,,,,,,,,,,0.0001,,1.44,1.69,,0.9,6.2,,,,,,0.28,,,0.0007,,,0.0001,,56.0,,,,,0.0012,,,0.01,,,,,,,,,,,,,,0.837,,,,,0.0004,,,0.0004,,,0.42,0.48,,,0.0095,,,,,,0.0001,,,,0.0003,,,,,,,0.237,,,6.59,,0.0172,,,0.25,,0.31,,,,,,,0.0001,,,0.0001,,,,0.62,,0.76,,15.1,,0.0115,,,0.81,,,,,,,,,,,,,,,5.17,,,,,0.0012,,,,,0.0022,,
2003-03-25 09:15:00,2003-AT0215-0233,NF02XA0001,7.61,9.1,44.2,,,0.1,,,0.5,,,5.1,,,0.1,,,,,0.5,,,,,0.1,,,3.31,,,,,,4.4,,,,0.3,,0.2,,,0.1,,,36.0,,,,0.8,,,,0.04,,,,,,,,,,,,,0.31,,,,,0.2,,,,,,,0.76,,,2.7,,,0.02,,,0.1,,,,0.3,,,,,,,,0.06,,,6.71,,0.002,,0.4,,,,,,,,,,,,0.1,,,,0.95,,,,,22.5,15.9,,,,1.7,,,,,,,,,,0.7,,,,,,,,,0.3,,,,,3.8,,,
2003-06-10 10:00:00,2003-AT0215-0260,NF02XA0001,2.03,3.7,101.0,,,0.5,,,0.3,,,3.5,,,0.4,,,,,,,,,,0.2,,,0.88,,,,,,5.0,,,,0.11,,0.3,,,0.4,,,47.0,,,,0.6,,,,0.02,,,,,,,,,,,,,0.3,,,,,0.4,,,,,,,0.27,,,5.6,,,,,,0.7,,,,0.7,,,,,,,,0.04,,,6.0,,0.01,,0.14,,,,,,,,,,,,4.5,,,,0.36,,,,,9.4,8.0,,,,0.58,,,,,,,,,,1.3,,,,,,,,,0.5,,,,,2.0,,,
2004-03-25 12:00:00,2004-AT0215-0279,NF02XA0001,8.22,9.2,45.1,,,0.5,,,0.3,,,5.2,,,0.4,,,,,,,,,,0.3,,,2.24,,,,,,2.3,,,,0.4,,0.3,,,0.4,,,27.0,,,,1.5,,,,0.05,,,,,,,,,,,,,0.31,,,,,0.9,,,,,,,0.66,,,2.7,,,0.02,,,0.7,,,,0.7,,,,,,,,0.09,,,6.93,,0.011,,0.43,,,,,,,,,,,,4.5,,,,0.97,,,,,22.1,16.9,,,,1.6,,,,,,,,,,0.9,,,,,,,,,0.5,,,,,6.0,,,
2004-06-05 09:30:00,2004-AT0215-0289,NF02XA0001,1.84,3.3,123.3,,,0.1,,,0.1,,,3.5,,,0.1,,,,,,,,,,0.1,,,0.74,,,,,,5.5,,,,0.2,,0.4,,,0.1,,,61.0,,,,0.9,,,,0.02,,,,,,,,,,,,,0.31,,,,,0.6,,,,,,,0.21,,,8.9,,,,,,0.1,,,,0.3,,,,,,,,0.08,,,6.06,,0.011,,0.18,,,,,,,,,,,,0.1,,,,0.4,,,,,8.1,6.2,,,,0.5,,,,,,,,,,2.3,,,,,,,,,0.4,,,,,10.8,,,
2004-09-27 12:00:00,2004-AT0215-0307,NF02XA0001,6.47,7.1,59.0,,,0.1,,,0.1,,,4.3,,,0.1,,,,,,,,,,0.5,,,1.58,,,,,,4.0,,,,0.3,,0.4,,,0.1,,,42.0,,,,1.2,,,,0.02,,,,,,,,,,,,,0.33,,,,,0.6,,,,,,,0.47,,,6.8,,,,,,0.1,,,,0.5,,,,,,,,0.13,,,7.0,,0.008,,0.34,,,,,,,,,,,,0.1,,,,0.79,,,,,17.0,12.1,,,,1.0,,,,,,,,,,1.3,,,,,,,,,0.2,,,,,8.1,,,
