DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)","1,3,5-TRIBROMOBENZENE","1,3-DIBROMOBENZENE",13C10-GAMMA-CHLORDANE,"2,3,6-TBA","2,3-DICHLOROPHENOXYACETIC ACID (2,3-D)","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4-D BUTYRIC ACID (2,4-DB)","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)","2-(2,4-DICHLOROPHENOXY)-PROPIONIC ACID",ACETAMIPRID,ACIFLUORFEN,ALDRIN,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALPHA-HEXACHLOROCYCLOHEXANE (ALPHA-HCH OR ALPHA-BHC),ALUMINUM DISSOLVED,ALUMINUM TOTAL,AMINOMETHYL PHOSPHONIC ACID (AMPA),AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),AMPA / AMINOMETHYL PHOSPHONIC ACID,AMPA-13C (AMINOMETHYL PHOSPHONIC ACID),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,ATRAZINE,ATRAZINE-13C3,AZINPHOS-METHYL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM TOTAL,BENZOYLPROP-ETHYL,BERYLLIUM DISSOLVED,BERYLLIUM TOTAL,BETA-BENZENE HEXACHLORIDE OR BETA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON TOTAL,BROMIDE,BROMOXYNIL,BUTYLATE,CADMIUM DISSOLVED,CADMIUM TOTAL,CALCIUM DISSOLVED,CAPTAN,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONACEOUS OXYGEN DEMAND BOD5,CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHLOROPHYLL A,CHLOROPHYLL CORRECTED,CHLORPYRIFOS-D10,CHLORPYRIPHOS,CHROMIUM DISSOLVED,CHROMIUM TOTAL,CIS-NONACHLOR,CLOPYRALID,CLOTHIANIDIN,CLOTHIANIDIN-D3,COBALT DISSOLVED,COBALT TOTAL,COLIFORMS TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER TOTAL,D-ETHYL SIMAZINE,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),DELTA-HEXACHLOROCYCLOHEXANE-13C OR DELTA-HCH-13C OR DELTA-BHC-13C,DESETHYL ATRAZINE,DESETHYL-ATRAZINE (DEA),DIALLATE I,DIALLATE II,DIAZINON,DIBROM OR NALED,DICAMBA,DICHLOROPROP-13C6,"DICHLORPROP (2,4-DP)",DICLOFOP-METHYL,DIELDRIN,DIMETHOATE,DINOSEB,DINOTEFURAN,DISSOLVED NITRITE/NITRATE,DISULFOTON,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULFATE-13C9,ENDOSULFAN SULPHATE,ENDOSULFAN SULPHATE TOTAL,ENDRIN,ENDRIN KETONE AS A SURROGATE,ESCHERICHIA COLI,ETHALFLURALIN,ETHION,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FECAL STREPTOCOCCI,"FENOPROP OR SILVEX OR 2,4,5-TP",FENOXAPROP-ETHYL,FLONICAMID,FLUORIDE DISSOLVED,FLUPYRADIFURONE,FOMESAFEN,FONOFOS,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-BHC-13C6 OR GAMMA-HCH-13C6,GAMMA-CHLORDANE,GAMMA-CHLORDANE-D10,GAMMA-HEXACHLOROCYCLOHEXANE (GAMMA-HCH OR LINDANE),GERMANIUM DISSOLVED,GERMANIUM TOTAL,GLUFOSINATE,GLYPHOSATE,GLYPHOSATE-15N-13C2,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOEGRASS (DICLOFOP METHYL),HOLMIUM DISSOLVED,HOLMIUM TOTAL,"HYDROCARBONS, C10-C16, F2","HYDROCARBONS, C16-C34, F3","HYDROCARBONS, C34-C50, F4",HYDROXIDE (CALCD.),IMAZAMETHABENZ-METHYL,IMAZAMOX,IMAZAPYR,IMAZETHAPYR,IMIDACLOPRID,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MALATHION,MALATHION-D10,MANGANESE DISSOLVED,MANGANESE TOTAL,MCPA,MCPA-D6,MCPB,MCPB-D6,METHOXYCHLOR-13C12,METHYLCHLOROPHENOXYPROPIONIC ACID (MCPP) OR MECOPROP,METOLACHLOR,METRIBUZIN,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)",ORTHOPHOSPHORUS DISSOLVED,OXYCHLORDANE,OXYCHLORDANE-13C10,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DDT-D8","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",PARATHION ETHYL OR PARATHION,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PH,PH (FIELD),PHORATE,PHOSMET,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PICLORAM,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM FILTERED,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE VOLATILE FILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIMAZINE,SIMAZINE DESETHYL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TERBUFOS,THALLIUM DISSOLVED,THALLIUM TOTAL,THIACLOPRID,THIAMETHOXAM,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TRANS-NONACHLOR,TRIALLATE,TRICLOPYR,TRIFLURALIN,TRIFLURALIN-D14,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-01-12 10:30:00,1999PN140102,MA05KH0001,,,,,11.1,,31.8,47.0,33.8,15.9,,,,,66.4,,,,,0.02,0.28,,0.043,0.0,,,,,,0.0004,242.0,,,,0.077,0.0873,36.2,0.5,0.05,,,80.942,,,0.018,,,21.3,50.0,0.001,0.0001,50.3,,1.244,4.21,0.566,4.776,,0.0,,,,,6.56,,,,,0.001,0.0002,,,,,0.001,0.0003,20.0,5.0,420.0,0.001,0.0014,50.0,,,50.0,,8.64,8.64,,,17.9,,,45.2,,,,,0.072,,,,,,,,,20.0,,,,,20.0,20.0,19.7,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.004,,0.361,,,0.002,0.0002,0.008,0.0106,,,16.9,,,0.002,0.0171,16.2,,26.5,,,,116.0,50.0,,0.001,0.0011,,,0.002,0.0013,,,0.041,0.332,0.291,,,,0.002,,,8.2,,,,,,,,,,8.01,8.64,,,0.011,0.018,0.007,15.5,,,2.19,,,,12.8,15.0,,,,,,,,-0.661,,,,0.0002,,,0.0001,50.0,,1.06,,16.4,,15.278,448.0,9.331,0.314,0.337,54.0,,,25.0,0.0,,,,,,,,,,,,187.729,,,8.64,,8.38,,,,11.4,9.0,,,0.001,0.0008,,,,,0.002,0.0012,,
2000-01-12 12:30:00,1999PN140125,SA05KH0002,82.0,,,,11.1,,31.8,47.0,14.7,15.9,,,0.61,,,0.2,0.31,0.22,,,,,0.285,0.002,,,,,,,242.0,,,,,,36.2,,,,0.88,,,,,,,21.3,50.0,,,,,,11.6,0.453,12.053,,,,,,,,,,,,,,,,,,,,180.0,15.0,2400.0,,,50.0,85.0,,50.0,,8.64,8.64,,,7.6,,,45.2,0.35,,,,0.037,,,,,,,0.55,100.0,20.0,,,,,20.0,,19.7,,,,,,,,,,,,0.33,,,,,,,,,,,,0.82,0.17,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,26.5,,,,116.0,50.0,1.41,,,,,,,,,0.043,0.787,0.744,,,0.75,,,,0.9,,1.28,1.3,,2.24,7.9,,,,,7.96,,,0.018,0.026,0.008,15.5,,,,,,,4.4,6.8,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,8.64,,8.38,,,,9.8,11.0,,,,,,,,,,,,
2000-02-15 16:15:00,1999PN140093,SA05LC0001,,,,,,,,,,,,,,,273.0,,,,,0.02,0.035,,0.083,0.001,,,,,,,,,,,0.042,0.0489,,0.5,0.05,,,,,,0.002,,,,,0.001,0.0001,94.9,,4.661,14.3,,,,,,,,,6.46,,,,,0.001,0.0005,,,,,0.001,0.0002,,15.0,686.0,0.001,0.001,,,,,,,,,,,,,,,,,,0.411,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,119.176,392.176,,,,,,,,,,,,,,,,,,,,,0.033,,0.165,,,0.002,0.0003,0.015,0.0383,,,37.7,,,0.011,0.0129,,,,,,,,,,0.001,0.0014,,,0.002,0.0015,,,0.026,1.096,1.07,,,,0.007,,,7.36,,,,,,,,,,8.05,7.6,,,0.006,0.022,0.016,,,,4.79,,,,1.0,2.0,,,,,,,,0.231,,,,,,,0.0002,,,20.2,,20.4,,10.031,765.0,7.588,0.211,0.229,77.7,,,25.0,0.0,,,,,,,,,,,,427.931,,,,,,,,,3.3,5.0,,,0.001,0.0005,,,,,0.008,0.001,,
2000-02-16 09:30:00,1999PN140126,SA05KH0002,94.0,,,,11.1,78.0,31.8,47.0,14.7,15.9,,,0.61,,346.0,0.2,0.31,0.22,,0.02,0.044,,0.433,0.003,,,,,,,242.0,,,,0.119,0.126,36.2,0.5,0.05,,0.88,421.774,,,0.192,,,21.3,50.0,0.001,0.0001,108.0,,9.19,4.86,0.529,5.389,,0.0,,,,,489.0,,,,,0.001,0.0005,,,,,0.002,0.001,,15.0,2460.0,0.001,0.0009,50.0,97.0,,50.0,,8.64,8.64,,,7.6,,,45.2,0.35,,,,0.029,,,,,,,0.55,112.0,,,,,,,,19.7,,,0.26,,,,,,,,,0.33,,,,,,,,,,85.886,431.886,0.82,0.17,0.62,,,,,,,,0.0,,,,,,,,,,0.637,,1.26,,,0.002,0.0005,0.063,0.111,,,39.4,,,1.54,1.44,16.2,,26.5,,,,116.0,50.0,1.41,0.002,0.0018,,,0.004,0.0029,,,0.081,0.989,0.908,,,0.75,0.004,,,1.14,,1.28,1.3,,2.24,7.9,,,,7.86,7.4,,,0.026,0.038,0.012,15.5,,,11.0,,,,3.8,5.8,,,,,,,,0.15,,,,,,,0.0004,50.0,,15.2,,332.0,,61.841,2350.0,7.56,0.582,0.611,91.3,,,,0.0,,,,,,,,,,,,1293.888,,,8.64,,8.38,,,,11.6,13.0,,,0.001,0.0001,,,,,0.002,0.0013,,
2000-02-16 11:15:00,1999PN140103,MA05KH0001,,,,,,,,,,,,,,,163.0,,,,,0.02,2.38,,0.052,0.0,,,,,,0.0004,,,,,0.094,0.136,,0.5,0.19,,,,,,0.023,,,,,0.001,0.0006,53.4,,8.281,4.12,2.22,6.34,,,,,,,8.32,,,,,0.001,0.0042,,,,,0.001,0.002,10.0,5.0,433.0,0.001,0.0055,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,10.0,,,,,10.0,10.0,,,,0.17,,,,,,,,,,,,,,,,,,,52.268,215.268,,,,,,,,,,,,,,,,,,,,,0.01,,4.03,,,0.002,0.0038,0.011,0.0169,,,19.9,,,0.003,0.135,,,,,,,,,,0.001,0.0013,,,0.002,0.0058,,,0.227,0.733,0.506,,,,0.003,,,8.2,,,,,,,,,,7.58,8.0,,,0.013,0.02,0.007,,,,2.56,,,,86.6,94.6,,,,,,,,-0.693,,,,0.0003,,,0.0001,,,1.6,,23.4,,18.903,505.0,8.966,0.359,0.382,73.0,,,,0.0,,,,,,,,,,,,281.204,,,,,,,,,41.0,12.0,,,0.001,0.0063,,,,,0.002,0.0145,,
2000-03-15 09:30:00,1999PN140127,SA05KH0002,94.0,,,,11.1,157.0,31.8,47.0,14.7,15.9,,,0.61,,,0.2,0.31,0.22,,,,,0.379,0.001,,,,,,,242.0,,,,,,36.2,,,,0.88,,,,,,,21.3,50.0,,,,,,11.8,0.594,12.394,,,,,,,,,,,,,,,,,,,,,20.0,2560.0,,,,91.0,,50.0,,8.64,8.64,,,7.6,,,45.2,0.35,,,,0.094,,,,,,,0.55,115.0,,,,,,,,19.7,,,,,,,,,,,,0.33,,,,,,,,,,,,0.82,0.17,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,26.5,,,,116.0,50.0,1.41,,,,,,,,,0.109,1.229,1.12,,,0.75,0.004,,,2.0,,1.28,1.3,,2.24,7.9,,,,,7.5,,,0.024,0.035,0.011,15.5,,,,,,,2.8,5.2,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8.64,,8.38,,,,7.5,8.0,,,,,,,,,,,,
2000-03-15 10:15:00,1999PN140104,MA05KH0001,,,,,,,,,,,,,,,165.0,,,,,0.03,0.248,,0.06,0.0,,,,,,0.0003,,,,,0.077,0.0898,,0.5,0.05,,,,,,0.026,,,,,0.001,0.0001,49.6,,3.473,4.42,0.527,4.947,,,,,,,8.07,,,,,0.001,0.0014,,,,,0.002,0.0003,62.0,5.0,433.0,0.005,0.0016,,,,,,,,,,,,,,,,,,0.244,,,,,,,,,10.0,,,,,10.0,19.0,,,,0.17,,,,,,,,,,,,,,,,,,,31.722,196.722,,,,,,,,,,,,,,,,,,,,,0.014,,0.377,,,0.002,0.0204,0.013,0.0125,,,17.7,,,0.004,0.0196,,,,,,,,,,0.003,0.0012,,,0.002,0.0017,,,0.056,0.599,0.543,,,,0.004,,,7.19,,,,,,,,,,7.96,8.3,,,0.011,0.019,0.008,,,,2.49,,,,9.6,11.6,,,,,,,,-0.337,,,,0.0003,,,0.0001,,,2.17,,20.4,,18.177,458.0,8.634,0.301,0.328,65.0,,,,0.0,,,,,,,,,,,,265.681,,,,,,,,,9.3,10.0,,,0.001,0.0009,,,,,0.002,0.0021,,
2000-04-19 08:50:00,2000PN140350,SA05LC0001,,,,,,,,,,,,,,,177.0,,,,,0.02,0.076,,0.018,0.001,,,,,,,,,,,0.029,0.035,,0.5,0.05,,,215.763,,,0.037,,,,,0.001,0.0001,49.6,,0.648,10.1,1.83,11.93,,0.0,,,,,5.0,,,,,0.001,0.0002,,,,,0.001,0.0002,,25.0,423.0,0.001,0.0009,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,36.19,213.19,,,,,,,,,,,0.0,,,,,,,,,,0.067,,0.395,,,0.002,0.0002,0.017,0.0224,,,21.7,,,0.013,0.0396,,,,,,,,,,0.001,0.0014,,,0.002,0.0013,,,0.215,0.764,0.549,,,,0.002,,,7.12,,,,,,,,,,8.1,8.7,,,0.04,0.056,0.016,,,,,5.76,,,5.0,10.0,,,,,,,,0.596,,,,,,,0.0001,,,3.97,,,12.2,10.747,461.0,7.507,0.124,0.134,64.8,,,,4.5,,,,,,,,,,,,269.404,,,,,,,,,9.6,10.0,,,0.001,0.0007,,,,,0.002,0.0012,,
2000-04-19 11:30:00,2000PN140331,SA05KH0002,74.0,,,,113.0,121.0,31.8,,239.0,35.4,,,0.61,,172.0,0.27,0.31,0.22,,0.02,0.568,,0.179,0.003,,,,,,,242.0,,,,0.047,0.0662,36.2,0.5,0.05,,0.88,209.668,,,0.062,,,21.3,50.0,0.001,0.0002,51.9,,2.613,12.3,2.15,14.45,,0.0,,,,,19.6,,,,,0.001,0.0011,,,,,0.001,0.0008,,55.0,666.0,0.001,0.0032,,81.0,,50.0,,8.64,8.64,,,19.2,,,45.2,0.35,,,,0.494,,,,,,,0.55,107.0,,,,,,,,19.7,,,0.16,,,,,,,1.31,,0.33,,,,,,,,,,51.874,223.874,0.82,0.17,0.62,,,,,,,,0.0,,,,,,,,,,0.104,,1.39,,,0.002,0.0006,0.024,0.0381,,,22.9,,,0.087,0.138,16.2,,26.5,,,,116.0,50.0,1.41,0.002,0.0016,,,0.002,0.0041,,,0.338,1.798,1.46,,,0.75,0.012,,,6.27,,1.28,1.3,,2.24,7.9,,,,7.61,8.1,,,0.097,0.136,0.039,17.1,,,,12.7,,,32.0,40.0,,,,,,,,0.02,,,,,,,0.0001,50.0,,1.47,,,56.4,33.832,717.0,8.06,0.191,0.216,6.0,,,,5.0,,,,,,,,,,,,276.518,,,8.64,,8.38,,,,42.0,46.0,,,0.001,0.0023,,,,,0.002,0.0044,,
2000-05-17 10:00:00,2000PN140332,SA05KH0002,105.0,,,,12.0,103.0,31.8,,24.2,15.9,,,0.61,,,0.24,0.31,0.22,,,,,0.019,0.0,,,,,,,242.0,,,,,,36.2,,,,0.88,,,,,,,21.3,50.0,,,,,,10.9,4.57,15.47,,,,,,,,,,,,,,,,,,,,,30.0,642.0,,,50.0,107.0,,50.0,,8.64,8.64,,,7.6,,,45.2,0.35,,,,0.01,,,,,,,0.55,139.0,,,,,,,,19.7,,,,,,,,,,1.28,,0.33,,,,,,,,,,,,0.82,0.17,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,26.5,,,,116.0,50.0,1.41,,,,,,,,,0.602,1.209,0.607,,,0.75,0.002,,,5.74,,1.28,1.3,,2.24,7.9,,,,,7.92,,,0.046,0.057,0.011,15.5,,,,,,,26.0,30.8,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,8.64,,8.38,,,,24.0,27.0,,,,,,,,,,,,
