SITE_NO,DATE_TIME_HEURE,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)","1,3,5-TRIBROMOBENZENE","1,3-DIBROMOBENZENE",13C10-GAMMA-CHLORDANE,"2,3,6-TBA","2,3-DICHLOROPHENOXYACETIC ACID (2,3-D)","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4-D BUTYRIC ACID (2,4-DB)","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)","2-(2,4-DICHLOROPHENOXY)-PROPIONIC ACID",ACIFLUORFEN,ALDRIN,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALUMINUM DISSOLVED,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,ATRAZINE,ATRAZINE-13C3,AZINPHOS-METHYL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM TOTAL,BENZOYLPROP-ETHYL,BERYLLIUM DISSOLVED,BERYLLIUM TOTAL,BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON TOTAL,BROMIDE,BROMOXYNIL,BUTYLATE,CADMIUM DISSOLVED,CADMIUM TOTAL,CALCIUM DISSOLVED,CAPTAN,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHLORPYRIFOS-D10,CHLORPYRIPHOS,CHROMIUM DISSOLVED,CHROMIUM TOTAL,CIS-NONACHLOR,CLOPYRALID,COBALT DISSOLVED,COBALT TOTAL,COLIFORMS TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER TOTAL,D-ETHYL SIMAZINE,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),DELTA-HEXACHLOROCYCLOHEXANE-13C OR DELTA-HCH-13C OR DELTA-BHC-13C,DESETHYL ATRAZINE,DESETHYL-ATRAZINE (DEA),DIALLATE I,DIALLATE II,DIAZINON,DIBROM OR NALED,DICAMBA,DICHLOROPROP-13C6,"DICHLORPROP (2,4-DP)",DICLOFOP-METHYL,DIELDRIN,DIMETHOATE,DINOSEB,DISSOLVED NITRITE/NITRATE,DISULFOTON,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULPHATE,ENDRIN,ENDRIN KETONE AS A SURROGATE,ESCHERICHIA COLI,ETHALFLURALIN,ETHION,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FECAL STREPTOCOCCI,"FENOPROP OR SILVEX OR 2,4,5-TP",FENOXAPROP-ETHYL,FLUORIDE DISSOLVED,FOMESAFEN,FONOFOS,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-BHC-13C6 OR GAMMA-HCH-13C6,GAMMA-CHLORDANE,GAMMA-CHLORDANE-D10,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOEGRASS (DICLOFOP METHYL),HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),IMAZAMETHABENZ-METHYL,IMAZAMOX,IMAZAPYR,IMAZETHAPYR,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MALATHION,MALATHION-D10,MANGANESE DISSOLVED,MANGANESE TOTAL,MCPA,MCPA-D6,MCPB,MCPB-D6,MERCURY TOTAL,METHOXYCHLOR-13C12,METHYLCHLOROPHENOXYPROPIONIC ACID (MCPP) OR MECOPROP,METOLACHLOR,METRIBUZIN,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)",ORTHOPHOSPHORUS DISSOLVED,OXYCHLORDANE,OXYCHLORDANE-13C10,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DDT-D8","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",PARATHION ETHYL OR PARATHION,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PH,PH (FIELD),PHORATE,PHOSMET,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PICLORAM,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM FILTERED,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FIXED NONFILTERABLE,RESIDUE NONFILTERABLE,RESIDUE VOLATILE FILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIMAZINE,SIMAZINE DESETHYL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TERBUFOS,THALLIUM DISSOLVED,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUE),TRANS-NONACHLOR,TRIALLATE,TRICLOPYR,TRIFLURALIN,TRIFLURALIN-D14,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
MA05PF0022,2000-01-12 14:01,,,,,,,,,,,,,,44.6,,,,,,0.011,0,,,,,,,,,,,,,,,54.367,,,,,,,,,,13.5,,5.706,8.99,0.233,9.223,0,,,,,1.73,,,,,,,,,2,25.,103.7,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,2,2,,,0.06,,,,,,,,,,,,,,3.848,48.448,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,0.019,0.437,0.418,,,,0.007,,,13.4,,,,,,,,,,7.67,7.18,,,0.008,0.022,0.014,,,,0.86,,,,,2.00,,,,,,,,-2.189,,,,,,,,,,1.15,,2.54,,10.039,112.,11.557,,,5.4,,,25.0,0.0,,,,,,,,,,55.868,,,,,,,,,4.6,4.14,,,,,,,,,,,,
MA05PF0022,2000-02-08 14:20,,,,,11.1,,31.8,47.0,14.7,15.9,,,,45.0,,,,0.035,0.155,0.009,0,,,0.0005,,242,,,,0.009,0.0112,36.2,0.50,0.05,,54.855,,,0.008,,,21.3,50.0,0.001,0.0001,12.9,,6.029,9.59,0.177,9.767,0,,,,,1.67,,,0.001,0.0003,,,0.001,0.0001,2,25.,103.5,0.001,0.0012,50.0,,,50.0,,8.64,8.64,,,7.60,,,45.2,,,,0.079,,,,,,,,,,,,2,2,19.7,,0.06,,,,,,,,,,,,,,5.902,50.902,,,,,,,,0,,,,,,,,,0.039,,0.175,,,0.002,0.0002,0.001,0.0014,,,4.54,,,0.001,0.0074,16.2,,26.5,,0.005,,,116,50.0,,0.001,0.0001,,,0.002,0.0008,,,0.021,0.487,0.466,,,,0.006,,,12.82,,,,,,,,,,7.87,7.16,,,0.004,0.018,0.014,15.5,,,0.84,,,,,1.60,,,,,,,,-2.225,,,0.0002,,,,0.0001,50.0,,1.30,,2.45,,9.306,106.,11.611,0.024,0.0261,5.9,,,25.0,0.0,,,,,,,,,,57.01,,,8.64,,8.38,,,,2.9,4.33,,,0.001,0.0006,,,,,0.002,0.0006,,
MA05PF0022,2000-03-07 13:30,,,,,,,,,,,,,,44.8,,,,,,0.010,0,,,,,,,,,,,,,,,54.611,,,,,,,,,,13.7,,4.149,9.21,0.135,9.345,0,,,,,1.78,,,,,,,,,2,25.,103.3,,,,,,,,,,,,,,,,,,,0.082,,,,,,,,,,,,2,2,,,0.06,,,,,,,,,,,,,,5.548,50.348,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.92,,,,,,,,,,,,,,,,,,,,,,,0.019,0.499,0.480,,,,0.004,,,10.51,,,,,,,,,,7.75,7.32,,,0.007,0.021,0.014,,,,0.85,,,,,1.20,,,,,,,,-2.03,,,,,,,,,,1.50,,2.83,,10.696,107.,11.38,,,5.0,,,25.0,0.3,,,,,,,,,,56.883,,,,,,,,,3.4,4.09,,,,,,,,,,,,
MA05PF0022,2000-04-04 14:10,,,,,11.1,6,31.8,47.0,14.7,15.9,,,,43.4,,,,0.020,0.178,0.009,0,,,0.0004,,242,,,,0.031,0.0112,36.2,0.50,0.05,,52.905,,,0.090,,,21.3,50.0,0.001,0.0001,13.1,,2.105,9.70,0.292,9.992,0,,,,,1.56,,,0.001,0.0004,,,0.001,0.0002,2,25,102.6,0.002,0.0014,,,,50.0,,8.64,8.64,,,7.60,,,45.2,,,,0.082,,,,,,,,,,,,2,2,19.7,,0.08,,,,,,,,,,,,,,4.667,48.067,,,,,,,,0,,,,,,,,,0.004,,0.214,,,0.002,0.0002,0.053,0.0014,,,3.73,,,0.044,0.0085,16.2,,26.5,,0.005,,,116,50.0,,0.003,0.0002,,,0.003,0.0007,,,0.051,0.493,0.442,,,,0.004,,,13.2,,,,,,,,,,7.57,7.6,,,0.009,0.019,0.010,15.5,,,,0.86,,,,2.00,,,,,,,,-1.702,,,0.0001,,,,0.0001,50.0,,1.67,,,2.58,10.252,106.,11.003,0.292,0.0253,5.8,,,,2.5,,,,,,,,,,55.783,,,8.64,,8.38,,,,3.70,4.21,,,0.001,0.0007,,,,,0.003,0.0009,,
MA05PF0022,2000-05-02 12:35,,,,,,,,,,,,,,43.1,,,,,,0.013,0,,,,,,,,,,,,,,,52.539,,,,,,,,,,12.7,,1.315,9.10,0.385,9.485,0,,,,,1.57,,,,,,,,,2,25,97.4,,,,,,,,,,,,,,,,,,,0.010,,,,,,,,,,,,2,5,,,0.05,,,,,,,,,,,,,,3.227,46.327,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,0.058,0.426,0.368,,,,0.002,,,13.4,,,,,,,,,,7.73,7.8,,,0.012,0.019,0.007,,,,,0.85,,,,4.0,,,,,,,,-1.341,,,,,,,,,,1.11,,,2.47,10.185,107.,10.482,,,5.0,,,,7.5,,,,,,,,,,53.204,,,,,,,,,3.50,5.16,,,,,,,,,,,,
MA05PF0022,2000-06-06 12:35,,,,,,,,,,,,,,42.1,,,,,,0.008,0,,,,,,,,,,,,,,,51.32,,,,,,,,,,13.0,,2.573,9.17,0.408,9.578,0,,,,,1.62,,,,,,,,,2,25,96.9,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,2,2,,,0.05,,,,,,,,,,,,,,5.1,47.2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,0.071,0.386,0.315,,,,0.002,,,10.0,,,,,,,,,,7.76,7.5,,,0.01,0.018,0.008,,,,,0.83,,,,4.0,,,,,,,,-1.437,,,,,,,,,,0.71,,,2.38,9.694,101.,10.375,,,5.4,,,,13.7,,,,,,,,,,52.941,,,,,,,,,3.80,4.65,,,,,,,,,,,,
MA05PF0022,2000-07-11 14:00,,,,,28.1,111,31.8,,14.7,15.9,,,,39.5,,,,0.045,0.172,0.014,0,,,0.0004,,242,,,,0.010,0.0110,36.2,0.50,0.05,,48.151,,,0.002,,,21.3,50.0,0.001,0.0001,12.0,,3.041,9.90,0.402,10.302,0,,,,,1.69,,,0.001,0.0002,,,0.001,0.0001,9,30,95.2,0.001,0.0012,50.0,,,50.0,,8.64,8.64,,,7.60,,,45.2,,,,0.013,,,,,,,,,,,,2,17,19.7,,0.07,,,,,,,,,,,,,,4.338,43.838,,,,,,,,0,,,,,,,,,0.052,,0.201,,,0.002,0.0002,0.001,0.0014,,,3.37,,,0.002,0.0100,16.2,,26.5,,0.005,,,116,50.0,,0.001,0.0002,,,0.002,0.0009,,,0.069,0.43,0.361,,,,0.004,,,9.40,,,,,,,,,,7.47,7.40,,,0.011,0.022,0.011,15.5,,,,0.92,,,,4.6,,,,,,,,-1.46,,,0.0002,,,,0.0001,50.0,,0.51,,,2.83,12.038,97.9,10.32,0.024,0.0244,5.1,,,,18.2,,,,,,,,,,50.248,,,8.64,,8.38,,,,4.10,5.0,,,0.001,0.0006,,,,,0.002,0.0010,,
MA05PF0022,2000-08-15 14:17,,,,,,,,,,,,,,41.1,,,,,,0.010,,,,,,,,,,,,,,,,50.101,,,,,,,,,,12.4,,1.581,10.6,0.426,11.026,0,,,,,1.88,,,,,,,,,4,35,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,2.,37,,,0.06,,,,,,,,,,,,,,4.396,45.496,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,0.069,0.502,0.433,,,,0.005,,,,,,,,,,,,,7.70,,,,0.015,0.030,0.015,,,,,0.99,,,,4.4,,,,,,,,,,,,,,,,,,1.23,,,3.01,12.29,102.,,,,5.8,,,,,,,,,,,,,,53.666,,,,,,,,,4.50,,,,,,,,,,,,,
MA05PF0022,2000-08-15 14:33,,,,,,,,,,,,,,41.4,,,,,,0.010,,,,,,,,,,,,,,,,50.467,,,,,,,,,,12.6,,1.452,10.1,0.432,10.532,0,,,,,1.87,,,,,,,,,11,35,,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,,,2,30,,,0.05,,,,,,,,,,,,,,4.595,45.995,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,0.078,0.499,0.421,,,,0.003,,,,,,,,,,,,,7.74,,,,0.012,0.024,0.012,,,,,0.96,,,,4.2,,,,,,,,,,,,,,,,,,1.22,,,2.73,11.178,102.,,,,4.5,,,,,,,,,,,,,,52.42,,,,,,,,,4.30,,,,,,,,,,,,,
MA05PF0022,2000-08-15 14:37,,,,,,,,,,,,,,41.2,,,,,,0.010,,,,,,,,,,,,,,,,50.223,,,,,,,,,,12.5,,1.411,10.3,0.420,10.72,0,,,,,1.85,,,,,,,,,17,35,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,2,37,,,0.05,,,,,,,,,,,,,,4.463,45.663,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,0.072,0.508,0.436,,,,0.003,,,,,,,,,,,,,7.75,,,,0.011,0.024,0.013,,,,,0.96,,,,4.4,,,,,,,,,,,,,,,,,,1.07,,,2.71,11.175,102.,,,,4.6,,,,,,,,,,,,,,52.076,,,,,,,,,4.10,,,,,,,,,,,,,
