SITE_NO,DATE_TIME_HEURE,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,BROMIDE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC,CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS DISSOLVED CACO3,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITROGEN DISSOLVED NITRITE,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICON DISSOLVED,SILICON EXTRACTABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
YT09AB0006,2005-06-09 11:45,41.4,,,63.6,,,,0.079,,,0.46,,,26.7,,,0.001,,,0.001,,,1.2,,0.05,,,0.015,,14.0,10.2,1.1,10.5,0.8,,,,,0.2,,,0.242,,,0.042,2.5,,,,0.48,,,,0.002,,,1.0,0.08,,,,,0.029,,,,,,45.5,,,,,,,,,85.3,,,0.037,,,0.904,,,0.5,,,,2.6,,,4.04,,,1.47,,,,,0.34,,,,,0.005,,0.04,0.05,,,,,7.97,,0.0048,,,,,0.8,,,,,,,0.81,,,,,,,,,0.11,,1.39,,,0.001,,1.0,96.0,,,74.0,6.3,,,18.0,13.0,,,,,,0.002,,,,,,,1.55,,,0.686,,,0.324,,,,,,,0.42,,
YT09AB0006,2005-07-19 10:20,38.0,,,39.5,,,,0.085,,,0.42,,,25.1,,,0.001,,,0.001,,,0.8,,0.05,,,0.006,,14.5,9.6,2.5,9.7,2.6,,,,,0.2,,,0.278,,,0.023,5.0,92.0,,,0.36,,,,0.002,,,1.0,0.12,,,,,0.019,,,,,,45.2,,,,,,,,,48.1,,,0.019,,,0.034,,,0.5,,,,2.2,,,2.6,,,1.47,,,,,0.36,,,,,0.005,,,0.05,,8.9,,,7.45,,0.0029,,,,,0.9,,,,,,,0.79,,,,,,,,,0.06,,1.32,,,0.001,,2.1,91.0,,,68.4,6.4,,,15.0,15.2,,,,,,0.001,,,,,,,0.7,,,0.655,,,0.266,,,,,,,0.48,,
YT09AB0006,2005-08-16 10:00,37.7,,,22.7,,,,0.094,,,0.39,,,25.4,,,0.001,,,0.001,,,0.6,,0.05,,,0.007,,13.4,9.9,0.5,10.0,0.5,,,,,0.3,,,0.176,,,0.014,2.5,93.0,,,0.43,,,,0.003,,,1.0,0.06,,,,,0.014,,,,,,42.4,,,,,,,,,24.9,,,0.011,,,0.138,,,0.5,,,,2.1,,,1.98,,,1.5,,,,,0.21,,,,,0.005,,0.09,0.05,,,,,7.5,,0.0036,,,,,0.8,,,,,,,0.82,,,,,,,,,0.09,,1.24,,,0.001,,1.1,86.0,,,69.0,6.7,,,14.5,15.0,,,,,,0.001,,,,,,,0.53,,,0.635,,,0.211,,,,,,,0.21,,
YT09AB0006,2005-09-19 14:10,38.4,,,,,,,0.094,,,0.37,,,25.8,,,0.001,,,0.001,,,1.2,,0.05,,,0.011,,14.0,9.2,0.8,9.2,1.0,,,,,0.1,,,,,,,,94.0,,,,,,,0.002,,,1.0,0.23,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,,,0.5,,,,2.4,,,,,,1.41,,,,,,,,,,,,0.06,0.05,,9.1,,,7.63,7.8,0.0035,,,,,0.9,,,,,,,,,,,,,,,,0.09,,1.31,,,0.001,,1.0,90.0,,,65.4,6.6,,,9.0,10.5,,,,,,0.002,,,,,,,0.56,,,0.615,,,,,,,,,,,,
YT09AB0006,2005-10-18 11:45,40.7,,,27.5,,,,0.092,,,0.38,,,26.3,,,0.001,,,0.001,,,1.1,,0.05,,,0.007,,14.5,10.0,0.7,9.8,0.8,,,,,0.3,,,0.193,,,0.015,2.5,97.0,,,,,,,0.008,,,1.0,0.09,,,,,0.015,,,,,,46.9,,,,,,,,,29.3,,,0.013,,,,,,0.5,,,,2.6,,,1.86,,,1.44,,,,,0.24,,,,,0.005,,0.06,0.05,,10.2,,,7.62,7.6,0.005,,,,,0.7,,,,,,,0.82,,,,,,,,,0.07,,1.36,,,0.001,,1.1,95.0,,,69.5,6.0,,,4.0,5.0,,,,,,0.002,,,,,,,0.84,,,0.63,,,0.172,,,,,,,0.24,,
YT09AB0006,2005-11-21 09:45,40.0,,,16.3,,,,0.089,,,0.34,,,25.5,,,0.001,,,0.001,,,1.5,,0.05,,,0.001,,13.6,9.1,0.6,9.0,1.3,,,,,0.1,,,0.118,,,0.008,2.5,90.7,,,0.3,,,,0.009,,,1.0,0.04,,,,,0.015,,,,,,43.4,,,,,,,,,16.9,,,0.004,,,0.057,,,0.4,,,,2.3,,,1.27,,,1.37,,,,,0.15,,,,,0.005,,0.07,0.05,,11.3,,,7.51,7.6,0.0022,,,,,0.7,,,,,,,0.76,,,,,,,,,0.09,,1.22,,,0.001,,1.1,92.0,,,68.9,6.3,,,4.0,1.1,,,,,,0.002,,,,,,,0.53,,,0.637,,,0.163,,,,,,,0.05,,
YT09AB0006,2005-12-19 13:35,41.5,,,12.9,,,,0.093,,,0.37,,,25.9,,,0.001,,,0.001,,,0.5,,0.05,,,0.023,,15.3,8.8,1.2,9.3,1.1,,,,,0.1,,,0.154,,,0.008,2.5,97.0,,,0.33,,,,0.013,,,1.0,0.1,,,,,0.014,,,,,,49.2,,,,,,,,,14.6,,,0.005,,,0.031,,,0.5,,,,2.7,,,1.04,,,1.41,,,,,0.22,,,,,0.005,,0.07,0.05,,11.6,,,7.42,7.1,,,,,,0.8,,,,,,,0.77,,,,,,,,,0.12,,1.4,,,0.001,,1.2,99.0,,,68.8,6.7,,,-13.5,0.0,,,,,,0.001,,,,,,,0.23,,,0.648,,,0.138,,,,,,,0.25,,
YT09AB0006,2006-01-13 13:35,43.0,,,9.4,,,,0.097,,,0.34,,,27.3,,,0.001,,,0.001,,,1.6,,0.05,,,0.006,,14.9,9.7,0.9,9.6,0.9,,,,,0.3,,,0.065,,,0.006,2.5,105.0,,,0.23,,,,0.013,,,1.0,0.07,,,,,0.015,,,,,,47.9,,,,,,,,,10.5,,,0.005,,,0.007,,,0.5,,,,2.6,,,0.91,,,1.42,,,,,0.1,,,,,0.005,,0.07,0.05,,11.4,,,7.65,7.2,0.0016,,,,,0.8,,,,,,,0.82,,,,,,,,,0.13,,1.4,,,0.001,,1.2,98.0,,,70.9,6.6,,,-13.0,0.0,,,,,,0.001,,,,,,,0.4,,,0.645,,,0.108,,,,,,,0.07,,
YT09AB0006,2006-03-20 10:08,41.3,,,9.4,,,,0.106,,,0.39,,,26.7,,,0.001,,,0.001,,,1.8,,0.05,,,0.01,,15.5,9.3,0.8,9.3,0.7,,,,,0.3,,,,,,,2.5,95.0,,,0.26,,,,0.016,,,1.0,0.13,,,,,0.015,,,,,,49.4,,,,,,,,,8.9,,,0.005,,,,,,0.6,,,,2.6,,,0.82,,,1.54,,,,,0.14,,,,,0.005,,0.04,0.05,,,,,7.86,7.7,0.0016,,,,,0.8,,,,,,,0.8,,,,,,,,,0.1,,1.41,,,,,1.1,93.0,,,71.6,7.1,,,,,,,,,,0.002,,,,,,,0.36,,,0.669,,,0.135,,,,,,,,,
YT09AB0006,2006-04-18 09:45,42.6,,,127.0,,,,0.097,,,0.41,,,29.1,,,0.003,,,0.001,,,1.7,,0.05,,,0.012,,14.4,9.7,0.9,10.0,0.8,,,,,0.4,,,0.381,,,0.071,2.5,97.1,,,0.49,,,,0.012,,,2.0,0.15,,,,,0.051,,,,,,46.5,,,,,,,,,167.0,,,0.062,,,0.083,,,0.6,,,,2.5,,,6.47,,,1.5,,,,,0.49,,,,,0.005,,0.06,0.05,,,,,7.83,7.6,0.0066,,,,,0.8,,,,,,,0.9,,,,,,,,,0.11,,1.24,,,0.002,,1.1,96.0,,,72.4,7.0,,,,1.6,,,,,,0.002,,,,,,,3.15,,,0.706,,,0.397,,,,,,,0.41,,
