Sr#,Sample Code,E.C,pH,Turbidity,TDS,Ca,Mg,Cl,Na,K,Fe,F
1,DIA-01,129,7.4,6.05,71,12,7,60,BDL,3,0.06,0.05
2,DIA-02,129,7.5,1.52,0.47,12,7,60,7,3,71,0.06
3,DIA-03,219,7.2,1.52,0.41,20,12,100,BDL,3,121,0
4,DIA-04,570,7.8,BDL,0.37,56,17,230,10,35,314,0.08
5,DIA-05,174,7.9,BDL,0.42,16,7,70,10,6,96,0
6,DIA-06,110,6.9,12.68,0.47,12,2,40,5,4,51,0
7,DIA-07,106,7.3,BDL,0.34,16,4,40,BDL,2,58,0
8,DIA-08,69,7.3,3.45,0.34,8,36,40,BDL,BDL,38,0
9,DIA-09,461,7.9,BDL,0.47,32,4,230,BDL,6,254,0
10,AST-01,79,7.4,0.41,0.27,8,5,40,BDL,BDL,44,0.67
11,AST-02,311,7.4,0.26,0.45,48,7,150,BDL,4,171,0
12,AST-03,164,7.8,0.27,0.15,24,BDL,60,BDL,4,90,0.44
13,AST-04,82,7.6,0.23,0.02,12,2,30,BDL,2,45,0.45
14,AST-05,199,7.4,0.19,0.19,20,10,90,BDL,2,109,1.34
15,AST-06,176,7.6,1.26,0.21,24,5,70,BDL,BDL,97,0.51
16,AST-07,179,7.5,BDL,0.25,28,2,80,BDL,3,99,0
17,AST-08,44,7.2,3.94,0.5,4,BDL,10,BDL,BDL,24,0.11
18,AST-09,51,7.4,3.7,0.38,4,BDL,10,BDL,BDL,28,0
19,AST-10,59,7.6,5.38,0.45,4,5,30,BDL,2,32,0.33
20,AST-11,629,7.3,1.89,0.35,48,44,300,BDL,10,346,0.2
21,SKA-01,143,7.9,BDL,0.28,20,4,65,BDL,2,79,0
22,SKA-02,297,7.1,BDL,0,40,10,140,BDL,4,163,0.09
23,SKA-03,147,7.9,BDL,0,20,5,60,BDL,2,81,0.13
24,SKA-04,140,7.9,0.4,0,8,5,60,BDL,2,77,0.06
25,SKA-05,712,7.2,BDL,0,112,15,340,28,17,392,0.45
26,SKA-06,300,7.7,BDL,0.1,32,15,140,8,5,165,0.66
27,SKA-07,179,7.2,0.81,0.05,36,BDL,90,BDL,BDL,99,0.59
28,SKA-08,102,7.4,0.04,0.41,16,2,50,BDL,BDL,56,0.57
29,SKA-09,105,7.7,1.55,0,20,BDL,50,BDL,2,58,0.42
30,SKA-10,186,7.1,0.18,0,28,2,80,10,5,102,0
31,SKA-11,229,7.9,15.43,0,24,12,110,8,BDL,126,0.58
32,SKA-12,130,7.9,0.78,0,16,7,70,BDL,BDL,72,0
33,SKA-13,284,7.8,1.98,0.32,36,12,140,BDL,3,156,0.41
34,SKA-14,1093,7,BDL,0.33,160,17,470,19,33,601,0.56
35,SKA-15,179,7.9,85,0.05,24,5,80,BDL,3,99,0.48
36,GZR-01,141,8.1,1.7,0.59,20,5,70,BDL,0,77.55,0
37,GZR-02,203,7.9,2.8,0.55,24,7,90,BDL,5,111.65,0
38,GZR-03,83,7.3,BDL,0.44,12,2,40,7,0,45.65,0
39,GZR-04,136,7.2,BDL,0.42,12,10,70,BDL,0,74.8,0
40,GZR-05,75,7.4,BDL,0.6,8,5,40,4,0,41.25,0
41,GZR-06,66,6.5,4.15,0.5,8,2,30,BDL,0,36.3,0
42,GZR-07,118,7.4,4.5,0.52,12,7,60,4,0,64.9,0
43,GZR-08,242,7.2,16,0.38,28,7,100,BDL,5,133.1,0
44,GZR-09,220,7.8,7.1,0.54,28,7,100,BDL,0,121,0
45,GZR-10,528,7.9,BDL,0.95,52,17,200,10,24,290.4,0
46,GZR-11,230,7.7,BDL,0.77,28,7,100,4,4,126.5,0
47,GZR-12,462,6.9,BDL,0.75,48,19,200,20,11,254.1,0
48,GZR-13,415,6.9,BDL,0.68,56,10,180,10,8,228.25,0
49,GZR-14,102,7.5,BDL,0.44,12,5,50,6,2,56.1,0
50,GZR-15,78,7.4,BDL,0.41,8,5,40,4,0,42.9,0
51,GZR-16,119,7.6,BDL,0.37,20,5,70,BDL,0,65.45,0
52,GZR-17,152,7.7,BDL,0.19,20,7,80,4,0,83.6,0
53,GZR-18,288,7.6,BDL,0.17,40,2,110,BDL,3,158.4,0
54,GZR-19,79,7.2,BDL,0.34,12,2,40,4,0,43.45,0
55,HUN-01,497,8.1,1.2,0,40,36,250,BDL,4,273.35,0.09
56,HUN-02,559,7.8,BDL,0.05,48,36,270,BDL,4,307.45,0
57,HUN-03,294,7.7,BDL,0,28,17,140,BDL,3,161.7,0
58,HUN-04,165,7.8,BDL,0.02,20,7,80,BDL,3,90.75,0
59,HUN-05,346,7.7,BDL,0.16,48,2,130,4,11,190.3,0.36
60,HUN-06,244,7.9,13.8,0.17,28,12,120,4,4,134.2,0
61,HUN-07,362,7.8,1.35,0.16,56,5,160,BDL,4,199.1,0
62,HUN-08,164,7.6,6.8,2.11,12,10,70,BDL,2,90.2,0.5
63,HUN-09,141,7.8,352,2.27,12,7,60,BDL,2,77.55,0.39
64,HUN-10,275,7.7,BDL,0.06,28,12,120,BDL,0,151.25,0
65,HUN-11,181,8,83,0.48,12,15,90,6,0,99.55,0.21
66,HUN-12,174,7.9,BDL,0.03,24,5,80,BDL,0,95.7,0
67,HUN-13,365,7.9,BDL,0.06,40,12,150,BDL,3,200.75,0
68,HUN-14,386,7.9,BDL,0.03,28,24,170,BDL,8,212.3,0
69,HUN-15,329,7.8,BDL,0,24,22,150,4,5,180.95,0
70,HUN-16,100,7.9,BDL,0,16,2,50,BDL,0,55,0.55
71,HUN-17,200,7.9,15.76,0.07,28,5,90,BDL,0,110,0.12
72,HUN-18,288,7.8,10.43,0,40,7,130,BDL,0,158.4,0
73,HUN-19,292,7.6,BDL,0,32,17,150,BDL,0,160.6,0
74,HUN-20,243,7.9,BDL,4,40,5,120,BDL,0,133.65,0
75,GIL-01,140,7.6,BDL,0,12,5,50,BDL,11,77,0
76,GIL-02,143,7.4,7.7,0,12,10,70,BDL,2,78.65,0
77,GIL-03,100,8.9,0.55,0,8,7,50,4,0,55,0
78,GIL-04,243,7.5,BDL,0.06,28,10,110,4,3,133.65,0
79,GIL-05,175,7.7,BDL,0.12,24,2,70,10,4,96.25,0
80,GIL-06,102,7.5,BDL,0.03,8,7,50,6,0,56.1,0
81,GIL-07,402,7.6,1.4,0.06,40,22,190,12,5,221.1,0
82,GIL-08,100,7.6,BDL,0,12,7,60,6,0,55,0
83,GIL-09,709,7.1,BDL,0.02,80,19,280,24,33,389.95,0.06
84,GIL-10,143,7.6,BDL,0.03,16,5,60,8,2,78.65,0
85,GIL-11,448,7.8,BDL,0.01,48,19,200,10,3,246.4,0
86,GIL-12,638,7.6,BDL,0.02,80,24,300,12,6,350.9,0
87,GIL-13,862,7.5,BDL,0,108,39,430,12,3,474.1,0.52
88,GIL-14,365,7.9,19.3,0.04,2,35,150,8,2,200.75,0
89,GIL-15,345,7.8,BDL,0.07,40,17,170,6,5,189.75,0
90,GIL-16,312,7.8,35.5,0.23,28,22,160,6,0,171.6,0.32
91,GIL-17,193,7.7,64,0.35,24,10,100,4,0,106.15,0.42
92,GIL-18,341,7.7,BDL,0.46,78,BDL,196,8,6,187.55,0
93,GIL-19,283,7.7,270,0.49,40,10,140,6,0,155.65,1.49
