Sr#,Sample Code,E.C,pH,Turbidity,TDS,Ca,Mg,Cl,Na,K,Fe,F,Al,As,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,Zn
2,DIA-02,129,7.5,1.52,0.47,12,7,60,7,3,71.00,0.06,2.53,7.69,2.55,BDL,0.9,BDL,1.04,0.24,0.82,BDL,1.56,54.14,19.38
4,DIA-04,570,7.8,BDL,0.37,56,17,230,10,35,314.00,0.08,7.73,5.45,14.27,0.07,1.83,0.61,1.27,0,20.77,BDL,0.64,250.45,BDL
6,DIA-06,110,6.9,12.68,0.47,12,2,40,5,4,51.00,0.00,2.8,4.56,27.74,0.05,1.07,BDL,1.4,0.12,1.14,BDL,BDL,72.24,BDL
8,DIA-08,69,7.3,3.45,0.34,8,36,40,BDL,BDL,38.00,0.00,12.88,3.75,8.16,0.01,1.01,BDL,1.01,0,0.72,BDL,0.70,83.78,BDL
10,AST-01,79,7.4,0.41,0.27,8,5,40,BDL,BDL,44.00,0.67,7.75,20.16,2.2,0,1.04,BDL,1.11,0.17,6.73,BDL,0.95,15.83,3.11
12,AST-03,164,7.8,0.27,0.15,24,BDL,60,BDL,4,90.00,0.44,6.81,28.91,3.83,0.02,1.6,0.16,0.77,0.02,8.23,BDL,2.07,20.33,18.54
14,AST-05,199,7.4,0.19,0.19,20,10,90,BDL,2,109.00,1.34,2.91,BDL,5.11,BDL,1.53,0.07,0.79,0.14,3.48,BDL,BDL,81.36,6.42
16,AST-07,179,7.5,BDL,0.25,28,2,80,BDL,3,99.00,0.00,3.82,6.8,13.33,BDL,1.28,BDL,1.23,1.04,1.75,BDL,2.00,144.88,9.28
18,AST-09,51,7.4,3.70,0.38,4,BDL,10,BDL,BDL,28.00,0.00,13.23,BDL,3.09,BDL,1.01,BDL,1.14,0.07,1.15,BDL,0.41,9.81,4.2
20,AST-11,629,7.3,1.89,0.35,48,44,300,BDL,10,346.00,0.20,12.25,0.85,20.02,BDL,1.35,0.34,1.35,1.09,BDL,0.54,1.92,236.92,BDL
22,SKA-02,297,7.1,BDL,0.00,40,10,140,BDL,4,163.00,0.09,8.2,6.04,9.41,0.06,1.95,0.06,2.52,0.03,1.41,BDL,1.44,143.73,3.01
24,SKA-04,140,7.9,0.40,0.00,8,5,60,BDL,2,77.00,0.06,9.73,15.04,4.68,BDL,1.25,BDL,1.09,0.01,2.42,BDL,BDL,66.04,1.19
26,SKA-06,300,7.7,BDL,0.10,32,15,140,8,5,165.00,0.66,5.3,43.22,101.53,BDL,1.41,BDL,1.05,1.91,7.55,BDL,0.61,180.68,BDL
28,SKA-08,102,7.4,0.04,0.41,16,2,50,BDL,BDL,56.00,0.57,1.87,1.48,3.81,0.05,1.44,BDL,0.65,0.08,1.02,BDL,2.21,39.89,5.68
30,SKA-10,186,7.1,0.18,0.00,28,2,80,10,5,102.00,0.00,5.03,0.76,2.64,BDL,1.44,BDL,0.95,0.18,0.05,BDL,0.82,73.7,0.51
32,SKA-12,130,7.9,0.78,0.00,16,7,70,BDL,BDL,72.00,0.00,7.87,1.83,11.35,BDL,1.22,BDL,2.02,0.02,1.79,BDL,3.23,57.15,5.57
34,SKA-14,1093,7.0,BDL,0.33,160,17,470,19,33,601.00,0.56,8.84,10.66,6.9,BDL,0.93,BDL,1.4,0.14,5.26,BDL,BDL,77.88,BDL
36,GZR-01,141,8.1,1.70,0.59,20,5,70,BDL,0,77.55,0.00,19.81,7,5.66,0.07,BDL,BDL,BDL,0.43,4.48,BDL,BDL,BDL,BDL
38,GZR-03,83,7.3,BDL,0.44,12,2,40,7,0,45.65,0.00,11.93,BDL,2.55,BDL,BDL,BDL,BDL,BDL,4.78,BDL,BDL,BDL,BDL
40,GZR-05,75,7.4,BDL,0.60,8,5,40,4,0,41.25,0.00,6.03,BDL,4.19,BDL,BDL,BDL,BDL,BDL,1.32,BDL,BDL,BDL,BDL
42,GZR-07,118,7.4,4.50,0.52,12,7,60,4,0,64.90,0.00,11.58,1.3,1.01,BDL,0.36,BDL,BDL,BDL,3.74,BDL,BDL,BDL,BDL
44,GZR-09,220,7.8,7.10,0.54,28,7,100,BDL,0,121.00,0.00,30.4,2.2,2.3,BDL,0.36,BDL,BDL,BDL,1.13,1.02,BDL,BDL,BDL
46,GZR-11,230,7.7,BDL,0.77,28,7,100,4,4,126.50,0.00,10.11,BDL,5.16,BDL,0.73,BDL,BDL,BDL,6,BDL,BDL,BDL,BDL
48,GZR-13,415,6.9,BDL,0.68,56,10,180,10,8,228.25,0.00,8.89,BDL,12.17,BDL,BDL,BDL,BDL,BDL,3.12,BDL,BDL,BDL,BDL
50,GZR-15,78,7.4,BDL,0.41,8,5,40,4,0,42.90,0.00,9.98,BDL,5.2,BDL,0.03,BDL,BDL,BDL,1.07,BDL,BDL,BDL,BDL
52,GZR-17,152,7.7,BDL,0.19,20,7,80,4,0,83.60,0.00,8.89,0.9,4.23,BDL,BDL,BDL,BDL,BDL,6.77,BDL,BDL,BDL,BDL
54,GZR-19,79,7.2,BDL,0.34,12,2,40,4,0,43.45,0.00,5.62,0.7,2.54,0,0.38,BDL,BDL,BDL,4.56,BDL,BDL,BDL,BDL
56,HUN-02,559,7.8,BDL,0.05,48,36,270,BDL,4,307.45,0.00,10.56,0.5,13.24,BDL,1.1,BDL,BDL,BDL,1.95,BDL,BDL,BDL,BDL
58,HUN-04,165,7.8,BDL,0.02,20,7,80,BDL,3,90.75,0.00,9.9,9.5,3.7,BDL,BDL,BDL,BDL,BDL,18.53,BDL,BDL,BDL,BDL
60,HUN-06,244,7.9,13.80,0.17,28,12,120,4,4,134.20,0.00,52.65,4.4,8.29,BDL,BDL,BDL,BDL,0.35,5.82,BDL,BDL,BDL,BDL
62,HUN-08,164,7.6,6.80,2.11,12,10,70,BDL,2,90.20,0.50,1487.16,BDL,70.98,0.42,BDL,BDL,BDL,46.89,6.26,0.35,BDL,BDL,BDL
64,HUN-10,275,7.7,BDL,0.06,28,12,120,BDL,0,151.25,0.00,9.7,21,1.67,BDL,0.1,BDL,BDL,0.48,2.92,BDL,BDL,BDL,BDL
66,HUN-12,174,7.9,BDL,0.03,24,5,80,BDL,0,95.70,0.00,11.65,15.8,15.59,0.05,0.76,BDL,BDL,BDL,4.6,BDL,BDL,BDL,BDL
68,HUN-14,386,7.9,BDL,0.03,28,24,170,BDL,8,212.30,0.00,12.65,1.8,23.04,0.17,0.57,BDL,BDL,BDL,6.48,BDL,BDL,BDL,BDL
70,HUN-16,100,7.9,BDL,0.00,16,2,50,BDL,0,55.00,0.55,130.71,0.07,9.21,0.26,BDL,BDL,BDL,1.95,1.38,BDL,BDL,BDL,BDL
72,HUN-18,288,7.8,10.43,0.00,40,7,130,BDL,0,158.40,0.00,35.76,BDL,11.02,BDL,BDL,BDL,BDL,0.58,3.26,BDL,BDL,BDL,BDL
74,HUN-20,243,7.9,BDL,4.00,40,5,120,BDL,0,133.65,0.00,13.05,1.3,23.19,BDL,0.16,BDL,BDL,BDL,2.46,BDL,BDL,BDL,BDL
76,GIL-02,143,7.4,7.70,0.00,12,10,70,BDL,2,78.65,0.00,10.34,BDL,12.17,0.01,BDL,BDL,BDL,BDL,1.58,BDL,BDL,BDL,BDL
78,GIL-04,243,7.5,BDL,0.06,28,10,110,4,3,133.65,0.00,24.22,BDL,13.88,BDL,BDL,BDL,BDL,BDL,5.53,BDL,BDL,BDL,BDL
80,GIL-06,102,7.5,BDL,0.03,8,7,50,6,0,56.10,0.00,13.44,1.6,5.7,BDL,BDL,BDL,BDL,BDL,2.03,BDL,BDL,BDL,BDL
82,GIL-08,100,7.6,BDL,0.00,12,7,60,6,0,55.00,0.00,17.15,BDL,5.17,0.02,0.12,BDL,BDL,0.11,1.76,BDL,BDL,BDL,BDL
84,GIL-10,143,7.6,BDL,0.03,16,5,60,8,2,78.65,0.00,8.89,BDL,4.35,BDL,0.09,BDL,BDL,BDL,3.59,BDL,BDL,BDL,BDL
86,GIL-12,638,7.6,BDL,0.02,80,24,300,12,6,350.90,0.00,11.83,BDL,14.27,BDL,1.07,BDL,BDL,BDL,16.86,BDL,BDL,BDL,BDL
88,GIL-14,365,7.9,19.30,0.04,2,35,150,8,2,200.75,0.00,35.32,BDL,23.75,BDL,0.91,BDL,BDL,0.17,5.63,BDL,BDL,BDL,BDL
90,GIL-16,312,7.8,35.50,0.23,28,22,160,6,0,171.60,0.32,644.88,BDL,12.28,0.07,BDL,3.96,BDL,17.22,7.87,BDL,BDL,BDL,BDL
92,GIL-18,341,7.7,BDL,0.46,78,BDL,196,8,6,187.55,0.00,22.13,BDL,12.55,BDL,0.19,BDL,BDL,BDL,5.51,BDL,BDL,BDL,BDL
94,GIL-20,502,7.5,BDL,0.21,56,22,230,16,7,276.10,0.00,12.48,BDL,20.26,BDL,0.87,BDL,BDL,BDL,6.69,BDL,BDL,BDL,BDL
